system:time_start,Chandola lake Ahmedabad
"Jan 6, 2011",1.233
"Jan 13, 2011",1.139
"Jan 22, 2011",1.113
"Jan 29, 2011",0.99
"Feb 14, 2011",0.883
"Mar 2, 2011",0.851
"Mar 27, 2011",1.112
"Apr 3, 2011",0.675
"Apr 19, 2011",0.674
"May 5, 2011",0.587
"May 14, 2011",0.536
"May 30, 2011",0.543
"Sep 26, 2011",0.914
"Oct 21, 2011",1.123
"Oct 28, 2011",1.09
"Nov 6, 2011",1.085
"Nov 13, 2011",1.056
"Nov 22, 2011",1.054
"Dec 8, 2011",1.158
"Dec 15, 2011",1.031
"Dec 24, 2011",1.135
"Dec 31, 2011",1.141
"Jan 9, 2012",1.096
"Jan 16, 2012",1.043
"Jan 25, 2012",0.952
"Feb 1, 2012",0.915
"Feb 10, 2012",1.029
"Feb 17, 2012",0.949
"Feb 26, 2012",0.861
"Mar 4, 2012",0.802
"Mar 13, 2012",0.754
"Mar 20, 2012",0.707
"Mar 29, 2012",0.601
"Apr 5, 2012",0.512
"Apr 14, 2012",0.562
"Apr 21, 2012",0.464
"Apr 30, 2012",0.512
"May 7, 2012",0.542
"May 23, 2012",0.54
"Jun 1, 2012",0.56
"Jun 8, 2012",0.815
"Jun 24, 2012",0.729
"Jul 3, 2012",0.803
"Sep 21, 2012",0.814
"Sep 28, 2012",0.871
"Oct 7, 2012",0.931
"Oct 14, 2012",0.809
"Oct 23, 2012",0.944
"Oct 30, 2012",0.808
"Nov 8, 2012",0.908
"Nov 15, 2012",0.861
"Nov 24, 2012",0.804
"Dec 1, 2012",0.608
"Dec 10, 2012",0.714
"Dec 17, 2012",0.748
"Dec 26, 2012",0.505
"Jan 2, 2013",0.733
"Jan 11, 2013",0.65
"Jan 18, 2013",0.704
"Feb 3, 2013",0.81
"Feb 12, 2013",0.823
"Feb 19, 2013",0.746
"Feb 28, 2013",0.649
"Mar 7, 2013",0.604
"Mar 16, 2013",0.916
"Mar 23, 2013",0.82
"Apr 1, 2013",0.849
"Apr 8, 2013",0.788
"Apr 17, 2013",0.776
"May 3, 2013",0.694
"Jun 4, 2013",0.842
"Sep 8, 2013",0.94
"Sep 15, 2013",0.924
"Oct 17, 2013",1.219
"Oct 26, 2013",1.293
"Nov 2, 2013",1.272
"Nov 11, 2013",1.318
"Nov 18, 2013",1.427
"Nov 27, 2013",1.161
"Dec 4, 2013",1.438
"Dec 13, 2013",1.533
"Dec 20, 2013",1.325
"Dec 29, 2013",1.347
"Jan 5, 2014",1.434
"Jan 14, 2014",1.449
"Jan 21, 2014",0.967
"Jan 30, 2014",1.472
"Feb 6, 2014",1.313
"Feb 22, 2014",1.269
"Mar 3, 2014",0.969
"Mar 10, 2014",1.352
"Mar 19, 2014",1.059
"Mar 26, 2014",1.268
"Apr 4, 2014",1.271
"Apr 11, 2014",1.078
"Apr 20, 2014",1.001
"Apr 27, 2014",0.885
"May 6, 2014",0.903
