system:time_start,Dobhi lake Dabhoi Dist.Vadodara.
"Jan 6, 2011",0.583
"Jan 22, 2011",0.571
"Apr 28, 2011",0.604
"May 14, 2011",0.592
"Oct 21, 2011",0.564
"Nov 6, 2011",0.66
"Nov 22, 2011",0.708
"Dec 8, 2011",0.69
"Dec 24, 2011",0.693
"Jan 9, 2012",0.688
"Jan 25, 2012",0.691
"Feb 10, 2012",0.651
"Feb 26, 2012",0.707
"Mar 13, 2012",0.641
"Mar 29, 2012",0.617
"Apr 14, 2012",0.666
"Apr 30, 2012",0.591
"Jun 1, 2012",0.684
"Sep 21, 2012",0.682
"Oct 7, 2012",0.495
"Oct 23, 2012",0.596
"Nov 8, 2012",0.528
"Nov 24, 2012",0.578
"Dec 10, 2012",0.643
"Dec 26, 2012",0.523
"Jan 11, 2013",0.532
"Feb 12, 2013",0.667
"Feb 28, 2013",0.654
"Mar 16, 2013",0.667
"Apr 1, 2013",0.662
"Apr 17, 2013",0.648
"May 3, 2013",0.613
"May 19, 2013",0.658
"Jun 4, 2013",1.627
"Sep 8, 2013",0.604
"Oct 26, 2013",0.607
"Nov 11, 2013",0.735
"Nov 27, 2013",0.572
"Dec 13, 2013",0.637
"Dec 29, 2013",0.796
"Jan 14, 2014",0.697
"Jan 30, 2014",0.577
"Mar 3, 2014",0.535
"Mar 19, 2014",0.565
"Apr 4, 2014",0.542
"Apr 20, 2014",0.636
"May 6, 2014",0.602
"May 22, 2014",0.611
"Jun 7, 2014",0.637
"Jun 23, 2014",0.732
"Oct 13, 2014",0.523
"Oct 29, 2014",0.525
"Nov 14, 2014",0.654
"Nov 30, 2014",0.603
"Jan 1, 2015",1.022
"Jan 17, 2015",0.664
"Feb 2, 2015",0.577
"Feb 18, 2015",0.533
"Mar 6, 2015",0.614
"Mar 22, 2015",0.538
"Apr 7, 2015",0.582
"Apr 23, 2015",0.624
"May 9, 2015",0.634
"May 25, 2015",0.613
"Sep 14, 2015",0.639
"Oct 16, 2015",0.547
"Nov 1, 2015",0.564
"Nov 17, 2015",0.657
"Dec 3, 2015",0.635
"Jan 4, 2016",0.606
"Jan 20, 2016",0.744
"Feb 5, 2016",0.617
"Feb 21, 2016",0.67
"Mar 8, 2016",0.557
"Mar 24, 2016",0.684
"Apr 9, 2016",0.642
"Apr 25, 2016",0.632
"May 11, 2016",0.586
"May 27, 2016",0.634
"Oct 18, 2016",0.486
"Nov 3, 2016",0.606
"Nov 19, 2016",0.615
"Dec 5, 2016",0.698
"Dec 21, 2016",0.636
"Jan 6, 2017",0.633
"Jan 22, 2017",0.65
"Feb 7, 2017",0.524
"Feb 23, 2017",0.505
"Mar 11, 2017",0.459
"Mar 27, 2017",0.427
"Apr 12, 2017",0.526
"Apr 28, 2017",0.508
"May 14, 2017",0.651
"May 30, 2017",0.72
"Jun 15, 2017",0.647
"Sep 19, 2017",0.576
"Oct 5, 2017",0.465
"Oct 21, 2017",0.651
"Nov 6, 2017",0.573
"Nov 22, 2017",0.655
"Dec 8, 2017",0.87
"Dec 24, 2017",0.643
"Jan 9, 2018",0.695
"Jan 25, 2018",0.835
"Feb 10, 2018",0.788
"Feb 26, 2018",0.692
"Mar 14, 2018",0.603
"Mar 30, 2018",0.696
"Apr 15, 2018",0.679
"May 1, 2018",0.583
"May 17, 2018",0.557
"Jun 2, 2018",0.633
"Jun 18, 2018",0.752
"Oct 8, 2018",0.592
"Oct 24, 2018",0.548
"Nov 9, 2018",1.251
"Nov 25, 2018",0.687
"Dec 11, 2018",0.642
"Dec 27, 2018",0.586
"Jan 12, 2019",0.708
"Jan 28, 2019",0.61
"Feb 13, 2019",0.84
"Mar 1, 2019",0.743
"Mar 17, 2019",0.653
"Apr 2, 2019",0.6
"Apr 18, 2019",0.696
"May 4, 2019",0.619
"May 20, 2019",0.706
"Jun 5, 2019",0.65
"Aug 24, 2019",1.032
"Sep 25, 2019",0.448
"Oct 11, 2019",0.518
"Nov 12, 2019",0.605
"Nov 28, 2019",0.559
"Dec 14, 2019",0.559
"Dec 30, 2019",0.693
