system:time_start,Gomti Talav DakorDist Kheda
"Jan 6, 2011",0.554
"Jan 22, 2011",0.549
"Mar 27, 2011",0.633
"May 14, 2011",0.513
"May 30, 2011",0.652
"Oct 21, 2011",0.516
"Nov 6, 2011",0.511
"Nov 22, 2011",0.499
"Dec 8, 2011",0.655
"Dec 24, 2011",0.669
"Jan 9, 2012",0.632
"Jan 25, 2012",0.587
"Feb 10, 2012",0.595
"Feb 26, 2012",0.535
"Mar 13, 2012",0.522
"Mar 29, 2012",0.446
"Apr 14, 2012",0.482
"Apr 30, 2012",0.389
"Jun 1, 2012",0.496
"Jul 3, 2012",1
"Sep 21, 2012",0.733
"Oct 7, 2012",0.391
"Oct 23, 2012",0.43
"Nov 8, 2012",0.444
"Nov 24, 2012",0.363
"Dec 10, 2012",0.422
"Dec 26, 2012",0.474
"Jan 11, 2013",0.437
"Feb 12, 2013",0.46
"Feb 28, 2013",0.353
"Mar 16, 2013",0.392
"Apr 1, 2013",0.328
"Apr 17, 2013",0.351
"May 3, 2013",0.323
"Jun 4, 2013",2.338
"Sep 8, 2013",0.425
"Oct 26, 2013",0.407
"Nov 11, 2013",0.48
"Nov 27, 2013",0.465
"Dec 13, 2013",0.464
"Dec 29, 2013",0.605
"Jan 14, 2014",0.615
"Jan 30, 2014",0.364
"Mar 3, 2014",0.303
"Mar 19, 2014",0.308
"Apr 4, 2014",0.307
"Apr 20, 2014",0.333
"May 6, 2014",0.33
"May 22, 2014",0.339
"Jun 7, 2014",0.484
"Oct 13, 2014",0.339
"Oct 29, 2014",0.466
"Nov 14, 2014",0.556
"Nov 30, 2014",0.39
"Dec 16, 2014",0.445
"Jan 17, 2015",0.333
"Feb 2, 2015",0.435
"Feb 18, 2015",0.328
"Mar 6, 2015",0.352
"Mar 22, 2015",0.326
"Apr 7, 2015",0.364
"Apr 23, 2015",0.286
"May 9, 2015",0.35
"May 25, 2015",0.376
"Sep 14, 2015",0.391
"Oct 16, 2015",0.383
"Nov 1, 2015",0.349
"Nov 17, 2015",0.45
"Dec 3, 2015",0.324
"Dec 19, 2015",0.431
"Jan 4, 2016",0.414
"Jan 20, 2016",0.419
"Feb 5, 2016",0.301
"Feb 21, 2016",0.841
"Mar 8, 2016",0.278
"Mar 24, 2016",0.346
"Apr 9, 2016",0.226
"May 11, 2016",0.336
"Oct 18, 2016",0.291
"Nov 3, 2016",0.388
"Nov 19, 2016",0.367
"Dec 5, 2016",0.357
"Dec 21, 2016",0.361
"Jan 6, 2017",0.511
"Jan 22, 2017",0.576
"Feb 7, 2017",0.483
"Feb 23, 2017",0.385
"Mar 11, 2017",0.423
"Mar 27, 2017",0.403
"Apr 12, 2017",0.343
"Apr 28, 2017",0.384
"May 14, 2017",0.476
"Jun 15, 2017",0.639
"Sep 19, 2017",0.506
"Oct 5, 2017",0.26
"Oct 21, 2017",0.419
"Nov 6, 2017",0.355
"Nov 22, 2017",0.421
"Dec 8, 2017",0.685
"Dec 24, 2017",0.377
"Jan 9, 2018",0.499
"Jan 25, 2018",0.31
"Feb 26, 2018",0.333
"Mar 14, 2018",0.311
"Mar 30, 2018",0.314
"Apr 15, 2018",0.299
"May 1, 2018",0.302
"May 17, 2018",0.313
"Jun 2, 2018",0.425
"Oct 8, 2018",0.357
"Oct 24, 2018",0.386
"Nov 9, 2018",0.448
"Nov 25, 2018",0.418
"Dec 11, 2018",0.489
"Dec 27, 2018",0.441
"Jan 12, 2019",0.478
"Jan 28, 2019",0.406
"Feb 13, 2019",0.481
"Mar 1, 2019",0.363
"Mar 17, 2019",0.343
"Apr 2, 2019",0.36
"Apr 18, 2019",0.402
"May 4, 2019",0.349
"May 20, 2019",0.337
"Jun 5, 2019",0.381
"Jul 23, 2019",0.541
"Aug 24, 2019",0.623
"Oct 11, 2019",0.272
"Nov 12, 2019",0.37
"Nov 28, 2019",0.589
"Dec 14, 2019",0.404
"Dec 30, 2019",0.452
