system:time_start,Kankariya lake Ahmedabad
"Jan 6, 2011",0.931
"Jan 13, 2011",1.076
"Jan 22, 2011",1.124
"Jan 29, 2011",0.994
"Feb 14, 2011",1.003
"Mar 2, 2011",0.782
"Mar 27, 2011",0.938
"Apr 3, 2011",0.756
"Apr 19, 2011",0.754
"May 5, 2011",0.708
"May 14, 2011",0.696
"May 30, 2011",0.812
"Sep 26, 2011",0.787
"Oct 21, 2011",0.923
"Oct 28, 2011",0.879
"Nov 6, 2011",0.882
"Nov 13, 2011",0.922
"Nov 22, 2011",0.914
"Dec 8, 2011",1.042
"Dec 15, 2011",0.95
"Dec 24, 2011",0.988
"Dec 31, 2011",1.109
"Jan 9, 2012",1.006
"Jan 16, 2012",0.955
"Jan 25, 2012",0.988
"Feb 1, 2012",0.912
"Feb 10, 2012",1.035
"Feb 17, 2012",0.902
"Feb 26, 2012",0.884
"Mar 4, 2012",0.726
"Mar 13, 2012",0.884
"Mar 20, 2012",0.779
"Mar 29, 2012",0.759
"Apr 5, 2012",0.715
"Apr 14, 2012",0.792
"Apr 21, 2012",0.87
"Apr 30, 2012",0.698
"May 7, 2012",0.733
"May 23, 2012",0.711
"Jun 1, 2012",0.718
"Jun 8, 2012",0.813
"Jun 24, 2012",0.836
"Jul 3, 2012",0.736
"Sep 21, 2012",0.756
"Sep 28, 2012",0.797
"Oct 7, 2012",0.866
"Oct 14, 2012",0.825
"Oct 23, 2012",0.939
"Oct 30, 2012",0.836
"Nov 8, 2012",0.962
"Nov 15, 2012",0.928
"Nov 24, 2012",0.831
"Dec 1, 2012",0.798
"Dec 10, 2012",0.754
"Dec 17, 2012",0.819
"Dec 26, 2012",0.699
"Jan 2, 2013",0.785
"Jan 11, 2013",0.675
"Jan 18, 2013",0.706
"Feb 3, 2013",0.802
"Feb 12, 2013",0.802
"Feb 19, 2013",0.708
"Feb 28, 2013",0.714
"Mar 7, 2013",0.686
"Mar 16, 2013",0.726
"Mar 23, 2013",0.63
"Apr 1, 2013",0.681
"Apr 8, 2013",0.789
"Apr 17, 2013",0.657
"May 3, 2013",0.658
"Jun 4, 2013",0.971
"Sep 8, 2013",0.829
"Sep 15, 2013",0.751
"Oct 17, 2013",0.719
"Oct 26, 2013",0.87
"Nov 2, 2013",0.814
"Nov 11, 2013",0.947
"Nov 18, 2013",0.906
"Nov 27, 2013",0.776
"Dec 4, 2013",0.837
"Dec 13, 2013",0.839
"Dec 20, 2013",0.718
"Dec 29, 2013",0.921
"Jan 5, 2014",0.798
"Jan 14, 2014",0.928
"Jan 21, 2014",0.963
"Jan 30, 2014",0.666
"Feb 6, 2014",0.667
"Feb 22, 2014",0.732
"Mar 3, 2014",0.582
