system:time_start,Khodiyar lake Bhavnagar
"Jan 13, 2011",1.558
"Jan 29, 2011",1.346
"Feb 14, 2011",1.294
"Mar 2, 2011",1.063
"Apr 3, 2011",0.813
"Apr 19, 2011",0.771
"May 5, 2011",0.71
"May 21, 2011",0.744
"Sep 26, 2011",0.789
"Oct 28, 2011",0.768
"Nov 13, 2011",0.84
"Dec 15, 2011",0.94
"Dec 31, 2011",1.047
"Jan 16, 2012",0.916
"Feb 1, 2012",1.059
"Feb 17, 2012",0.977
"Mar 4, 2012",0.787
"Mar 20, 2012",0.675
"Apr 5, 2012",0.528
"Apr 21, 2012",0.531
"Apr 30, 2012",
"May 7, 2012",0.553
"May 23, 2012",0.516
"Jun 8, 2012",0.797
"Jun 24, 2012",0.76
"Sep 28, 2012",0.406
"Oct 14, 2012",0.469
"Oct 30, 2012",0.504
"Nov 15, 2012",0.561
"Dec 1, 2012",0.505
"Jan 18, 2013",0.531
"Feb 3, 2013",0.57
"Feb 19, 2013",0.492
"Mar 7, 2013",0.497
"Mar 23, 2013",0.492
"Apr 8, 2013",0.554
"Apr 24, 2013",0.45
"May 10, 2013",0.689
"Sep 15, 2013",0.851
"Oct 17, 2013",0.914
"Nov 2, 2013",1.329
"Nov 18, 2013",1.344
"Dec 4, 2013",1.269
"Dec 20, 2013",1.212
"Jan 5, 2014",1.668
"Jan 21, 2014",0.989
"Feb 6, 2014",1.652
"Feb 22, 2014",1.202
"Mar 10, 2014",1.724
"Mar 26, 2014",1.26
"Apr 11, 2014",1.243
"Apr 27, 2014",0.977
"May 13, 2014",1.108
"May 29, 2014",0.926
"Jun 14, 2014",0.952
"Jun 30, 2014",0.771
"Oct 20, 2014",0.878
"Nov 5, 2014",0.873
"Nov 21, 2014",0.725
"Dec 7, 2014",1.021
"Dec 23, 2014",1.14
"Jan 8, 2015",1.164
"Jan 24, 2015",0.886
"Feb 9, 2015",1.073
"Feb 25, 2015",0.886
"Apr 14, 2015",0.8
"Apr 30, 2015",0.668
"Jun 1, 2015",0.59
"Jul 3, 2015",1.083
"Sep 5, 2015",1.14
"Oct 7, 2015",1.098
"Oct 23, 2015",0.961
"Nov 8, 2015",1.352
"Nov 24, 2015",0.997
"Dec 10, 2015",1.4
"Dec 26, 2015",1.469
"Jan 11, 2016",1.217
"Jan 27, 2016",1.228
"Feb 12, 2016",0.924
"Feb 28, 2016",1.051
"Mar 15, 2016",0.958
"Mar 31, 2016",0.719
"Apr 16, 2016",0.824
"May 2, 2016",0.765
"May 18, 2016",0.634
"Jun 19, 2016",0.746
"Sep 7, 2016",0.566
"Sep 23, 2016",0.538
"Oct 9, 2016",0.792
"Oct 25, 2016",0.87
"Nov 10, 2016",0.778
"Nov 26, 2016",0.966
"Dec 12, 2016",0.896
"Dec 28, 2016",0.643
"Jan 13, 2017",0.712
"Jan 29, 2017",0.661
"Feb 14, 2017",0.631
"Mar 2, 2017",0.507
"Mar 18, 2017",0.497
"Apr 3, 2017",0.503
"Apr 19, 2017",0.499
"May 5, 2017",0.494
"May 21, 2017",0.523
"Jun 6, 2017",0.581
"Jul 8, 2017",1.35
"Aug 9, 2017",0.629
"Sep 10, 2017",0.647
"Sep 26, 2017",0.91
"Oct 28, 2017",1.026
"Nov 13, 2017",0.877
"Nov 29, 2017",1.091
"Dec 15, 2017",1.063
"Dec 31, 2017",1.167
"Jan 16, 2018",1.422
"Feb 1, 2018",1.18
"Feb 17, 2018",1.126
"Mar 5, 2018",1.046
"Mar 21, 2018",0.816
"Apr 6, 2018",0.711
"Apr 22, 2018",0.695
"May 24, 2018",0.576
"Sep 13, 2018",0.656
"Sep 29, 2018",0.752
"Oct 15, 2018",0.717
"Oct 31, 2018",0.981
"Nov 16, 2018",0.917
"Dec 2, 2018",0.785
"Dec 18, 2018",0.989
"Jan 3, 2019",0.834
"Jan 19, 2019",0.891
"Feb 4, 2019",0.871
"Feb 20, 2019",0.597
"Mar 8, 2019",0.618
"Mar 24, 2019",0.586
"Apr 9, 2019",0.532
"Apr 25, 2019",0.538
"May 11, 2019",0.524
"May 27, 2019",0.489
"Jul 14, 2019",0.602
"Aug 31, 2019",0.766
"Oct 2, 2019",0.82
"Oct 18, 2019",0.885
"Nov 3, 2019",0.642
"Nov 19, 2019",0.862
"Dec 5, 2019",0.913
"Dec 21, 2019",1.301
