system:time_start,Kuvadva lake kuvadva tal & dist. :Rajkot
"Jan 13, 2011",1.363
"Jan 29, 2011",1.277
"Feb 14, 2011",1.042
"Mar 2, 2011",0.733
"Mar 25, 2011",0.711
"Apr 3, 2011",0.636
"Apr 10, 2011",0.72
"Apr 19, 2011",0.601
"Apr 26, 2011",0.505
"May 5, 2011",0.521
"May 12, 2011",0.507
"May 21, 2011",0.65
"Sep 26, 2011",0.979
"Oct 3, 2011",1.103
"Oct 19, 2011",0.909
"Oct 28, 2011",0.968
"Nov 4, 2011",0.911
"Nov 13, 2011",1.078
"Nov 20, 2011",1.257
"Dec 6, 2011",1.421
"Dec 15, 2011",1.463
"Dec 22, 2011",1.092
"Dec 31, 2011",1.394
"Jan 7, 2012",1.387
"Jan 16, 2012",1.384
"Jan 23, 2012",1.226
"Feb 1, 2012",1.278
"Feb 8, 2012",0.987
"Feb 17, 2012",1.103
"Feb 24, 2012",0.78
"Mar 4, 2012",0.657
"Mar 11, 2012",0.576
"Mar 20, 2012",0.739
"Mar 27, 2012",0.708
"Apr 5, 2012",0.519
"Apr 12, 2012",0.457
"Apr 21, 2012",0.491
"Apr 28, 2012",0.466
"May 7, 2012",0.464
"May 23, 2012",0.431
"May 30, 2012",0.453
"Jun 8, 2012",0.728
"Jun 24, 2012",0.526
"Jul 1, 2012",0.461
"Sep 19, 2012",0.679
"Sep 28, 2012",0.925
"Oct 5, 2012",0.88
"Oct 14, 2012",0.89
"Oct 21, 2012",0.904
"Oct 30, 2012",0.855
"Nov 6, 2012",0.957
"Nov 15, 2012",0.981
"Nov 22, 2012",0.893
"Dec 1, 2012",0.773
"Dec 8, 2012",0.891
"Jan 9, 2013",0.528
"Jan 18, 2013",0.446
"Jan 25, 2013",0.441
"Feb 3, 2013",0.595
"Feb 10, 2013",0.491
"Feb 19, 2013",0.511
"Feb 26, 2013",0.313
"Feb 26, 2013",
"Mar 7, 2013",0.451
"Mar 14, 2013",0.409
"Mar 23, 2013",0.356
"Apr 8, 2013",0.358
"Apr 15, 2013",0.281
"Apr 24, 2013",0.36
"May 1, 2013",0.341
"May 10, 2013",0.396
"May 17, 2013",0.423
"Jun 2, 2013",0.417
"Aug 5, 2013",0.585
"Aug 21, 2013",0.625
"Sep 6, 2013",0.581
"Sep 15, 2013",0.505
"Oct 8, 2013",0.823
"Oct 17, 2013",0.996
