system:time_start,Malav lake Ahmedabad
"Jan 6, 2011",
"Jan 13, 2011",
"Jan 22, 2011",1.064
"Jan 29, 2011",0.724
"Feb 14, 2011",0.66
"Mar 2, 2011",0.537
"Mar 27, 2011",
"Apr 3, 2011",0.435
"Apr 19, 2011",0.448
"May 5, 2011",0.49
"May 14, 2011",0.454
"May 30, 2011",0.283
"Sep 26, 2011",
"Oct 21, 2011",0.389
"Oct 28, 2011",
"Nov 6, 2011",0.249
"Nov 13, 2011",0.3
"Nov 22, 2011",0.289
"Dec 8, 2011",
"Dec 15, 2011",
"Dec 24, 2011",
"Dec 31, 2011",0.73
"Jan 9, 2012",0.524
"Jan 16, 2012",0.514
"Jan 25, 2012",0.581
"Feb 1, 2012",
"Feb 10, 2012",0.517
"Feb 17, 2012",
"Feb 26, 2012",0.363
"Mar 4, 2012",0.329
"Mar 13, 2012",0.258
"Mar 20, 2012",0.527
"Mar 29, 2012",0.329
"Apr 5, 2012",0.276
"Apr 14, 2012",
"Apr 21, 2012",0.258
"Apr 30, 2012",0.37
"May 7, 2012",0.399
"May 23, 2012",0.379
"Jun 1, 2012",
"Jun 8, 2012",0.761
"Jun 24, 2012",1.78
"Jul 3, 2012",
"Sep 21, 2012",
"Sep 28, 2012",0.31
"Oct 7, 2012",0.342
"Oct 14, 2012",0.304
"Oct 23, 2012",0.383
"Oct 30, 2012",0.264
"Nov 8, 2012",
"Nov 15, 2012",
"Nov 24, 2012",
"Dec 1, 2012",0.512
"Dec 10, 2012",0.393
"Dec 17, 2012",
"Dec 26, 2012",
"Jan 2, 2013",
"Jan 11, 2013",0.333
"Jan 18, 2013",0.402
"Feb 3, 2013",0.681
"Feb 12, 2013",0.497
"Feb 19, 2013",0.352
"Feb 28, 2013",
"Mar 7, 2013",0.28
"Mar 16, 2013",
"Mar 23, 2013",0.443
"Apr 1, 2013",0.351
"Apr 8, 2013",0.829
"Apr 17, 2013",
"May 3, 2013",0.239
"Jun 4, 2013",
"Sep 8, 2013",0.612
"Sep 15, 2013",0.592
"Oct 17, 2013",0.568
"Oct 26, 2013",0.643
"Nov 2, 2013",0.458
"Nov 11, 2013",0.774
"Nov 18, 2013",
"Nov 27, 2013",
"Dec 4, 2013",0.72
"Dec 13, 2013",0.672
"Dec 20, 2013",
"Dec 29, 2013",
"Jan 5, 2014",0.813
"Jan 14, 2014",0.841
"Jan 21, 2014",
"Jan 30, 2014",0.675
"Feb 6, 2014",0.607
"Feb 22, 2014",
"Mar 3, 2014",
"Mar 10, 2014",0.496
"Mar 19, 2014",0.508
"Mar 26, 2014",0.485
"Apr 4, 2014",
"Apr 11, 2014",0.428
"Apr 20, 2014",0.54
"Apr 27, 2014",0.451
"May 6, 2014",0.457
"May 13, 2014",0.462
"May 22, 2014",0.36
"May 29, 2014",
"Jun 7, 2014",0.504
"Jun 30, 2014",2.385
"Oct 13, 2014",
"Oct 29, 2014",0.765
"Nov 5, 2014",0.287
"Nov 14, 2014",
"Nov 21, 2014",0.361
"Nov 30, 2014",0.374
"Dec 7, 2014",0.29
"Dec 16, 2014",
"Dec 23, 2014",0.629
"Jan 8, 2015",0.718
"Jan 17, 2015",0.646
"Jan 24, 2015",
"Feb 2, 2015",0.766
"Feb 9, 2015",
"Feb 18, 2015",0.558
"Feb 25, 2015",0.644
"Mar 6, 2015",
"Mar 13, 2015",0.514
"Mar 22, 2015",
"Apr 7, 2015",0.548
"Apr 14, 2015",0.477
"Apr 23, 2015",
"Apr 30, 2015",0.331
"May 9, 2015",
"May 16, 2015",0.278
"May 25, 2015",0.404
"Jun 1, 2015",0.329
"Sep 5, 2015",0.684
"Sep 14, 2015",0.367
"Oct 7, 2015",0.248
"Oct 16, 2015",
"Oct 23, 2015",0.241
"Nov 1, 2015",0.26
"Nov 8, 2015",0.302
"Nov 17, 2015",
"Dec 3, 2015",0.24
"Dec 10, 2015",
"Dec 19, 2015",0.295
"Dec 26, 2015",0.291
"Jan 4, 2016",
"Jan 11, 2016",0.452
"Jan 20, 2016",
"Jan 27, 2016",0.414
"Feb 5, 2016",0.326
"Feb 12, 2016",0.385
"Feb 21, 2016",0.496
"Feb 28, 2016",
"Mar 8, 2016",0.41
"Mar 15, 2016",0.564
"Mar 24, 2016",0.312
"Mar 31, 2016",0.238
"Apr 9, 2016",0.219
"Apr 16, 2016",0.193
"May 2, 2016",0.298
"May 11, 2016",
"May 18, 2016",0.293
"Jun 19, 2016",2.213
"Sep 23, 2016",0.194
"Oct 9, 2016",0.843
"Oct 18, 2016",0.206
"Oct 25, 2016",
"Nov 3, 2016",0.301
"Nov 10, 2016",0.261
"Nov 19, 2016",0.322
"Nov 26, 2016",
"Dec 5, 2016",0.352
"Dec 12, 2016",0.305
"Dec 21, 2016",0.327
"Dec 28, 2016",0.399
"Jan 6, 2017",
"Jan 13, 2017",0.357
"Jan 22, 2017",
"Jan 29, 2017",0.278
"Feb 7, 2017",
"Feb 14, 2017",0.444
"Feb 23, 2017",
"Mar 2, 2017",0.389
"Mar 11, 2017",
"Mar 18, 2017",0.285
"Mar 27, 2017",
"Apr 3, 2017",
"Apr 12, 2017",0.234
"Apr 19, 2017",0.251
"Apr 28, 2017",0.281
"May 5, 2017",
"May 14, 2017",
"May 21, 2017",0.436
"Jun 6, 2017",0.424
"Jun 15, 2017",
"Jul 8, 2017",0.406
"Sep 10, 2017",0.568
"Sep 19, 2017",0.644
"Sep 26, 2017",0.552
"Oct 5, 2017",0.491
"Oct 21, 2017",
"Oct 28, 2017",0.61
"Nov 6, 2017",0.723
"Nov 13, 2017",0.676
"Nov 22, 2017",0.684
"Nov 29, 2017",0.652
"Dec 8, 2017",
"Dec 15, 2017",0.709
"Dec 24, 2017",0.581
"Dec 31, 2017",0.739
"Jan 9, 2018",0.657
"Jan 16, 2018",0.555
"Jan 25, 2018",0.614
"Feb 1, 2018",0.69
"Feb 17, 2018",
"Feb 26, 2018",0.367
"Mar 5, 2018",0.293
"Mar 14, 2018",
"Mar 21, 2018",0.259
"Mar 30, 2018",0.316
"Apr 6, 2018",
"Apr 15, 2018",0.569
"Apr 22, 2018",0.335
"May 1, 2018",0.362
"May 17, 2018",0.421
"May 24, 2018",0.426
"Jun 2, 2018",0.48
"Sep 29, 2018",0.235
"Oct 8, 2018",0.31
"Oct 15, 2018",
"Oct 24, 2018",
"Oct 31, 2018",
"Nov 9, 2018",
"Nov 16, 2018",0.434
"Nov 25, 2018",0.369
"Dec 2, 2018",0.667
"Dec 11, 2018",0.419
"Dec 18, 2018",0.296
"Dec 27, 2018",
"Jan 3, 2019",0.359
"Jan 12, 2019",0.455
"Jan 19, 2019",0.331
"Jan 28, 2019",
