system:time_start,Moonsar lake Viramgam
"Jan 13, 2011",0.84
"Jan 29, 2011",0.867
"Feb 14, 2011",0.884
"Mar 2, 2011",0.621
"Apr 3, 2011",0.642
"Apr 19, 2011",0.601
"May 5, 2011",0.585
"Sep 26, 2011",0.658
"Oct 28, 2011",0.822
"Nov 13, 2011",0.846
"Dec 15, 2011",0.736
"Dec 31, 2011",0.785
"Jan 16, 2012",0.836
"Feb 1, 2012",0.817
"Feb 17, 2012",0.754
"Mar 4, 2012",0.616
"Mar 20, 2012",0.693
"Apr 5, 2012",0.582
"Apr 21, 2012",0.54
"May 7, 2012",0.549
"May 23, 2012",0.506
"Jun 8, 2012",0.737
"Jun 24, 2012",0.815
"Sep 28, 2012",0.435
"Oct 14, 2012",0.374
"Oct 30, 2012",0.415
"Nov 15, 2012",0.456
"Dec 1, 2012",0.361
"Dec 17, 2012",0.446
"Jan 2, 2013",0.333
"Jan 18, 2013",0.372
"Feb 3, 2013",0.432
"Feb 19, 2013",0.427
"Mar 7, 2013",0.472
"Mar 23, 2013",0.563
"Apr 8, 2013",0.809
"Sep 15, 2013",0.674
"Oct 17, 2013",0.753
"Nov 2, 2013",0.81
"Nov 18, 2013",0.894
"Dec 4, 2013",0.799
"Dec 20, 2013",0.793
"Jan 5, 2014",0.729
"Jan 21, 2014",0.905
"Feb 6, 2014",0.668
"Feb 22, 2014",0.758
"Mar 10, 2014",0.848
"Mar 26, 2014",0.613
"Apr 11, 2014",0.571
"Apr 27, 2014",0.624
"May 13, 2014",0.772
"May 29, 2014",0.663
"Jun 30, 2014",0.703
"Nov 5, 2014",0.783
"Nov 21, 2014",0.762
"Dec 7, 2014",0.807
"Dec 23, 2014",0.797
"Jan 8, 2015",0.648
"Jan 24, 2015",0.764
"Feb 9, 2015",0.711
"Feb 25, 2015",0.767
"Mar 13, 2015",0.755
"Apr 14, 2015",0.83
"Apr 30, 2015",0.654
"May 16, 2015",0.706
"Jun 1, 2015",0.652
"Sep 5, 2015",0.916
"Oct 7, 2015",0.733
"Oct 23, 2015",0.743
"Nov 8, 2015",0.805
"Dec 10, 2015",0.713
"Dec 26, 2015",0.672
"Jan 11, 2016",0.715
"Jan 27, 2016",0.52
"Feb 12, 2016",0.556
"Feb 28, 2016",0.703
"Mar 15, 2016",0.701
"Mar 31, 2016",0.694
"Apr 16, 2016",0.731
"May 2, 2016",0.703
"May 18, 2016",0.638
"Jun 19, 2016",1
"Sep 23, 2016",0.558
"Oct 9, 2016",0.652
"Oct 25, 2016",0.618
"Nov 10, 2016",0.593
"Nov 26, 2016",0.55
"Dec 12, 2016",0.54
"Dec 28, 2016",0.631
"Jan 13, 2017",0.538
"Jan 29, 2017",0.5
"Feb 14, 2017",0.613
"Mar 2, 2017",0.571
"Mar 18, 2017",0.533
"Apr 3, 2017",0.67
"Apr 19, 2017",0.579
"May 5, 2017",0.824
"May 21, 2017",0.681
"Jun 6, 2017",0.621
"Jul 8, 2017",0.671
"Sep 10, 2017",0.797
"Sep 26, 2017",0.655
"Oct 28, 2017",0.679
"Nov 13, 2017",0.696
"Nov 29, 2017",0.668
"Dec 15, 2017",0.788
"Dec 31, 2017",0.7
"Jan 16, 2018",0.635
"Feb 1, 2018",0.756
"Feb 17, 2018",0.623
"Mar 5, 2018",0.787
"Mar 21, 2018",0.695
"Apr 6, 2018",0.649
"Apr 22, 2018",0.662
"May 24, 2018",0.647
"Sep 29, 2018",0.711
"Oct 15, 2018",0.6
"Oct 31, 2018",0.708
"Nov 16, 2018",0.67
"Dec 2, 2018",0.732
"Dec 18, 2018",0.611
"Jan 3, 2019",0.514
"Jan 19, 2019",0.483
"Feb 4, 2019",0.786
"Feb 20, 2019",0.579
"Mar 8, 2019",0.531
"Mar 24, 2019",0.54
"Apr 9, 2019",0.491
"Apr 25, 2019",0.603
"May 11, 2019",0.434
"May 27, 2019",0.422
"Jun 28, 2019",0.88
"Aug 31, 2019",0.317
"Oct 18, 2019",0.667
"Nov 19, 2019",0.497
"Dec 5, 2019",0.581
"Dec 21, 2019",0.582
