system:time_start,Nalsarovar dist: Ahmedabad
"Jan 13, 2011",1.31
"Jan 29, 2011",1.276
"Feb 14, 2011",1.193
"Mar 2, 2011",0.883
"Apr 3, 2011",0.847
"Apr 19, 2011",0.68
"May 5, 2011",0.578
"Sep 26, 2011",0.946
"Oct 28, 2011",0.894
"Nov 13, 2011",0.883
"Dec 15, 2011",1.112
"Dec 31, 2011",1.118
"Jan 16, 2012",0.96
"Feb 1, 2012",1.122
"Feb 17, 2012",1.051
"Mar 4, 2012",0.851
"Mar 20, 2012",0.826
"Apr 5, 2012",0.802
"Apr 21, 2012",0.813
"May 7, 2012",0.646
"May 23, 2012",0.564
"Jun 8, 2012",0.78
"Jun 24, 2012",0.978
"Sep 28, 2012",1.31
"Oct 14, 2012",1.046
"Oct 30, 2012",0.957
"Nov 15, 2012",0.909
"Dec 1, 2012",0.87
"Dec 17, 2012",0.888
"Jan 2, 2013",1.19
"Jan 18, 2013",1.158
"Feb 3, 2013",0.996
"Feb 19, 2013",1.211
"Mar 7, 2013",1.046
"Mar 23, 2013",0.841
"Apr 8, 2013",0.824
"Sep 15, 2013",0.784
"Oct 17, 2013",1.067
"Nov 2, 2013",0.979
"Nov 18, 2013",1.042
"Dec 4, 2013",0.954
"Dec 20, 2013",0.942
"Jan 5, 2014",1.001
"Jan 21, 2014",1.838
"Feb 6, 2014",1.004
"Feb 22, 2014",0.958
"Mar 10, 2014",0.993
"Mar 26, 2014",0.709
"Apr 11, 2014",0.552
"Apr 27, 2014",0.494
"May 13, 2014",0.416
"May 29, 2014",0.432
"Jun 30, 2014",0.982
"Nov 5, 2014",0.839
"Nov 21, 2014",0.869
"Dec 7, 2014",0.975
"Dec 23, 2014",1.065
"Jan 8, 2015",1.029
"Jan 24, 2015",1.077
"Feb 9, 2015",1.242
"Feb 25, 2015",1.094
"Mar 13, 2015",0.931
"Apr 14, 2015",0.757
"Apr 30, 2015",0.525
"May 16, 2015",0.48
"Jun 1, 2015",0.504
"Sep 5, 2015",1.127
"Oct 7, 2015",0.936
"Oct 23, 2015",0.917
"Nov 8, 2015",1.046
"Dec 10, 2015",1.052
"Dec 26, 2015",1.125
"Jan 11, 2016",1.047
"Jan 27, 2016",1.021
"Feb 12, 2016",0.854
"Feb 28, 2016",0.942
"Mar 15, 2016",0.795
"Mar 31, 2016",0.656
"Apr 16, 2016",0.599
"May 2, 2016",0.61
"May 18, 2016",0.57
"Jun 19, 2016",2.534
"Sep 23, 2016",0.882
"Oct 9, 2016",1.143
"Oct 25, 2016",1.047
"Nov 10, 2016",0.931
"Nov 26, 2016",0.992
"Dec 12, 2016",0.942
"Dec 28, 2016",1.051
"Jan 13, 2017",1.003
"Jan 29, 2017",1.029
"Feb 14, 2017",1.033
"Mar 2, 2017",0.86
"Mar 18, 2017",0.748
"Apr 3, 2017",0.635
"Apr 19, 2017",0.523
"May 5, 2017",0.675
"May 21, 2017",0.559
"Jun 6, 2017",0.706
"Jul 8, 2017",1.311
"Sep 10, 2017",1.024
"Sep 26, 2017",0.873
"Oct 28, 2017",0.755
"Nov 13, 2017",0.809
"Nov 29, 2017",0.848
"Dec 15, 2017",0.886
"Dec 31, 2017",1.026
"Jan 16, 2018",0.888
"Feb 1, 2018",0.948
"Feb 17, 2018",0.818
"Mar 5, 2018",0.818
"Mar 21, 2018",0.698
"Apr 6, 2018",0.633
"Apr 22, 2018",0.492
"May 24, 2018",0.559
"Sep 29, 2018",0.638
"Oct 15, 2018",0.646
"Oct 31, 2018",0.652
"Nov 16, 2018",0.639
"Dec 2, 2018",0.786
"Dec 18, 2018",0.619
"Jan 3, 2019",0.551
"Jan 19, 2019",0.532
"Feb 4, 2019",0.812
"Feb 20, 2019",0.518
"Mar 8, 2019",0.557
"Mar 24, 2019",0.533
"Apr 9, 2019",0.519
"Apr 25, 2019",0.552
"May 11, 2019",0.572
"May 27, 2019",0.57
"Jun 28, 2019",0.903
"Aug 31, 2019",1.558
"Oct 18, 2019",1.07
"Nov 19, 2019",0.75
"Dec 5, 2019",0.887
"Dec 21, 2019",0.853
