system:time_start,Narsinh Mehta Talav
"Mar 25, 2011",0.73
"Apr 10, 2011",0.67
"Apr 26, 2011",0.522
"May 12, 2011",0.575
"Sep 1, 2011",0.643
"Oct 3, 2011",0.612
"Oct 19, 2011",2.175
"Nov 20, 2011",0.454
"Dec 6, 2011",0.487
"Dec 22, 2011",0.611
"Jan 7, 2012",0.474
"Jan 23, 2012",0.635
"Feb 8, 2012",0.48
"Feb 24, 2012",0.521
"Mar 11, 2012",0.516
"Mar 27, 2012",0.441
"Apr 28, 2012",0.442
"May 7, 2012",0.413
"May 14, 2012",0.459
"May 23, 2012",0.457
"May 30, 2012",0.543
"Jun 15, 2012",3.144
"Jul 1, 2012",0.545
"Jul 17, 2012",1.422
"Sep 19, 2012",0.553
"Oct 5, 2012",0.607
"Oct 21, 2012",0.681
"Nov 6, 2012",0.857
"Nov 22, 2012",0.581
"Dec 8, 2012",0.699
"Dec 24, 2012",0.465
"Jan 9, 2013",0.547
"Jan 25, 2013",0.576
"Feb 10, 2013",0.451
"Feb 26, 2013",0.308
"Mar 14, 2013",0.506
"May 17, 2013",0.518
"Jun 2, 2013",0.472
"Oct 24, 2013",0.855
"Nov 9, 2013",0.941
"Nov 25, 2013",0.821
"Dec 11, 2013",1.029
"Dec 27, 2013",0.901
"Jan 12, 2014",0.829
"Jan 28, 2014",0.874
"Feb 6, 2014",0.499
"Feb 13, 2014",0.848
"Mar 1, 2014",0.746
"Mar 17, 2014",0.499
"Apr 2, 2014",0.479
"Apr 18, 2014",0.74
"May 4, 2014",0.672
"May 20, 2014",0.694
"Jun 5, 2014",0.619
"Jun 21, 2014",0.677
"Oct 27, 2014",0.761
"Nov 12, 2014",0.504
"Nov 28, 2014",0.949
"Dec 14, 2014",0.925
"Dec 30, 2014",1.019
"Jan 15, 2015",0.933
"Jan 31, 2015",0.887
"Feb 16, 2015",0.835
"Mar 4, 2015",0.485
"Mar 20, 2015",0.693
"Apr 21, 2015",0.634
"May 7, 2015",0.615
"Jul 10, 2015",1.487
"Aug 11, 2015",1.064
"Sep 12, 2015",0.68
"Sep 28, 2015",0.587
"Oct 14, 2015",0.683
"Oct 30, 2015",0.636
"Nov 15, 2015",0.869
"Dec 1, 2015",0.892
"Dec 17, 2015",0.772
"Jan 2, 2016",0.803
"Jan 18, 2016",0.706
"Feb 3, 2016",0.609
"Feb 19, 2016",0.816
"Mar 6, 2016",0.6
"Mar 22, 2016",0.54
"Apr 7, 2016",0.399
"Apr 23, 2016",0.495
"May 9, 2016",0.507
"May 25, 2016",0.646
"Aug 13, 2016",0.769
"Sep 14, 2016",0.729
"Sep 30, 2016",0.732
"Oct 16, 2016",0.751
"Nov 1, 2016",0.937
"Nov 17, 2016",0.678
"Dec 3, 2016",0.567
"Dec 19, 2016",0.646
"Jan 4, 2017",0.518
"Jan 20, 2017",0.651
"Feb 5, 2017",0.387
"Feb 21, 2017",0.413
"Mar 9, 2017",0.455
"Mar 25, 2017",0.402
"Apr 10, 2017",0.562
"Apr 26, 2017",0.334
"May 12, 2017",0.539
"May 28, 2017",0.997
"Jun 13, 2017",0.567
"Sep 1, 2017",1.555
"Oct 3, 2017",0.562
"Oct 19, 2017",0.644
"Nov 4, 2017",0.589
"Nov 13, 2017",0.759
"Nov 20, 2017",0.711
"Nov 29, 2017",0.548
"Dec 15, 2017",0.662
"Dec 22, 2017",0.804
"Jan 7, 2018",0.47
"Jan 23, 2018",0.511
"Feb 8, 2018",0.541
"Feb 24, 2018",0.524
"Mar 12, 2018",0.381
"Mar 28, 2018",0.416
"Apr 13, 2018",0.479
"Apr 29, 2018",0.471
"May 15, 2018",0.446
"May 31, 2018",0.636
"Jun 16, 2018",1.828
"Jul 2, 2018",0.63
"Sep 4, 2018",1.281
"Sep 20, 2018",0.722
"Oct 6, 2018",0.64
"Oct 22, 2018",0.629
"Nov 7, 2018",0.587
"Nov 23, 2018",0.737
"Dec 25, 2018",0.697
"Jan 10, 2019",0.489
"Jan 26, 2019",0.54
"Feb 11, 2019",0.313
"Feb 27, 2019",0.453
"Mar 15, 2019",0.445
"Mar 31, 2019",0.426
"Apr 16, 2019",0.449
"May 2, 2019",0.393
"May 18, 2019",0.429
"Jun 3, 2019",0.458
"Jul 5, 2019",0.859
"Aug 22, 2019",2.653
"Sep 23, 2019",0.694
"Oct 9, 2019",0.864
"Oct 25, 2019",0.655
"Nov 10, 2019",0.564
"Nov 26, 2019",1.073
"Dec 12, 2019",0.957
"Dec 28, 2019",0.977
