system:time_start,Padara lake Padara Vadodara
"Jan 6, 2011",0.358
"Jan 22, 2011",0.341
"Apr 28, 2011",0.377
"May 14, 2011",0.363
"Oct 21, 2011",0.601
"Nov 6, 2011",0.548
"Nov 22, 2011",0.41
"Dec 8, 2011",0.548
"Dec 24, 2011",0.594
"Jan 9, 2012",0.591
"Jan 25, 2012",0.483
"Feb 10, 2012",0.407
"Feb 26, 2012",0.474
"Mar 13, 2012",0.444
"Mar 29, 2012",0.425
"Apr 14, 2012",0.491
"Apr 30, 2012",0.454
"Jun 1, 2012",0.704
"Sep 21, 2012",0.572
"Oct 7, 2012",0.512
"Oct 23, 2012",0.601
"Nov 8, 2012",0.542
"Nov 24, 2012",0.509
"Dec 10, 2012",0.592
"Dec 26, 2012",0.464
"Jan 11, 2013",0.439
"Feb 12, 2013",0.477
"Feb 28, 2013",0.414
"Mar 16, 2013",0.456
"Apr 1, 2013",0.37
"Apr 17, 2013",0.329
"May 3, 2013",0.289
"May 19, 2013",0.326
"Jun 4, 2013",0.757
"Sep 8, 2013",1.264
"Oct 26, 2013",0.573
"Nov 11, 2013",0.655
"Nov 27, 2013",0.628
"Dec 13, 2013",0.505
"Dec 29, 2013",0.721
"Jan 14, 2014",0.783
"Jan 30, 2014",0.651
"Mar 3, 2014",0.521
"Mar 19, 2014",0.514
"Apr 4, 2014",0.507
"Apr 20, 2014",0.416
"May 6, 2014",0.417
"May 22, 2014",0.349
"Jun 7, 2014",0.54
"Jun 23, 2014",2.696
"Oct 13, 2014",0.528
"Oct 29, 2014",0.574
"Nov 14, 2014",0.797
"Nov 30, 2014",0.612
"Jan 1, 2015",0.835
"Jan 17, 2015",0.567
"Feb 2, 2015",0.481
"Feb 18, 2015",0.517
"Mar 6, 2015",0.577
"Mar 22, 2015",0.408
"Apr 7, 2015",0.534
"Apr 23, 2015",0.5
"May 9, 2015",0.48
"May 25, 2015",0.494
"Sep 14, 2015",0.565
"Oct 16, 2015",0.565
"Nov 1, 2015",0.642
"Nov 17, 2015",0.619
"Dec 3, 2015",0.66
"Jan 4, 2016",0.647
"Jan 20, 2016",0.687
"Feb 5, 2016",0.557
"Feb 21, 2016",0.705
"Mar 8, 2016",0.471
"Mar 24, 2016",0.516
"Apr 9, 2016",0.442
"Apr 25, 2016",0.626
"May 11, 2016",0.434
"May 27, 2016",0.708
"Oct 18, 2016",0.519
"Nov 3, 2016",0.59
"Nov 19, 2016",0.539
"Dec 5, 2016",0.649
"Dec 21, 2016",0.634
"Jan 6, 2017",0.732
"Jan 22, 2017",0.667
"Feb 7, 2017",0.546
"Feb 23, 2017",0.65
"Mar 11, 2017",0.511
"Mar 27, 2017",0.583
"Apr 12, 2017",0.51
"Apr 28, 2017",0.553
"May 14, 2017",0.593
"May 30, 2017",0.698
"Jun 15, 2017",0.527
"Sep 19, 2017",0.63
"Oct 5, 2017",0.555
"Oct 21, 2017",0.601
"Nov 6, 2017",0.632
"Nov 22, 2017",0.712
"Dec 8, 2017",0.853
"Dec 24, 2017",0.721
"Jan 9, 2018",0.723
"Jan 25, 2018",0.641
"Feb 10, 2018",0.709
"Feb 26, 2018",0.619
"Mar 14, 2018",0.559
"Mar 30, 2018",0.495
"Apr 15, 2018",0.491
"May 1, 2018",0.479
"May 17, 2018",0.429
"Jun 2, 2018",0.54
"Jun 18, 2018",0.664
"Oct 8, 2018",0.876
"Oct 24, 2018",0.521
"Nov 9, 2018",0.544
"Nov 25, 2018",0.561
"Dec 11, 2018",0.623
"Dec 27, 2018",0.733
"Jan 12, 2019",0.792
"Jan 28, 2019",0.763
"Feb 13, 2019",0.798
"Mar 1, 2019",0.57
"Mar 17, 2019",0.541
"Apr 2, 2019",0.535
"Apr 18, 2019",0.518
"May 4, 2019",0.481
"May 20, 2019",0.447
"Jun 5, 2019",0.462
"Aug 24, 2019",0.789
"Sep 25, 2019",0.652
"Oct 11, 2019",0.548
"Nov 12, 2019",0.642
"Nov 28, 2019",0.717
"Dec 14, 2019",0.516
"Dec 30, 2019",0.627
