system:time_start,Ranmal talav Jamnagar
"Mar 25, 2011",1.074
"Mar 25, 2011",1.05
"Apr 10, 2011",0.947
"Apr 10, 2011",0.926
"Apr 26, 2011",0.944
"Apr 26, 2011",0.915
"May 12, 2011",0.801
"May 12, 2011",0.791
"Sep 1, 2011",0.69
"Oct 3, 2011",1.083
"Oct 3, 2011",1.082
"Oct 19, 2011",1.062
"Oct 19, 2011",1.049
"Nov 4, 2011",1.01
"Nov 20, 2011",1.257
"Nov 20, 2011",1.257
"Dec 6, 2011",1.306
"Dec 6, 2011",1.32
"Dec 22, 2011",1.147
"Dec 22, 2011",1.131
"Jan 7, 2012",1.193
"Jan 7, 2012",1.216
"Jan 23, 2012",1.111
"Jan 23, 2012",1.113
"Feb 8, 2012",1.135
"Feb 8, 2012",1.148
"Feb 24, 2012",0.936
"Feb 24, 2012",0.921
"Mar 11, 2012",0.924
"Mar 11, 2012",0.917
"Mar 27, 2012",0.824
"Mar 27, 2012",0.83
"Apr 12, 2012",0.931
"Apr 28, 2012",0.792
"Apr 28, 2012",0.803
"May 14, 2012",0.743
"May 14, 2012",0.745
"May 30, 2012",0.717
"May 30, 2012",0.715
"Jun 15, 2012",0.928
"Jul 1, 2012",0.745
"Jul 17, 2012",2.574
"Sep 19, 2012",0.749
"Sep 19, 2012",0.749
"Oct 5, 2012",0.676
"Oct 5, 2012",0.674
"Oct 21, 2012",0.726
"Oct 21, 2012",0.718
"Nov 6, 2012",0.953
"Nov 6, 2012",0.94
"Nov 22, 2012",0.788
"Nov 22, 2012",0.781
"Dec 8, 2012",0.804
"Dec 8, 2012",0.802
"Dec 24, 2012",0.755
"Jan 9, 2013",0.719
"Jan 9, 2013",0.728
"Jan 25, 2013",0.716
"Jan 25, 2013",0.715
"Feb 10, 2013",0.709
"Feb 10, 2013",0.71
"Feb 26, 2013",0.659
"Feb 26, 2013",0.657
"Mar 14, 2013",0.588
"Mar 14, 2013",0.584
"Apr 15, 2013",0.57
"May 1, 2013",0.533
"May 17, 2013",0.571
