system:time_start,Saputara lake Saputara
"Jan 6, 2011",
"Jan 22, 2011",
"Jan 31, 2011",1.259
"Feb 16, 2011",1.452
"Mar 4, 2011",0.897
"Mar 20, 2011",1.072
"Apr 5, 2011",0.826
"May 7, 2011",0.657
"May 14, 2011",0.71
"May 23, 2011",0.762
"Sep 28, 2011",0.566
"Oct 14, 2011",0.628
"Nov 6, 2011",0.596
"Nov 15, 2011",0.781
"Dec 1, 2011",0.902
"Dec 17, 2011",1.099
"Jan 2, 2012",1.007
"Jan 18, 2012",0.829
"Jan 25, 2012",0.76
"Feb 19, 2012",0.924
"Mar 6, 2012",1.134
"Mar 22, 2012",0.801
"Apr 7, 2012",0.764
"Apr 23, 2012",0.814
"May 9, 2012",0.709
"May 25, 2012",0.445
"Jun 10, 2012",0.635
"Sep 30, 2012",0.763
"Oct 7, 2012",0.859
"Oct 16, 2012",0.601
"Nov 8, 2012",0.597
"Nov 17, 2012",0.93
"Dec 3, 2012",0.624
"Dec 10, 2012",0.929
"Jan 11, 2013",
"Jan 20, 2013",0.846
"Feb 5, 2013",0.986
"Feb 21, 2013",1.151
"Feb 28, 2013",-0.17
"Mar 9, 2013",1.037
"Mar 25, 2013",0.867
"Apr 1, 2013",
"Apr 10, 2013",0.799
"Apr 17, 2013",
"Apr 26, 2013",0.687
"May 12, 2013",0.571
"May 28, 2013",0.835
"Sep 1, 2013",0.859
"Sep 8, 2013",1.363
"Oct 19, 2013",1.012
"Oct 26, 2013",
"Nov 4, 2013",0.662
"Nov 11, 2013",
"Nov 20, 2013",0.891
"Nov 27, 2013",
"Dec 6, 2013",1.037
"Dec 13, 2013",
"Dec 22, 2013",1.029
"Jan 7, 2014",1.13
"Jan 23, 2014",0.825
"Feb 8, 2014",1.222
"Feb 24, 2014",1.048
"Mar 3, 2014",
"Mar 12, 2014",0.812
"Mar 19, 2014",0.827
"Mar 28, 2014",0.97
"Apr 4, 2014",0.522
"Apr 13, 2014",0.909
"Apr 20, 2014",
"Apr 29, 2014",0.765
"May 6, 2014",0.697
"May 15, 2014",0.83
"May 31, 2014",0.642
"Jun 7, 2014",-0.131
"Jun 23, 2014",
"Jul 2, 2014",1.446
"Aug 19, 2014",0.648
"Oct 6, 2014",0.724
"Oct 13, 2014",0.558
"Oct 22, 2014",0.731
"Oct 29, 2014",0.637
"Nov 7, 2014",0.801
"Nov 23, 2014",0.8
"Nov 30, 2014",0.796
"Dec 9, 2014",0.912
"Dec 25, 2014",0.993
"Jan 1, 2015",1.441
"Jan 10, 2015",1.068
"Jan 17, 2015",0.974
"Jan 26, 2015",0.759
"Feb 18, 2015",0.952
"Feb 27, 2015",1.064
"Mar 6, 2015",0.787
"Mar 15, 2015",0.995
"Mar 22, 2015",0.564
"Mar 31, 2015",0.833
"Apr 7, 2015",0.698
"Apr 16, 2015",0.938
"Apr 23, 2015",0.639
"May 2, 2015",0.591
"May 9, 2015",
"May 18, 2015",0.585
"Jun 3, 2015",0.543
"Jun 10, 2015",0.613
"Jul 5, 2015",0.753
"Sep 7, 2015",0.665
"Sep 23, 2015",0.705
"Oct 9, 2015",0.646
"Oct 16, 2015",0.611
"Oct 25, 2015",0.463
"Nov 1, 2015",0.653
"Nov 10, 2015",0.737
"Nov 17, 2015",0.426
"Nov 26, 2015",0.803
"Dec 3, 2015",0.804
"Dec 12, 2015",1.01
"Dec 19, 2015",0.393
"Dec 28, 2015",1.063
"Jan 4, 2016",
"Jan 13, 2016",0.807
"Jan 29, 2016",0.937
"Feb 14, 2016",0.933
"Feb 21, 2016",0.76
"Mar 1, 2016",1.073
"Mar 8, 2016",0.621
"Mar 17, 2016",0.892
"Mar 24, 2016",0.499
"Apr 2, 2016",0.733
"Apr 9, 2016",0.718
"Apr 18, 2016",0.681
"Apr 25, 2016",0.336
"May 4, 2016",0.619
"May 11, 2016",
"May 20, 2016",0.566
"May 27, 2016",0.622
"Jun 21, 2016",0.919
"Sep 9, 2016",1.621
"Sep 25, 2016",0.716
"Oct 11, 2016",0.852
"Oct 27, 2016",0.757
"Nov 12, 2016",0.858
"Nov 19, 2016",
"Nov 28, 2016",0.925
"Dec 14, 2016",1.066
"Dec 30, 2016",1.151
"Jan 15, 2017",0.867
"Jan 22, 2017",
"Jan 31, 2017",1.055
"Feb 16, 2017",1.025
"Feb 23, 2017",0.452
"Mar 4, 2017",1.027
"Mar 11, 2017",0.746
"Mar 20, 2017",0.746
"Mar 27, 2017",0.712
"Apr 5, 2017",0.737
"Apr 12, 2017",0.663
"Apr 21, 2017",0.748
"Apr 28, 2017",-0.092
"May 7, 2017",0.771
"May 14, 2017",-0.332
"May 23, 2017",0.449
"Sep 12, 2017",0.491
"Sep 28, 2017",0.808
"Oct 14, 2017",0.683
"Oct 30, 2017",0.663
"Nov 15, 2017",0.699
"Dec 1, 2017",0.783
"Dec 17, 2017",0.82
"Jan 2, 2018",0.976
"Jan 18, 2018",0.903
"Feb 3, 2018",0.97
"Feb 10, 2018",0.777
"Feb 19, 2018",0.878
"Feb 26, 2018",
"Mar 7, 2018",0.831
"Mar 23, 2018",0.77
"Apr 8, 2018",0.688
"Apr 24, 2018",0.713
"May 1, 2018",
"May 10, 2018",0.658
"May 17, 2018",
"May 26, 2018",0.625
"Aug 30, 2018",1.04
"Sep 15, 2018",0.735
"Oct 1, 2018",0.626
"Oct 8, 2018",-0.966
"Oct 17, 2018",0.752
"Oct 24, 2018",
"Nov 2, 2018",0.946
"Nov 18, 2018",0.82
"Dec 4, 2018",0.871
"Dec 20, 2018",1.091
"Jan 5, 2019",1.042
"Jan 21, 2019",0.914
"Jan 28, 2019",-1.352
"Feb 6, 2019",0.859
"Feb 22, 2019",0.935
"Mar 10, 2019",0.825
"Mar 26, 2019",0.783
"Apr 11, 2019",0.874
"Apr 27, 2019",0.771
"May 13, 2019",0.581
"May 29, 2019",0.6
"Jun 14, 2019",0.635
"Oct 4, 2019",0.77
"Nov 5, 2019",0.74
"Nov 21, 2019",0.786
"Dec 7, 2019",0.465
"Dec 23, 2019",0.777
