system:time_start,Shree Sayaji Sarovar AjwaVadodara
"Jan 6, 2011",1.834
"Jan 6, 2011",1.824
"Jan 22, 2011",1.766
"Jan 22, 2011",1.756
"Mar 27, 2011",1.466
"Apr 28, 2011",0.92
"May 14, 2011",0.864
"May 14, 2011",0.868
"May 30, 2011",0.913
"Oct 21, 2011",1.175
"Oct 21, 2011",1.176
"Nov 6, 2011",1.202
"Nov 6, 2011",1.226
"Nov 22, 2011",1.445
"Nov 22, 2011",1.445
"Dec 8, 2011",1.268
"Dec 8, 2011",1.279
"Dec 24, 2011",1.49
"Dec 24, 2011",1.502
"Jan 9, 2012",1.431
"Jan 9, 2012",1.441
"Jan 25, 2012",0.96
"Jan 25, 2012",0.966
"Feb 10, 2012",1.62
"Feb 10, 2012",1.625
"Feb 26, 2012",1.304
"Feb 26, 2012",1.307
"Mar 13, 2012",1.228
"Mar 13, 2012",1.223
"Mar 29, 2012",0.994
"Mar 29, 2012",0.996
"Apr 14, 2012",1.076
"Apr 14, 2012",1.088
"Apr 30, 2012",0.969
"Apr 30, 2012",0.968
"Jun 1, 2012",0.874
"Jun 1, 2012",0.866
"Jul 3, 2012",1.034
"Sep 21, 2012",1.06
"Sep 21, 2012",1.035
"Oct 7, 2012",1.003
"Oct 7, 2012",1.012
"Oct 23, 2012",1.01
"Oct 23, 2012",1.01
"Nov 8, 2012",1.394
"Nov 8, 2012",1.393
"Nov 24, 2012",1.139
"Nov 24, 2012",1.134
"Dec 10, 2012",1.388
"Dec 10, 2012",1.379
"Dec 26, 2012",2.003
"Dec 26, 2012",2.01
"Jan 11, 2013",1.576
"Jan 11, 2013",1.6
"Feb 12, 2013",1.076
"Feb 12, 2013",1.089
"Feb 28, 2013",1.866
"Feb 28, 2013",1.859
"Mar 16, 2013",1.251
"Mar 16, 2013",1.252
"Apr 1, 2013",1.377
"Apr 1, 2013",1.372
"Apr 17, 2013",1.001
"Apr 17, 2013",0.997
"May 3, 2013",1.079
"May 3, 2013",1.067
"May 19, 2013",1.001
"Jun 4, 2013",0.891
"Jun 4, 2013",0.886
