system:time_start,Sursagar lake Vadodara
"Jan 6, 2011",1.115
"Jan 22, 2011",1.017
"Apr 28, 2011",0.787
"May 14, 2011",0.781
"Oct 21, 2011",0.885
"Nov 6, 2011",0.842
"Nov 22, 2011",0.973
"Dec 8, 2011",1.067
"Dec 24, 2011",1.137
"Jan 9, 2012",1.144
"Jan 25, 2012",1.112
"Feb 10, 2012",1.09
"Feb 26, 2012",1.088
"Mar 13, 2012",1.142
"Mar 29, 2012",0.809
"Apr 14, 2012",0.881
"Apr 30, 2012",0.742
"Apr 30, 2012",0.78
"Jun 1, 2012",0.802
"Sep 21, 2012",0.844
"Oct 7, 2012",0.887
"Oct 23, 2012",1.099
"Nov 8, 2012",1.131
"Nov 24, 2012",1.041
"Dec 10, 2012",1.072
"Dec 26, 2012",1.119
"Jan 11, 2013",1.041
"Feb 12, 2013",1.036
"Feb 28, 2013",1.122
"Mar 16, 2013",1.009
"Apr 1, 2013",1.027
"Apr 17, 2013",0.831
"May 3, 2013",0.922
"May 19, 2013",0.823
"Jun 4, 2013",2.405
"Sep 8, 2013",1.391
"Oct 26, 2013",1.157
"Nov 11, 2013",1.151
"Nov 27, 2013",0.879
"Dec 13, 2013",1.109
"Dec 29, 2013",1.084
"Jan 14, 2014",1.187
"Jan 30, 2014",1.073
"Jan 30, 2014",1.067
"Mar 3, 2014",0.927
"Mar 19, 2014",1.093
"Apr 4, 2014",0.879
"Apr 20, 2014",0.876
"May 6, 2014",0.781
"May 22, 2014",0.872
"Jun 7, 2014",0.836
"Jun 23, 2014",0.772
"Oct 13, 2014",0.928
"Oct 29, 2014",0.756
"Nov 14, 2014",1.043
"Nov 30, 2014",1.198
"Jan 1, 2015",1.143
"Jan 17, 2015",1.177
"Feb 2, 2015",1.152
"Feb 18, 2015",1.035
"Mar 6, 2015",1.097
"Mar 22, 2015",1.034
"Apr 7, 2015",0.765
"Apr 23, 2015",0.84
"May 9, 2015",0.845
"May 25, 2015",0.838
"Sep 14, 2015",0.989
"Oct 16, 2015",1.059
"Nov 1, 2015",1.157
"Nov 17, 2015",1.152
"Dec 3, 2015",1.009
"Jan 4, 2016",1.045
"Jan 20, 2016",1.085
"Feb 5, 2016",1.033
"Feb 21, 2016",0.817
"Mar 8, 2016",1.019
"Mar 24, 2016",0.892
"Apr 9, 2016",0.894
"Apr 25, 2016",3.027
"May 11, 2016",0.768
"May 27, 2016",0.919
"Oct 18, 2016",0.997
"Nov 3, 2016",1.017
"Nov 19, 2016",1.018
"Dec 5, 2016",1.138
"Dec 21, 2016",1.183
"Jan 6, 2017",1.119
"Jan 22, 2017",1.075
"Feb 7, 2017",1.107
"Feb 23, 2017",0.967
"Mar 11, 2017",0.807
"Mar 27, 2017",0.909
"Apr 12, 2017",0.815
"Apr 28, 2017",0.826
"May 14, 2017",0.841
"May 30, 2017",0.86
"Jun 15, 2017",0.774
"Sep 19, 2017",0.71
"Oct 5, 2017",0.782
"Oct 21, 2017",0.912
"Nov 6, 2017",1.025
"Nov 22, 2017",1.108
"Nov 22, 2017",1.129
"Dec 8, 2017",1.098
"Dec 8, 2017",1.123
"Dec 24, 2017",1.161
"Jan 9, 2018",1.052
"Jan 25, 2018",0.985
"Feb 10, 2018",0.944
"Feb 26, 2018",0.812
"Mar 14, 2018",0.72
"Mar 30, 2018",0.682
"Apr 15, 2018",0.775
"May 1, 2018",0.672
"May 17, 2018",0.657
"Jun 2, 2018",0.713
"Jun 18, 2018",0.825
"Oct 8, 2018",0.86
"Oct 24, 2018",0.849
"Nov 9, 2018",0.884
"Nov 25, 2018",0.841
"Dec 11, 2018",0.989
"Dec 27, 2018",0.821
"Jan 12, 2019",0.915
"Jan 28, 2019",0.805
"Feb 13, 2019",0.823
"Mar 1, 2019",0.781
"Mar 17, 2019",0.743
"Apr 2, 2019",0.79
"Apr 18, 2019",0.919
"May 4, 2019",0.75
"May 20, 2019",0.826
"Jun 5, 2019",0.694
"Aug 24, 2019",1.046
"Sep 25, 2019",0.903
"Oct 11, 2019",0.88
"Nov 12, 2019",0.997
"Nov 28, 2019",1.078
"Dec 14, 2019",1.112
"Dec 30, 2019",1.071
