system:time_start,Thol Tank Kadi
"Jan 13, 2011",0.922
"Jan 29, 2011",0.691
"Feb 14, 2011",0.496
"Mar 2, 2011",0.405
"Apr 3, 2011",0.345
"Apr 19, 2011",0.342
"May 5, 2011",0.359
"Sep 26, 2011",0.72
"Oct 28, 2011",0.841
"Nov 13, 2011",0.826
"Dec 15, 2011",0.904
"Dec 31, 2011",1.016
"Jan 16, 2012",0.92
"Feb 1, 2012",0.902
"Feb 17, 2012",0.831
"Mar 4, 2012",0.615
"Mar 20, 2012",0.693
"Apr 5, 2012",0.478
"Apr 21, 2012",0.423
"Apr 30, 2012",0.377
"May 7, 2012",0.386
"May 23, 2012",0.388
"Jun 1, 2012",0.314
"Jun 8, 2012",0.764
"Jun 24, 2012",1.276
"Sep 28, 2012",0.576
"Oct 14, 2012",0.648
"Oct 30, 2012",0.772
"Nov 15, 2012",0.801
"Dec 1, 2012",0.841
"Dec 17, 2012",0.876
"Jan 2, 2013",0.816
"Jan 18, 2013",0.761
"Feb 3, 2013",0.685
"Feb 19, 2013",0.605
"Mar 7, 2013",0.603
"Mar 23, 2013",0.465
"Apr 8, 2013",0.749
"Sep 15, 2013",0.447
"Oct 17, 2013",0.544
"Nov 2, 2013",0.631
"Nov 18, 2013",0.819
"Dec 4, 2013",0.779
"Dec 20, 2013",0.777
"Jan 5, 2014",0.761
"Jan 14, 2014",
"Jan 21, 2014",1.418
"Jan 30, 2014",0.708
"Feb 6, 2014",0.67
"Feb 22, 2014",0.664
"Mar 10, 2014",0.652
"Mar 26, 2014",0.48
"Apr 11, 2014",0.399
"Apr 27, 2014",0.339
"May 13, 2014",0.317
"May 29, 2014",0.323
"Jun 30, 2014",0.384
"Nov 5, 2014",0.786
"Nov 21, 2014",0.769
"Dec 7, 2014",0.8
"Dec 23, 2014",0.854
"Jan 8, 2015",0.738
"Jan 24, 2015",0.634
"Feb 9, 2015",0.455
"Feb 25, 2015",0.381
"Mar 13, 2015",0.353
"Apr 14, 2015",0.344
"Apr 30, 2015",0.308
"May 16, 2015",0.302
"Jun 1, 2015",0.33
"Sep 5, 2015",0.616
"Oct 7, 2015",0.557
"Oct 23, 2015",0.637
"Nov 8, 2015",0.798
"Dec 10, 2015",0.724
"Dec 26, 2015",0.717
"Jan 11, 2016",0.767
"Jan 27, 2016",0.628
"Feb 12, 2016",0.533
"Feb 28, 2016",0.458
"Mar 15, 2016",0.784
"Mar 31, 2016",0.47
"Apr 16, 2016",0.301
"May 2, 2016",0.404
"May 18, 2016",0.327
"Jun 19, 2016",0.489
"Sep 23, 2016",0.521
"Oct 9, 2016",0.802
"Oct 18, 2016",0.327
"Oct 25, 2016",0.584
"Nov 10, 2016",0.623
"Nov 26, 2016",0.706
"Dec 12, 2016",0.719
"Dec 21, 2016",
"Dec 28, 2016",0.773
"Jan 13, 2017",0.61
"Jan 29, 2017",0.485
"Feb 14, 2017",0.514
"Mar 2, 2017",0.361
"Mar 18, 2017",0.378
"Apr 3, 2017",0.475
"Apr 19, 2017",0.454
"May 5, 2017",0.523
"May 21, 2017",0.484
"Jun 6, 2017",0.499
"Jun 15, 2017",0.315
"Jul 8, 2017",0.609
"Sep 10, 2017",0.683
"Sep 26, 2017",0.617
"Oct 5, 2017",0.338
"Oct 21, 2017",0.639
"Oct 28, 2017",0.677
"Nov 6, 2017",0.803
"Nov 13, 2017",0.719
"Nov 22, 2017",0.85
"Nov 29, 2017",0.844
"Dec 8, 2017",0.926
"Dec 15, 2017",0.939
"Dec 24, 2017",0.84
"Dec 31, 2017",0.818
"Jan 9, 2018",0.667
"Jan 16, 2018",0.73
"Feb 1, 2018",0.641
"Feb 17, 2018",0.479
"Mar 5, 2018",0.365
"Mar 21, 2018",0.355
"Apr 6, 2018",0.373
"Apr 22, 2018",0.347
"May 24, 2018",0.354
"Sep 29, 2018",0.313
"Oct 15, 2018",0.452
"Oct 31, 2018",0.462
"Nov 9, 2018",0.349
"Nov 16, 2018",0.425
"Nov 25, 2018",0.317
"Dec 2, 2018",0.598
"Dec 11, 2018",0.533
"Dec 18, 2018",0.386
"Dec 27, 2018",0.309
"Jan 3, 2019",0.353
"Jan 12, 2019",0.358
"Jan 19, 2019",0.321
"Feb 4, 2019",0.619
"Feb 13, 2019",
"Feb 20, 2019",0.319
"Mar 1, 2019",0.354
"Mar 8, 2019",0.359
"Mar 17, 2019",0.369
"Mar 24, 2019",0.349
"Apr 2, 2019",0.359
"Apr 9, 2019",0.34
"Apr 18, 2019",0.349
"Apr 25, 2019",0.38
"May 4, 2019",0.384
"May 11, 2019",0.388
"May 20, 2019",0.375
"May 27, 2019",0.386
"Jun 5, 2019",0.382
"Jun 28, 2019",0.832
"Jul 23, 2019",0.508
"Aug 24, 2019",0.639
"Aug 31, 2019",0.71
"Oct 11, 2019",0.451
"Oct 18, 2019",0.597
"Nov 12, 2019",0.795
"Nov 19, 2019",0.727
"Nov 28, 2019",0.934
"Dec 5, 2019",0.728
"Dec 14, 2019",0.882
"Dec 21, 2019",0.953
"Dec 30, 2019",0.871
