system:time_start,Umarwada village ponddist:Bharuch
"Jan 6, 2011",1.201
"Jan 22, 2011",1.156
"Apr 28, 2011",0.749
"May 14, 2011",0.41
"Oct 21, 2011",0.488
"Nov 6, 2011",0.784
"Nov 22, 2011",0.919
"Dec 8, 2011",1.019
"Dec 24, 2011",1.106
"Jan 9, 2012",1.015
"Jan 25, 2012",1.123
"Feb 10, 2012",1.288
"Feb 26, 2012",1.139
"Mar 13, 2012",1.039
"Mar 29, 2012",0.778
"Apr 14, 2012",0.848
"Apr 30, 2012",0.745
"Jun 1, 2012",2.616
"Sep 21, 2012",0.565
"Oct 7, 2012",0.766
"Oct 23, 2012",0.551
"Nov 8, 2012",0.877
"Nov 24, 2012",0.963
"Dec 10, 2012",0.855
"Dec 26, 2012",1.379
"Jan 11, 2013",1.318
"Feb 12, 2013",1.078
"Feb 28, 2013",1.42
"Mar 16, 2013",0.882
"Apr 1, 2013",0.982
"Apr 17, 2013",0.795
"May 3, 2013",0.779
"May 19, 2013",0.584
"Jun 4, 2013",0.862
"Sep 8, 2013",0.857
"Oct 26, 2013",0.492
"Nov 11, 2013",0.682
"Nov 27, 2013",0.675
"Dec 13, 2013",1.186
"Dec 29, 2013",1.007
"Jan 14, 2014",1.162
"Jan 30, 2014",1.122
"Mar 3, 2014",1.014
"Mar 19, 2014",0.768
"Apr 4, 2014",1.026
"Apr 20, 2014",0.924
"May 6, 2014",0.782
"May 22, 2014",0.714
"Jun 7, 2014",0.65
"Jun 23, 2014",0.757
"Oct 13, 2014",0.423
"Oct 29, 2014",0.611
"Nov 14, 2014",0.74
"Nov 30, 2014",0.937
"Jan 1, 2015",1.236
"Jan 17, 2015",1.025
"Feb 2, 2015",1.401
"Feb 18, 2015",1.206
"Mar 6, 2015",1.066
"Mar 22, 2015",1.115
"Apr 7, 2015",0.8
"Apr 23, 2015",0.884
"May 9, 2015",0.85
"May 25, 2015",0.694
"Sep 14, 2015",0.747
"Oct 16, 2015",0.419
"Nov 1, 2015",0.522
"Nov 17, 2015",0.581
"Dec 3, 2015",0.633
"Jan 4, 2016",0.862
"Jan 20, 2016",1.041
"Feb 5, 2016",1.459
"Feb 21, 2016",0.828
"Mar 8, 2016",1.119
"Mar 24, 2016",1.073
"Apr 9, 2016",1.026
"Apr 25, 2016",0.878
"May 11, 2016",0.702
"May 27, 2016",0.712
"Oct 18, 2016",0.324
"Nov 3, 2016",0.453
"Nov 19, 2016",0.491
"Dec 5, 2016",0.874
"Dec 21, 2016",1.223
"Jan 6, 2017",1.208
"Jan 22, 2017",1.092
"Feb 7, 2017",1.278
"Feb 23, 2017",1.104
"Mar 11, 2017",0.939
"Mar 27, 2017",0.823
"Apr 12, 2017",0.827
"Apr 28, 2017",0.851
"May 14, 2017",0.709
"May 30, 2017",0.832
"Jun 15, 2017",0.431
"Sep 19, 2017",0.859
"Oct 5, 2017",0.498
"Oct 21, 2017",0.508
"Nov 6, 2017",0.551
"Nov 22, 2017",0.865
"Dec 8, 2017",1.01
"Dec 24, 2017",1.144
"Jan 9, 2018",1.021
"Jan 25, 2018",1.188
"Feb 10, 2018",1.146
"Feb 26, 2018",1.001
"Mar 14, 2018",0.934
"Mar 30, 2018",0.79
"Apr 15, 2018",0.847
"May 1, 2018",0.769
"May 17, 2018",0.526
"Jun 2, 2018",0.504
"Jun 18, 2018",0.752
"Oct 8, 2018",0.638
"Oct 24, 2018",0.587
"Nov 9, 2018",0.873
"Nov 25, 2018",0.739
"Dec 11, 2018",0.783
"Dec 27, 2018",1.06
"Jan 12, 2019",1.231
"Jan 28, 2019",1.136
"Feb 13, 2019",0.927
"Mar 1, 2019",0.965
"Mar 17, 2019",1.088
"Apr 2, 2019",0.888
"Apr 18, 2019",0.912
"May 4, 2019",0.653
"May 20, 2019",0.902
"Jun 5, 2019",0.751
"Aug 24, 2019",0.595
"Sep 25, 2019",0.768
"Oct 11, 2019",0.476
"Nov 12, 2019",0.503
"Nov 28, 2019",0.689
"Dec 14, 2019",0.531
"Dec 30, 2019",0.829
