system:time_start,Chandola lake Ahmedabad
"Jan 6, 2011",0.626
"Jan 13, 2011",0.582
"Jan 22, 2011",0.47
"Jan 29, 2011",0.436
"Feb 14, 2011",0.51
"Mar 2, 2011",0.309
"Mar 27, 2011",0.491
"Apr 3, 2011",0.223
"Apr 19, 2011",0.176
"May 5, 2011",0.006
"May 14, 2011",-0.066
"May 30, 2011",-0.072
"Sep 26, 2011",0.263
"Oct 21, 2011",0.515
"Oct 28, 2011",0.612
"Nov 6, 2011",0.714
"Nov 13, 2011",0.655
"Nov 22, 2011",0.63
"Dec 8, 2011",0.678
"Dec 15, 2011",0.703
"Dec 24, 2011",0.695
"Dec 31, 2011",0.661
"Jan 9, 2012",0.663
"Jan 16, 2012",0.64
"Jan 25, 2012",0.596
"Feb 1, 2012",0.703
"Feb 10, 2012",0.683
"Feb 17, 2012",0.551
"Feb 26, 2012",0.528
"Mar 4, 2012",0.384
"Mar 13, 2012",0.37
"Mar 20, 2012",0.089
"Mar 29, 2012",0.057
"Apr 5, 2012",0.078
"Apr 14, 2012",0.04
"Apr 21, 2012",-0.017
"Apr 30, 2012",-0.12
"May 7, 2012",-0.088
"May 23, 2012",-0.115
"Jun 1, 2012",-0.147
"Jun 8, 2012",0.147
"Jun 24, 2012",0.115
"Jul 3, 2012",-0.065
"Sep 21, 2012",0.197
"Sep 28, 2012",0.602
"Oct 7, 2012",0.541
"Oct 14, 2012",0.548
"Oct 23, 2012",0.555
"Oct 30, 2012",0.661
"Nov 8, 2012",0.598
"Nov 15, 2012",0.704
"Nov 24, 2012",0.65
"Dec 1, 2012",0.653
"Dec 10, 2012",0.625
"Dec 17, 2012",0.568
"Dec 26, 2012",0.733
"Jan 2, 2013",0.638
"Jan 11, 2013",0.594
"Jan 18, 2013",0.644
"Feb 3, 2013",0.549
"Feb 12, 2013",0.422
"Feb 19, 2013",0.741
"Feb 28, 2013",0.69
"Mar 7, 2013",0.644
"Mar 16, 2013",0.447
"Mar 23, 2013",0.484
"Apr 1, 2013",0.562
"Apr 8, 2013",0.206
"Apr 17, 2013",0.262
"May 3, 2013",0.523
"Jun 4, 2013",0.008
"Sep 8, 2013",0.257
"Sep 15, 2013",0.358
"Oct 17, 2013",0.554
"Oct 26, 2013",0.74
"Nov 2, 2013",0.6
"Nov 11, 2013",0.716
"Nov 18, 2013",0.744
"Nov 27, 2013",0.457
"Dec 4, 2013",0.748
"Dec 13, 2013",0.7
"Dec 20, 2013",0.684
"Dec 29, 2013",0.659
"Jan 5, 2014",0.657
"Jan 14, 2014",0.713
"Jan 21, 2014",0.297
"Jan 30, 2014",0.712
"Feb 6, 2014",0.591
"Feb 22, 2014",0.536
"Mar 3, 2014",0.37
"Mar 10, 2014",0.605
"Mar 19, 2014",0.416
"Mar 26, 2014",0.525
"Apr 4, 2014",0.516
"Apr 11, 2014",0.385
"Apr 20, 2014",0.348
"Apr 27, 2014",0.212
"May 6, 2014",0.225
"May 13, 2014",0.225
"May 22, 2014",0.525
"May 29, 2014",0.16
"Jun 7, 2014",-0.134
"Jun 30, 2014",0.273
"Oct 13, 2014",0.397
"Oct 29, 2014",0.034
"Nov 5, 2014",0.634
"Nov 14, 2014",0.355
"Nov 21, 2014",0.342
"Nov 30, 2014",0.52
"Dec 7, 2014",0.641
"Dec 16, 2014",0.721
"Dec 23, 2014",0.714
"Jan 8, 2015",0.634
"Jan 17, 2015",0.701
"Jan 24, 2015",0.646
"Feb 2, 2015",0.666
"Feb 9, 2015",0.706
"Feb 18, 2015",0.471
"Feb 25, 2015",0.534
"Mar 6, 2015",0.484
"Mar 13, 2015",0.599
"Mar 22, 2015",0.401
"Apr 7, 2015",0.205
"Apr 14, 2015",0.463
"Apr 23, 2015",0.26
"Apr 30, 2015",0.226
"May 9, 2015",0.479
"May 16, 2015",0.171
"May 25, 2015",0.269
"Jun 1, 2015",0.215
"Sep 5, 2015",0.163
"Sep 14, 2015",0.533
"Oct 7, 2015",0.479
"Oct 16, 2015",0.495
"Oct 23, 2015",0.618
"Nov 1, 2015",0.725
"Nov 8, 2015",0.609
"Nov 17, 2015",0.673
"Dec 3, 2015",0.677
"Dec 10, 2015",0.64
"Dec 19, 2015",0.592
"Dec 26, 2015",0.503
"Jan 4, 2016",0.358
"Jan 11, 2016",-0.001
"Jan 20, 2016",0.052
"Jan 27, 2016",-0.094
"Feb 5, 2016",-0.187
"Feb 12, 2016",-0.063
"Feb 21, 2016",-0.121
"Feb 28, 2016",-0.116
"Mar 8, 2016",-0.118
"Mar 15, 2016",-0.096
"Mar 24, 2016",-0.128
"Mar 31, 2016",-0.133
