system:time_start,Dobhi lake Dabhoi Dist.Vadodara.
"Jan 6, 2011",0.519
"Jan 22, 2011",0.48
"Apr 28, 2011",0.224
"May 14, 2011",0.238
"Oct 21, 2011",0.396
"Nov 6, 2011",0.435
"Nov 22, 2011",0.41
"Dec 8, 2011",0.493
"Dec 24, 2011",0.495
"Jan 9, 2012",0.522
"Jan 25, 2012",0.474
"Feb 10, 2012",0.549
"Feb 26, 2012",0.51
"Mar 13, 2012",0.382
"Mar 29, 2012",0.204
"Apr 14, 2012",0.26
"Apr 30, 2012",0.207
"Jun 1, 2012",-0.102
"Sep 21, 2012",0.233
"Oct 7, 2012",0.343
"Oct 23, 2012",0.449
"Nov 8, 2012",0.465
"Nov 24, 2012",0.452
"Dec 10, 2012",0.458
"Dec 26, 2012",0.561
"Jan 11, 2013",0.435
"Feb 12, 2013",0.521
"Feb 28, 2013",0.583
"Mar 16, 2013",0.405
"Apr 1, 2013",0.442
"Apr 17, 2013",0.245
"May 3, 2013",0.295
"May 19, 2013",0.184
"Jun 4, 2013",0.462
"Sep 8, 2013",0.149
"Oct 26, 2013",0.522
"Nov 11, 2013",0.546
"Nov 27, 2013",-0.174
"Dec 13, 2013",0.43
"Dec 29, 2013",0.496
"Jan 14, 2014",0.526
"Jan 30, 2014",0.516
"Mar 3, 2014",0.437
"Mar 19, 2014",0.511
"Apr 4, 2014",0.329
"Apr 20, 2014",0.299
"May 6, 2014",0.178
"May 22, 2014",0.317
"Jun 7, 2014",0.153
"Jun 23, 2014",0.14
"Oct 13, 2014",0.413
"Oct 29, 2014",0.434
"Nov 14, 2014",0.346
"Nov 30, 2014",0.495
"Jan 1, 2015",0.695
"Jan 17, 2015",0.487
"Feb 2, 2015",0.555
"Feb 18, 2015",0.363
"Mar 6, 2015",0.414
"Mar 22, 2015",0.403
"Apr 7, 2015",0.163
"Apr 23, 2015",0.249
"May 9, 2015",0.295
"May 25, 2015",0.027
"Sep 14, 2015",0.169
"Oct 16, 2015",0.455
"Nov 1, 2015",0.552
"Nov 17, 2015",0.539
"Dec 3, 2015",0.45
"Jan 4, 2016",0.524
"Jan 20, 2016",0.423
"Feb 5, 2016",0.5
"Feb 21, 2016",0.506
"Mar 8, 2016",0.489
"Mar 24, 2016",0.414
"Apr 9, 2016",0.339
"Apr 25, 2016",0.146
"May 11, 2016",0.222
"May 27, 2016",0.268
"Oct 18, 2016",0.454
"Nov 3, 2016",0.475
"Nov 19, 2016",0.485
"Dec 5, 2016",0.54
"Dec 21, 2016",0.452
"Jan 6, 2017",0.396
"Jan 22, 2017",0.425
"Feb 7, 2017",0.454
"Feb 23, 2017",0.386
"Mar 11, 2017",0.178
"Mar 27, 2017",0.279
"Apr 12, 2017",0.317
"Apr 28, 2017",0.283
"May 14, 2017",-0.025
"May 30, 2017",0.062
"Jun 15, 2017",0.297
"Sep 19, 2017",0.037
"Oct 5, 2017",0.297
"Oct 21, 2017",0.553
"Nov 6, 2017",0.487
"Nov 22, 2017",0.595
"Dec 8, 2017",0.568
"Dec 24, 2017",0.524
"Jan 9, 2018",0.426
"Jan 25, 2018",0.524
"Feb 10, 2018",0.451
"Feb 26, 2018",0.382
"Mar 14, 2018",0.18
"Mar 30, 2018",0.328
"Apr 15, 2018",0.316
"May 1, 2018",0.2
"May 17, 2018",0.129
"Jun 2, 2018",0.129
"Jun 18, 2018",0.081
"Oct 8, 2018",0.412
"Oct 24, 2018",0.428
"Nov 9, 2018",0.68
"Nov 25, 2018",0.539
"Dec 11, 2018",0.504
"Dec 27, 2018",0.515
"Jan 12, 2019",0.532
"Jan 28, 2019",0.535
"Feb 13, 2019",0.473
"Mar 1, 2019",0.414
"Mar 17, 2019",0.388
"Apr 2, 2019",0.325
"Apr 18, 2019",0.355
"May 4, 2019",0.18
"May 20, 2019",0.389
"Jun 5, 2019",0.195
"Aug 24, 2019",0.307
"Sep 25, 2019",0.551
"Oct 11, 2019",0.543
"Nov 12, 2019",0.577
"Nov 28, 2019",0.587
"Dec 14, 2019",0.587
"Dec 30, 2019",0.522
