system:time_start,Gomti Talav DakorDist Kheda
"Jan 6, 2011",0.176
"Jan 22, 2011",0.182
"Mar 27, 2011",0.25
"May 14, 2011",0.058
"May 30, 2011",0.145
"Oct 21, 2011",0.28
"Nov 6, 2011",0.326
"Nov 22, 2011",0.255
"Dec 8, 2011",0.419
"Dec 24, 2011",0.412
"Jan 9, 2012",0.396
"Jan 25, 2012",0.316
"Feb 10, 2012",0.323
"Feb 26, 2012",0.233
"Mar 13, 2012",0.232
"Mar 29, 2012",0.113
"Apr 14, 2012",0.206
"Apr 30, 2012",0.034
"Jun 1, 2012",-0.009
"Jul 3, 2012",0.691
"Sep 21, 2012",0.199
"Oct 7, 2012",0.204
"Oct 23, 2012",0.251
"Nov 8, 2012",0.235
"Nov 24, 2012",0.166
"Dec 10, 2012",0.224
"Dec 26, 2012",0.272
"Jan 11, 2013",0.189
"Feb 12, 2013",0.277
"Feb 28, 2013",0.217
"Mar 16, 2013",0.159
"Apr 1, 2013",0.177
"Apr 17, 2013",0.06
"May 3, 2013",0.095
"Jun 4, 2013",0.407
"Sep 8, 2013",0.242
"Oct 26, 2013",0.27
"Nov 11, 2013",0.341
"Nov 27, 2013",0.061
"Dec 13, 2013",0.185
"Dec 29, 2013",0.343
"Jan 14, 2014",0.417
"Jan 30, 2014",0.074
"Mar 3, 2014",0.027
"Mar 19, 2014",0.119
"Apr 4, 2014",0.084
"Apr 20, 2014",0.111
"May 6, 2014",0.013
"May 22, 2014",0.086
"Jun 7, 2014",-0.004
"Oct 13, 2014",0.093
"Oct 29, 2014",0.152
"Nov 14, 2014",0.249
"Nov 30, 2014",0.137
"Dec 16, 2014",0.136
"Jan 17, 2015",-0.005
"Feb 2, 2015",0.141
"Feb 18, 2015",-0.004
"Mar 6, 2015",0.073
"Mar 22, 2015",0.038
"Apr 7, 2015",0.046
"Apr 23, 2015",0.008
"May 9, 2015",0.09
"May 25, 2015",-0.048
"Sep 14, 2015",0.247
"Oct 16, 2015",0.128
"Nov 1, 2015",0.058
"Nov 17, 2015",0.174
"Dec 3, 2015",-0.062
"Dec 19, 2015",0.094
"Jan 4, 2016",0.028
"Jan 20, 2016",0.108
"Feb 5, 2016",-0.102
"Feb 21, 2016",0.286
"Mar 8, 2016",-0.078
"Mar 24, 2016",0.032
"Apr 9, 2016",-0.042
"May 11, 2016",-0.036
"Oct 18, 2016",0.017
"Nov 3, 2016",0.156
"Nov 19, 2016",0.028
"Dec 5, 2016",0.055
"Dec 21, 2016",-0.014
"Jan 6, 2017",0.229
"Jan 22, 2017",0.276
"Feb 7, 2017",0.161
"Feb 23, 2017",0.054
"Mar 11, 2017",0.04
"Mar 27, 2017",0.071
"Apr 12, 2017",0.059
"Apr 28, 2017",0.075
"May 14, 2017",0.12
"Jun 15, 2017",0.086
"Sep 19, 2017",0.029
"Oct 5, 2017",0.062
"Oct 21, 2017",0.292
"Nov 6, 2017",0.114
"Nov 22, 2017",0.207
"Dec 8, 2017",0.394
"Dec 24, 2017",0.062
"Jan 9, 2018",0.197
"Jan 25, 2018",-0.008
"Feb 26, 2018",0.026
"Mar 14, 2018",0.08
"Mar 30, 2018",0.044
"Apr 15, 2018",-0.082
"May 1, 2018",-0.016
"May 17, 2018",-0.081
"Jun 2, 2018",-0.017
"Oct 8, 2018",0.184
"Oct 24, 2018",0.056
"Nov 9, 2018",0.177
"Nov 25, 2018",0.057
"Dec 11, 2018",0.158
"Dec 27, 2018",0.038
"Jan 12, 2019",0.13
"Jan 28, 2019",0.012
"Feb 13, 2019",0.18
"Mar 1, 2019",-0.004
"Mar 17, 2019",0.031
"Apr 2, 2019",0.054
"Apr 18, 2019",0.089
"May 4, 2019",-0.006
"May 20, 2019",-0.005
"Jun 5, 2019",-0.087
"Jul 23, 2019",0.34
"Aug 24, 2019",0.163
"Oct 11, 2019",0.161
"Nov 12, 2019",0.223
"Nov 28, 2019",0.43
"Dec 14, 2019",0.197
"Dec 30, 2019",0.218
