system:time_start,Kankariya lake Ahmedabad
"Jan 6, 2011",0.499
"Jan 13, 2011",0.569
"Jan 22, 2011",0.554
"Jan 29, 2011",0.544
"Feb 14, 2011",0.585
"Mar 2, 2011",0.343
"Mar 27, 2011",0.464
"Apr 3, 2011",0.313
"Apr 19, 2011",0.331
"May 5, 2011",0.183
"May 14, 2011",0.25
"May 30, 2011",0.439
"Sep 26, 2011",0.272
"Oct 21, 2011",0.511
"Oct 28, 2011",0.572
"Nov 6, 2011",0.596
"Nov 13, 2011",0.575
"Nov 22, 2011",0.526
"Dec 8, 2011",0.568
"Dec 15, 2011",0.566
"Dec 24, 2011",0.527
"Dec 31, 2011",0.626
"Jan 9, 2012",0.541
"Jan 16, 2012",0.573
"Jan 25, 2012",0.456
"Feb 1, 2012",0.608
"Feb 10, 2012",0.559
"Feb 17, 2012",0.437
"Feb 26, 2012",0.382
"Mar 4, 2012",0.335
"Mar 13, 2012",0.456
"Mar 20, 2012",0.181
"Mar 29, 2012",0.268
"Apr 5, 2012",0.298
"Apr 14, 2012",0.355
"Apr 21, 2012",0.56
"Apr 30, 2012",0.228
"May 7, 2012",0.286
"May 23, 2012",0.171
"Jun 1, 2012",0.001
"Jun 8, 2012",0.141
"Jun 24, 2012",0.153
"Jul 3, 2012",0.009
"Sep 21, 2012",0.135
"Sep 28, 2012",0.527
"Oct 7, 2012",0.474
"Oct 14, 2012",0.497
"Oct 23, 2012",0.494
"Oct 30, 2012",0.563
"Nov 8, 2012",0.548
"Nov 15, 2012",0.625
"Nov 24, 2012",0.554
"Dec 1, 2012",0.54
"Dec 10, 2012",0.564
"Dec 17, 2012",0.49
"Dec 26, 2012",0.568
"Jan 2, 2013",0.55
"Jan 11, 2013",0.491
"Jan 18, 2013",0.573
"Feb 3, 2013",0.508
"Feb 12, 2013",0.368
"Feb 19, 2013",0.647
"Feb 28, 2013",0.541
"Mar 7, 2013",0.562
"Mar 16, 2013",0.387
"Mar 23, 2013",0.467
"Apr 1, 2013",0.487
"Apr 8, 2013",0.216
"Apr 17, 2013",0.264
"May 3, 2013",0.454
"Jun 4, 2013",0.041
"Sep 8, 2013",0.486
"Sep 15, 2013",0.287
"Oct 17, 2013",0.505
"Oct 26, 2013",0.619
"Nov 2, 2013",0.575
"Nov 11, 2013",0.659
"Nov 18, 2013",0.628
"Nov 27, 2013",0.318
"Dec 4, 2013",0.673
"Dec 13, 2013",0.556
"Dec 20, 2013",0.57
"Dec 29, 2013",0.575
"Jan 5, 2014",0.619
"Jan 14, 2014",0.651
"Jan 21, 2014",0.284
"Jan 30, 2014",0.613
"Feb 6, 2014",0.574
"Feb 22, 2014",0.462
"Mar 3, 2014",0.339
"Mar 10, 2014",0.604
"Mar 19, 2014",0.435
"Mar 26, 2014",0.499
"Apr 4, 2014",0.465
"Apr 11, 2014",0.402
"Apr 20, 2014",0.397
"Apr 27, 2014",0.241
"May 6, 2014",0.226
"May 13, 2014",0.221
"May 22, 2014",0.485
"May 29, 2014",0.211
"Jun 7, 2014",-0.119
"Jun 30, 2014",0.132
"Oct 13, 2014",0.42
"Oct 29, 2014",0.006
"Nov 5, 2014",0.634
"Nov 14, 2014",0.348
"Nov 21, 2014",0.432
"Nov 30, 2014",0.521
"Dec 7, 2014",0.638
"Dec 16, 2014",0.666
"Dec 23, 2014",0.657
"Jan 8, 2015",0.618
"Jan 17, 2015",0.608
"Jan 24, 2015",0.624
"Feb 2, 2015",0.634
"Feb 9, 2015",0.616
"Feb 18, 2015",0.46
"Feb 25, 2015",0.503
"Mar 6, 2015",0.498
"Mar 13, 2015",0.715
"Mar 22, 2015",0.468
"Apr 7, 2015",0.217
"Apr 14, 2015",0.467
"Apr 23, 2015",0.305
"Apr 30, 2015",0.31
"May 9, 2015",0.461
"May 16, 2015",0.201
"May 25, 2015",0.281
"Jun 1, 2015",0.22
"Sep 5, 2015",0.357
"Sep 14, 2015",0.525
"Oct 7, 2015",0.468
"Oct 16, 2015",0.491
"Oct 23, 2015",0.617
"Nov 1, 2015",0.625
"Nov 8, 2015",0.585
"Nov 17, 2015",0.552
"Dec 3, 2015",0.604
"Dec 10, 2015",0.599
"Dec 19, 2015",0.599
"Dec 26, 2015",0.604
"Jan 4, 2016",0.565
"Jan 11, 2016",0.608
"Jan 20, 2016",0.533
"Jan 27, 2016",0.554
"Feb 5, 2016",0.551
"Feb 12, 2016",0.291
"Feb 21, 2016",0.241
"Feb 28, 2016",0.522
"Mar 8, 2016",0.514
"Mar 15, 2016",0.352
"Mar 24, 2016",0.492
"Mar 31, 2016",0.197
"Apr 9, 2016",0.46
"Apr 16, 2016",0.36
"May 2, 2016",0.269
"May 11, 2016",0.225
"May 18, 2016",0.202
"Jun 19, 2016",0.171
"Sep 23, 2016",0.339
"Oct 9, 2016",0.344
"Oct 18, 2016",0.487
"Oct 25, 2016",0.56
"Nov 3, 2016",0.622
"Nov 10, 2016",0.549
"Nov 19, 2016",0.597
"Nov 26, 2016",0.623
"Dec 5, 2016",0.63
"Dec 12, 2016",0.555
"Dec 21, 2016",0.609
"Dec 28, 2016",0.654
"Jan 6, 2017",0.562
"Jan 13, 2017",0.569
"Jan 22, 2017",0.558
"Jan 29, 2017",0.658
"Feb 7, 2017",0.572
"Feb 14, 2017",0.513
"Feb 23, 2017",0.401
"Mar 2, 2017",0.478
"Mar 11, 2017",0.323
"Mar 18, 2017",0.367
"Mar 27, 2017",0.353
"Apr 3, 2017",0.409
"Apr 12, 2017",0.358
"Apr 19, 2017",0.281
"Apr 28, 2017",0.313
"May 5, 2017",0.176
"May 14, 2017",0.387
"May 21, 2017",0.203
"Jun 6, 2017",0.172
"Jun 15, 2017",0.167
"Jul 8, 2017",0.255
"Sep 10, 2017",0.289
"Sep 19, 2017",0.293
"Sep 26, 2017",0.359
"Oct 5, 2017",0.435
"Oct 21, 2017",0.561
"Oct 28, 2017",0.461
"Nov 6, 2017",0.615
"Nov 13, 2017",0.58
"Nov 22, 2017",0.631
"Nov 29, 2017",0.654
"Dec 8, 2017",0.53
"Dec 15, 2017",0.451
"Dec 24, 2017",0.662
"Dec 31, 2017",0.654
"Jan 9, 2018",0.578
"Jan 16, 2018",0.686
"Jan 25, 2018",0.539
"Feb 1, 2018",0.557
"Feb 17, 2018",0.457
"Feb 26, 2018",0.537
"Mar 5, 2018",0.517
"Mar 14, 2018",0.539
"Mar 21, 2018",0.336
"Mar 30, 2018",0.411
"Apr 6, 2018",0.277
"Apr 15, 2018",-0.108
"Apr 22, 2018",0.364
"May 1, 2018",0.335
"May 17, 2018",0.308
"May 24, 2018",0.202
"Jun 2, 2018",0.225
"Sep 29, 2018",0.411
"Oct 8, 2018",0.531
"Oct 15, 2018",0.386
"Oct 24, 2018",0.512
"Oct 31, 2018",0.619
"Nov 9, 2018",0.668
"Nov 16, 2018",0.59
"Nov 25, 2018",0.625
"Dec 2, 2018",0.196
"Dec 11, 2018",0.288
"Dec 18, 2018",0.622
"Dec 27, 2018",0.501
"Jan 3, 2019",0.611
"Jan 12, 2019",0.531
"Jan 19, 2019",0.605
"Jan 28, 2019",0.501
"Feb 4, 2019",0.102
"Feb 13, 2019",0.409
"Feb 20, 2019",0.546
"Mar 1, 2019",0.499
"Mar 8, 2019",0.302
"Mar 17, 2019",0.398
"Mar 24, 2019",0.299
"Apr 2, 2019",0.298
"Apr 9, 2019",0.454
"Apr 18, 2019",0.374
"Apr 25, 2019",0.236
"May 4, 2019",0.227
"May 11, 2019",0.21
"May 20, 2019",0.361
"May 27, 2019",0.311
"Jun 5, 2019",0.32
"Jun 28, 2019",0.404
"Jul 23, 2019",0.549
"Aug 24, 2019",0.263
"Aug 31, 2019",0.252
"Oct 11, 2019",0.586
"Oct 18, 2019",0.574
"Nov 12, 2019",0.651
"Nov 19, 2019",0.62
"Nov 28, 2019",0.696
"Dec 5, 2019",0.066
"Dec 14, 2019",0.654
"Dec 21, 2019",0.691
"Dec 30, 2019",0.675
