system:time_start,Khodiyar lake Bhavnagar
"Jan 13, 2011",0.635
"Jan 29, 2011",0.558
"Feb 14, 2011",0.62
"Mar 2, 2011",0.439
"Apr 3, 2011",0.163
"Apr 19, 2011",0.116
"May 5, 2011",0.118
"May 21, 2011",0.075
"Sep 26, 2011",0.499
"Oct 28, 2011",0.528
"Nov 13, 2011",0.566
"Dec 15, 2011",0.376
"Dec 31, 2011",0.597
"Jan 16, 2012",0.402
"Feb 1, 2012",0.497
"Feb 17, 2012",0.404
"Mar 4, 2012",0.252
"Mar 20, 2012",0.075
"Apr 5, 2012",0.15
"Apr 21, 2012",0.069
"Apr 30, 2012",
"May 7, 2012",0.007
"May 23, 2012",-0.084
"Jun 8, 2012",0.111
"Jun 24, 2012",0.139
"Sep 28, 2012",0.083
"Oct 14, 2012",-0.026
"Oct 30, 2012",-0.097
"Nov 15, 2012",-0.061
"Dec 1, 2012",-0.124
"Jan 18, 2013",-0.129
"Feb 3, 2013",-0.114
"Feb 19, 2013",-0.186
"Mar 7, 2013",-0.19
"Mar 23, 2013",-0.192
"Apr 8, 2013",-0.144
"Apr 24, 2013",0.394
"May 10, 2013",0.207
"Sep 15, 2013",0.464
"Oct 17, 2013",0.559
"Nov 2, 2013",0.794
"Nov 18, 2013",0.771
"Dec 4, 2013",0.75
"Dec 20, 2013",0.579
"Jan 5, 2014",0.741
"Jan 21, 2014",0.452
"Feb 6, 2014",0.698
"Feb 22, 2014",0.522
"Mar 10, 2014",0.704
"Mar 26, 2014",0.504
"Apr 11, 2014",0.504
"Apr 27, 2014",0.291
"May 13, 2014",0.396
"May 29, 2014",0.269
"Jun 14, 2014",0.29
"Jun 30, 2014",0.073
"Oct 20, 2014",0.563
"Nov 5, 2014",0.505
"Nov 21, 2014",0.165
"Dec 7, 2014",0.51
"Dec 23, 2014",0.547
"Jan 8, 2015",0.523
"Jan 24, 2015",0.241
"Feb 9, 2015",0.429
"Feb 25, 2015",0.316
"Apr 14, 2015",0.286
"Apr 30, 2015",0.127
"Jun 1, 2015",0.027
"Jul 3, 2015",0.104
"Sep 5, 2015",0.681
"Oct 7, 2015",0.599
"Oct 23, 2015",0.613
"Nov 8, 2015",0.757
"Nov 24, 2015",0.419
"Dec 10, 2015",0.68
"Dec 26, 2015",0.708
"Jan 11, 2016",0.675
"Jan 27, 2016",0.671
"Feb 12, 2016",0.407
"Feb 28, 2016",0.579
"Mar 15, 2016",0.479
"Mar 31, 2016",0.335
"Apr 16, 2016",0.296
"May 2, 2016",0.233
"May 18, 2016",0.12
"Jun 19, 2016",0.096
"Sep 7, 2016",0.422
"Sep 23, 2016",0.42
"Oct 9, 2016",0.202
"Oct 25, 2016",0.464
"Nov 10, 2016",0.347
"Nov 26, 2016",0.416
"Dec 12, 2016",0.353
"Dec 28, 2016",0.135
"Jan 13, 2017",0.157
"Jan 29, 2017",0.124
"Feb 14, 2017",0.041
"Mar 2, 2017",-0.067
"Mar 18, 2017",-0.117
"Apr 3, 2017",-0.082
"Apr 19, 2017",-0.13
"May 5, 2017",-0.152
"May 21, 2017",-0.128
"Jun 6, 2017",-0.073
"Jul 8, 2017",0.233
"Aug 9, 2017",0.117
"Sep 10, 2017",0.622
"Sep 26, 2017",0.078
"Oct 28, 2017",0.531
"Nov 13, 2017",0.491
"Nov 29, 2017",0.61
"Dec 15, 2017",0.608
"Dec 31, 2017",0.584
"Jan 16, 2018",0.652
"Feb 1, 2018",0.499
"Feb 17, 2018",0.417
"Mar 5, 2018",0.372
"Mar 21, 2018",0.158
"Apr 6, 2018",0.096
"Apr 22, 2018",0.118
"May 24, 2018",-0.038
"Sep 13, 2018",0.251
"Sep 29, 2018",0.396
"Oct 15, 2018",0.281
"Oct 31, 2018",0.514
"Nov 16, 2018",0.509
"Dec 2, 2018",0.15
"Dec 18, 2018",0.484
"Jan 3, 2019",0.349
"Jan 19, 2019",0.409
"Feb 4, 2019",0.249
"Feb 20, 2019",0.085
"Mar 8, 2019",0.095
"Mar 24, 2019",0.083
"Apr 9, 2019",0.067
"Apr 25, 2019",-0.005
"May 11, 2019",-0.028
"May 27, 2019",-0.112
"Jul 14, 2019",0.38
"Aug 31, 2019",0.342
"Oct 2, 2019",0.54
"Oct 18, 2019",0.522
"Nov 3, 2019",-0.019
"Nov 19, 2019",0.322
"Dec 5, 2019",0.276
"Dec 21, 2019",0.737
