system:time_start,Kuvadva lake kuvadva tal & dist. :Rajkot
"Jan 13, 2011",0.671
"Jan 29, 2011",0.728
"Feb 14, 2011",0.697
"Mar 2, 2011",0.456
"Mar 25, 2011",0.386
"Apr 3, 2011",0.371
"Apr 10, 2011",0.083
"Apr 19, 2011",0.195
"Apr 26, 2011",-0.061
"May 5, 2011",0.027
"May 12, 2011",-0.029
"May 21, 2011",-0.023
"Sep 26, 2011",0.628
"Oct 3, 2011",0.663
"Oct 19, 2011",0.653
"Oct 28, 2011",0.588
"Nov 4, 2011",0.614
"Nov 13, 2011",0.686
"Nov 20, 2011",0.742
"Dec 6, 2011",0.786
"Dec 15, 2011",0.795
"Dec 22, 2011",0.642
"Dec 31, 2011",0.741
"Jan 7, 2012",0.722
"Jan 16, 2012",0.619
"Jan 23, 2012",0.635
"Feb 1, 2012",0.732
"Feb 8, 2012",0.602
"Feb 17, 2012",0.6
"Feb 24, 2012",0.52
"Mar 4, 2012",0.383
"Mar 11, 2012",0.201
"Mar 20, 2012",0.162
"Mar 27, 2012",0.179
"Apr 5, 2012",0.218
"Apr 12, 2012",0.167
"Apr 21, 2012",-0.032
"Apr 28, 2012",-0.086
"May 7, 2012",-0.073
"May 23, 2012",-0.095
"May 30, 2012",-0.088
"Jun 8, 2012",-0.015
"Jun 24, 2012",-0.02
"Jul 1, 2012",-0.081
"Sep 19, 2012",0.387
"Sep 28, 2012",0.559
"Oct 5, 2012",0.679
"Oct 14, 2012",0.665
"Oct 21, 2012",0.635
"Oct 30, 2012",0.626
"Nov 6, 2012",0.741
"Nov 15, 2012",0.675
"Nov 22, 2012",0.6
"Dec 1, 2012",0.409
"Dec 8, 2012",0.602
"Jan 9, 2013",0.369
"Jan 18, 2013",0.048
"Jan 25, 2013",-0.025
"Feb 3, 2013",0.077
"Feb 10, 2013",-0.115
"Feb 19, 2013",-0.073
"Feb 26, 2013",-0.061
"Feb 26, 2013",
"Mar 7, 2013",-0.081
"Mar 14, 2013",-0.126
"Mar 23, 2013",-0.074
"Apr 8, 2013",-0.046
"Apr 15, 2013",-0.054
"Apr 24, 2013",-0.035
"May 1, 2013",-0.124
"May 10, 2013",-0.108
"May 17, 2013",-0.13
"Jun 2, 2013",-0.116
"Aug 5, 2013",0.108
"Aug 21, 2013",-0.021
"Sep 6, 2013",0.29
"Sep 15, 2013",0.263
"Oct 8, 2013",0.347
"Oct 17, 2013",0.668
"Oct 24, 2013",0.657
"Nov 2, 2013",0.692
"Nov 9, 2013",0.714
"Nov 18, 2013",0.783
"Nov 25, 2013",0.301
"Dec 4, 2013",0.779
"Dec 11, 2013",0.78
"Dec 20, 2013",0.639
"Dec 27, 2013",0.686
"Jan 5, 2014",0.755
"Jan 12, 2014",0.493
"Jan 21, 2014",0.637
"Jan 28, 2014",0.244
"Feb 6, 2014",0.707
"Feb 13, 2014",0.604
"Feb 22, 2014",0.524
"Mar 1, 2014",0.518
"Mar 10, 2014",0.64
"Mar 17, 2014",0.377
"Mar 26, 2014",0.295
"Apr 2, 2014",0.144
"Apr 11, 2014",0.161
"Apr 18, 2014",0.3
"Apr 27, 2014",0.12
"May 4, 2014",0.071
"May 13, 2014",-0.066
"May 20, 2014",-0.125
"May 29, 2014",-0.083
"Jun 5, 2014",-0.108
"Jun 14, 2014",0.122
"Jun 21, 2014",-0.032
"Jun 30, 2014",0.578
"Oct 20, 2014",-0.084
"Oct 27, 2014",0.201
"Nov 5, 2014",0.101
"Nov 12, 2014",-0.062
"Nov 21, 2014",-0.095
"Nov 28, 2014",-0.067
"Dec 7, 2014",-0.079
"Dec 14, 2014",-0.043
"Dec 23, 2014",0.021
"Dec 30, 2014",-0.041
"Jan 8, 2015",-0.038
"Jan 15, 2015",0.013
"Jan 24, 2015",0.097
"Jan 31, 2015",-0.088
"Feb 9, 2015",-0.062
"Feb 16, 2015",-0.123
"Feb 25, 2015",-0.021
"Mar 4, 2015",-0.093
"Mar 20, 2015",-0.201
"Apr 5, 2015",-0.104
"Apr 14, 2015",-0.1
"Apr 21, 2015",-0.102
"Apr 30, 2015",-0.139
"May 7, 2015",-0.157
"May 23, 2015",-0.148
"Jun 1, 2015",-0.135
"Jul 3, 2015",0.367
"Jul 10, 2015",0.255
"Sep 5, 2015",0.469
"Sep 12, 2015",0.287
"Sep 28, 2015",0.441
"Oct 7, 2015",0.228
"Oct 14, 2015",0.441
"Oct 23, 2015",0.425
"Oct 30, 2015",0.393
"Nov 8, 2015",0.202
"Nov 15, 2015",0.08
"Nov 24, 2015",0.093
"Dec 1, 2015",0.006
"Dec 10, 2015",-0.047
"Dec 17, 2015",-0.107
"Dec 26, 2015",-0.068
"Jan 2, 2016",-0.109
"Jan 11, 2016",-0.016
"Jan 18, 2016",-0.078
"Jan 27, 2016",0.089
"Feb 3, 2016",-0.07
"Feb 12, 2016",-0.02
"Feb 19, 2016",0.096
"Feb 28, 2016",-0.047
"Mar 6, 2016",-0.111
"Mar 15, 2016",-0.107
"Mar 22, 2016",-0.146
"Mar 31, 2016",-0.138
"Apr 7, 2016",-0.144
"Apr 16, 2016",-0.171
"Apr 23, 2016",-0.143
"May 2, 2016",0.102
"May 9, 2016",-0.128
"May 18, 2016",-0.12
"May 25, 2016",-0.013
"Jun 19, 2016",-0.024
"Jun 26, 2016",-0.041
"Aug 13, 2016",0.203
"Sep 7, 2016",0.014
"Sep 14, 2016",-0.039
"Sep 23, 2016",0.046
"Sep 30, 2016",0.032
