system:time_start,Malav lake Ahmedabad
"Jan 6, 2011",
"Jan 13, 2011",
"Jan 22, 2011",0.372
"Jan 29, 2011",0.235
"Feb 14, 2011",0.248
"Mar 2, 2011",0.135
"Mar 27, 2011",
"Apr 3, 2011",-0.015
"Apr 19, 2011",0.015
"May 5, 2011",0.047
"May 14, 2011",0.022
"May 30, 2011",-0.209
"Sep 26, 2011",
"Oct 21, 2011",0.002
"Oct 28, 2011",
"Nov 6, 2011",-0.102
"Nov 13, 2011",-0.018
"Nov 22, 2011",-0.081
"Dec 8, 2011",
"Dec 15, 2011",
"Dec 24, 2011",
"Dec 31, 2011",0.323
"Jan 9, 2012",0.136
"Jan 16, 2012",0.085
"Jan 25, 2012",0.116
"Feb 1, 2012",
"Feb 10, 2012",0.11
"Feb 17, 2012",
"Feb 26, 2012",-0.016
"Mar 4, 2012",-0.053
"Mar 13, 2012",0
"Mar 20, 2012",0.011
"Mar 29, 2012",-0.1
"Apr 5, 2012",-0.083
"Apr 14, 2012",
"Apr 21, 2012",-0.108
"Apr 30, 2012",-0.217
"May 7, 2012",-0.039
"May 23, 2012",-0.198
"Jun 1, 2012",
"Jun 8, 2012",0.125
"Jun 24, 2012",0.142
"Jul 3, 2012",
"Sep 21, 2012",
"Sep 28, 2012",0.134
"Oct 7, 2012",0.04
"Oct 14, 2012",0.033
"Oct 23, 2012",0.104
"Oct 30, 2012",-0.021
"Nov 8, 2012",
"Nov 15, 2012",
"Nov 24, 2012",
"Dec 1, 2012",0.154
"Dec 10, 2012",0.037
"Dec 17, 2012",
"Dec 26, 2012",
"Jan 2, 2013",
"Jan 11, 2013",-0.071
"Jan 18, 2013",0.065
"Feb 3, 2013",0.266
"Feb 12, 2013",0.05
"Feb 19, 2013",0.01
"Feb 28, 2013",
"Mar 7, 2013",-0.033
"Mar 16, 2013",
"Mar 23, 2013",0.074
"Apr 1, 2013",-0.005
"Apr 8, 2013",0.248
"Apr 17, 2013",
"May 3, 2013",-0.094
"Jun 4, 2013",
"Sep 8, 2013",0.132
"Sep 15, 2013",-0.003
"Oct 17, 2013",0.214
"Oct 26, 2013",0.279
"Nov 2, 2013",0.172
"Nov 11, 2013",0.362
"Nov 18, 2013",
"Nov 27, 2013",
"Dec 4, 2013",0.463
"Dec 13, 2013",0.22
"Dec 20, 2013",
"Dec 29, 2013",
"Jan 5, 2014",0.355
"Jan 14, 2014",0.405
"Jan 21, 2014",
"Jan 30, 2014",0.123
"Feb 6, 2014",0.104
"Feb 22, 2014",
"Mar 3, 2014",
"Mar 10, 2014",-0.184
"Mar 19, 2014",0.061
"Mar 26, 2014",0.112
"Apr 4, 2014",
"Apr 11, 2014",0.045
"Apr 20, 2014",0.081
"Apr 27, 2014",-0.009
"May 6, 2014",-0.048
"May 13, 2014",0.075
"May 22, 2014",0.033
"May 29, 2014",
"Jun 7, 2014",0.043
"Jun 30, 2014",0.422
"Oct 13, 2014",
"Oct 29, 2014",0.034
"Nov 5, 2014",0.121
"Nov 14, 2014",
"Nov 21, 2014",0.072
"Nov 30, 2014",0.116
"Dec 7, 2014",0.059
"Dec 16, 2014",
"Dec 23, 2014",0.227
"Jan 8, 2015",0.247
"Jan 17, 2015",0.132
"Jan 24, 2015",
"Feb 2, 2015",0.315
"Feb 9, 2015",
"Feb 18, 2015",0.08
"Feb 25, 2015",0.208
"Mar 6, 2015",
"Mar 13, 2015",0.299
"Mar 22, 2015",
"Apr 7, 2015",0.051
"Apr 14, 2015",0.131
"Apr 23, 2015",
"Apr 30, 2015",0.001
"May 9, 2015",
"May 16, 2015",-0.096
"May 25, 2015",0.011
"Jun 1, 2015",-0.022
"Sep 5, 2015",0.062
"Sep 14, 2015",0.2
"Oct 7, 2015",0.011
"Oct 16, 2015",
"Oct 23, 2015",-0.007
"Nov 1, 2015",-0.046
"Nov 8, 2015",-0.01
"Nov 17, 2015",
"Dec 3, 2015",-0.092
"Dec 10, 2015",
"Dec 19, 2015",-0.033
"Dec 26, 2015",-0.041
"Jan 4, 2016",
"Jan 11, 2016",0.131
"Jan 20, 2016",
"Jan 27, 2016",0.16
"Feb 5, 2016",0.033
"Feb 12, 2016",0.022
"Feb 21, 2016",0.038
"Feb 28, 2016",
"Mar 8, 2016",-0.062
"Mar 15, 2016",0.102
"Mar 24, 2016",-0.24
"Mar 31, 2016",-0.06
"Apr 9, 2016",-0.1
"Apr 16, 2016",-0.099
"May 2, 2016",-0.04
"May 11, 2016",
"May 18, 2016",-0.081
"Jun 19, 2016",0.18
"Sep 23, 2016",-0.014
"Oct 9, 2016",0.179
"Oct 18, 2016",-0.081
"Oct 25, 2016",
"Nov 3, 2016",0.024
"Nov 10, 2016",-0.036
"Nov 19, 2016",-0.026
"Nov 26, 2016",
"Dec 5, 2016",-0.056
"Dec 12, 2016",-0.122
"Dec 21, 2016",-0.129
"Dec 28, 2016",0.033
"Jan 6, 2017",
"Jan 13, 2017",-0.02
"Jan 22, 2017",
"Jan 29, 2017",-0.053
"Feb 7, 2017",
"Feb 14, 2017",-0.038
"Feb 23, 2017",
"Mar 2, 2017",-0.083
"Mar 11, 2017",
"Mar 18, 2017",-0.118
"Mar 27, 2017",
"Apr 3, 2017",
"Apr 12, 2017",-0.112
"Apr 19, 2017",-0.142
"Apr 28, 2017",-0.156
"May 5, 2017",
"May 14, 2017",
"May 21, 2017",-0.056
"Jun 6, 2017",-0.046
"Jun 15, 2017",
"Jul 8, 2017",0.107
"Sep 10, 2017",0.315
"Sep 19, 2017",0.211
"Sep 26, 2017",0.249
"Oct 5, 2017",0.079
"Oct 21, 2017",
"Oct 28, 2017",0.191
"Nov 6, 2017",0.286
"Nov 13, 2017",0.381
"Nov 22, 2017",0.29
"Nov 29, 2017",0.313
"Dec 8, 2017",
"Dec 15, 2017",0.172
"Dec 24, 2017",0.24
"Dec 31, 2017",0.335
"Jan 9, 2018",0.087
"Jan 16, 2018",0.236
"Jan 25, 2018",0.148
"Feb 1, 2018",0.282
"Feb 17, 2018",
"Feb 26, 2018",0.062
"Mar 5, 2018",-0.013
"Mar 14, 2018",
"Mar 21, 2018",-0.059
"Mar 30, 2018",-0.045
"Apr 6, 2018",
"Apr 15, 2018",-0.026
"Apr 22, 2018",-0.191
"May 1, 2018",0.012
"May 17, 2018",-0.073
"May 24, 2018",-0.024
"Jun 2, 2018",0.008
"Sep 29, 2018",0.022
"Oct 8, 2018",0.059
"Oct 15, 2018",
"Oct 24, 2018",
"Oct 31, 2018",
"Nov 9, 2018",
"Nov 16, 2018",0.103
"Nov 25, 2018",-0.001
"Dec 2, 2018",0.085
"Dec 11, 2018",0.08
"Dec 18, 2018",-0.034
"Dec 27, 2018",
