system:time_start,Nalsarovar dist: Ahmedabad
"Jan 13, 2011",0.66
"Jan 29, 2011",0.623
"Feb 14, 2011",0.652
"Mar 2, 2011",0.168
"Apr 3, 2011",0.366
"Apr 19, 2011",0.286
"May 5, 2011",0.221
"Sep 26, 2011",0.556
"Oct 28, 2011",0.536
"Nov 13, 2011",0.586
"Dec 15, 2011",0.646
"Dec 31, 2011",0.677
"Jan 16, 2012",0.286
"Feb 1, 2012",0.643
"Feb 17, 2012",0.564
"Mar 4, 2012",0.447
"Mar 20, 2012",0.227
"Apr 5, 2012",0.42
"Apr 21, 2012",0.491
"May 7, 2012",0.342
"May 23, 2012",0.279
"Jun 8, 2012",0.088
"Jun 24, 2012",0.247
"Sep 28, 2012",0.606
"Oct 14, 2012",0.58
"Oct 30, 2012",0.603
"Nov 15, 2012",0.67
"Dec 1, 2012",0.624
"Dec 17, 2012",0.387
"Jan 2, 2013",0.672
"Jan 18, 2013",0.645
"Feb 3, 2013",0.588
"Feb 19, 2013",0.677
"Mar 7, 2013",0.627
"Mar 23, 2013",0.525
"Apr 8, 2013",0.288
"Sep 15, 2013",0.31
"Oct 17, 2013",0.595
"Nov 2, 2013",0.626
"Nov 18, 2013",0.693
"Dec 4, 2013",0.675
"Dec 20, 2013",0.613
"Jan 5, 2014",0.669
"Jan 21, 2014",0.291
"Feb 6, 2014",0.658
"Feb 22, 2014",0.589
"Mar 10, 2014",0.665
"Mar 26, 2014",0.533
"Apr 11, 2014",0.482
"Apr 27, 2014",0.313
"May 13, 2014",0.425
"May 29, 2014",0.397
"Jun 30, 2014",0.277
"Nov 5, 2014",0.635
"Nov 21, 2014",0.561
"Dec 7, 2014",0.625
"Dec 23, 2014",0.69
"Jan 8, 2015",0.636
"Jan 24, 2015",0.532
"Feb 9, 2015",0.677
"Feb 25, 2015",0.566
"Mar 13, 2015",0.276
"Apr 14, 2015",0.496
"Apr 30, 2015",0.403
"May 16, 2015",0.37
"Jun 1, 2015",0.292
"Sep 5, 2015",0.219
"Oct 7, 2015",0.547
"Oct 23, 2015",0.619
"Nov 8, 2015",0.678
"Dec 10, 2015",0.652
"Dec 26, 2015",0.639
"Jan 11, 2016",0.658
"Jan 27, 2016",0.644
"Feb 12, 2016",0.421
"Feb 28, 2016",0.578
"Mar 15, 2016",0.402
"Mar 31, 2016",0.231
"Apr 16, 2016",0.284
"May 2, 2016",0.191
"May 18, 2016",0.026
"Jun 19, 2016",0.542
"Sep 23, 2016",0.375
"Oct 9, 2016",0.536
"Oct 25, 2016",0.6
"Nov 10, 2016",0.613
"Nov 26, 2016",0.647
"Dec 12, 2016",0.624
"Dec 28, 2016",0.662
"Jan 13, 2017",0.611
"Jan 29, 2017",0.64
"Feb 14, 2017",0.599
"Mar 2, 2017",0.507
"Mar 18, 2017",0.387
"Apr 3, 2017",0.41
"Apr 19, 2017",0.228
"May 5, 2017",0.132
"May 21, 2017",0.029
"Jun 6, 2017",-0.014
"Jul 8, 2017",0.324
"Sep 10, 2017",0.407
"Sep 26, 2017",0.554
"Oct 28, 2017",0.513
"Nov 13, 2017",0.571
"Nov 29, 2017",0.608
"Dec 15, 2017",0.296
"Dec 31, 2017",0.636
"Jan 16, 2018",0.594
"Feb 1, 2018",0.572
"Feb 17, 2018",0.447
"Mar 5, 2018",0.462
"Mar 21, 2018",0.365
"Apr 6, 2018",0.237
"Apr 22, 2018",0.288
"May 24, 2018",0.105
"Sep 29, 2018",0.189
"Oct 15, 2018",0.148
"Oct 31, 2018",0.097
"Nov 16, 2018",0.031
"Dec 2, 2018",0.098
"Dec 18, 2018",0.015
"Jan 3, 2019",-0.08
"Jan 19, 2019",-0.059
"Feb 4, 2019",0.018
"Feb 20, 2019",-0.213
"Mar 8, 2019",-0.184
"Mar 24, 2019",-0.215
"Apr 9, 2019",-0.218
"Apr 25, 2019",-0.194
"May 11, 2019",-0.162
"May 27, 2019",-0.167
"Jun 28, 2019",0.25
"Aug 31, 2019",0.675
"Oct 18, 2019",0.635
"Nov 19, 2019",0.679
"Dec 5, 2019",0.303
"Dec 21, 2019",0.676
