system:time_start,Narsinh Mehta Talav
"Mar 25, 2011",0.312
"Apr 10, 2011",0.01
"Apr 26, 2011",0.146
"May 12, 2011",0.123
"Sep 1, 2011",0.215
"Oct 3, 2011",0.415
"Oct 19, 2011",0.661
"Nov 20, 2011",0.596
"Dec 6, 2011",0.67
"Dec 22, 2011",0.511
"Jan 7, 2012",0.612
"Jan 23, 2012",0.539
"Feb 8, 2012",0.616
"Feb 24, 2012",0.454
"Mar 11, 2012",0.359
"Mar 27, 2012",0.284
"Apr 28, 2012",0.315
"May 7, 2012",0.15
"May 14, 2012",0.317
"May 23, 2012",0.124
"May 30, 2012",0.141
"Jun 15, 2012",0.613
"Jul 1, 2012",0.295
"Jul 17, 2012",0.746
"Sep 19, 2012",0.268
"Oct 5, 2012",0.538
"Oct 21, 2012",0.504
"Nov 6, 2012",0.669
"Nov 22, 2012",0.562
"Dec 8, 2012",0.681
"Dec 24, 2012",0.501
"Jan 9, 2013",0.522
"Jan 25, 2013",0.542
"Feb 10, 2013",0.485
"Feb 26, 2013",0.269
"Mar 14, 2013",0.359
"May 17, 2013",0.103
"Jun 2, 2013",0.004
"Oct 24, 2013",0.509
"Nov 9, 2013",0.572
"Nov 25, 2013",0.328
"Dec 11, 2013",0.54
"Dec 27, 2013",0.495
"Jan 12, 2014",0.375
"Jan 28, 2014",0.576
"Feb 6, 2014",-0.158
"Feb 13, 2014",0.165
"Mar 1, 2014",0.342
"Mar 17, 2014",0.123
"Apr 2, 2014",0.247
"Apr 18, 2014",0.262
"May 4, 2014",0.133
"May 20, 2014",0.172
"Jun 5, 2014",0.017
"Jun 21, 2014",0.088
"Oct 27, 2014",0.33
"Nov 12, 2014",0.509
"Nov 28, 2014",0.581
"Dec 14, 2014",0.512
"Dec 30, 2014",0.562
"Jan 15, 2015",0.458
"Jan 31, 2015",0.536
"Feb 16, 2015",0.434
"Mar 4, 2015",0.456
"Mar 20, 2015",0.34
"Apr 21, 2015",0.139
"May 7, 2015",0.157
"Jul 10, 2015",0.264
"Aug 11, 2015",0.689
"Sep 12, 2015",0.506
"Sep 28, 2015",0.407
"Oct 14, 2015",0.621
"Oct 30, 2015",0.288
"Nov 15, 2015",0.628
"Dec 1, 2015",0.586
"Dec 17, 2015",0.446
"Jan 2, 2016",0.309
"Jan 18, 2016",0.507
"Feb 3, 2016",0.565
"Feb 19, 2016",0.494
"Mar 6, 2016",0.011
"Mar 22, 2016",0.337
"Apr 7, 2016",0.371
"Apr 23, 2016",0.282
"May 9, 2016",0.118
"May 25, 2016",0.11
"Aug 13, 2016",0.249
"Sep 14, 2016",0.501
"Sep 30, 2016",0.497
"Oct 16, 2016",0.645
"Nov 1, 2016",0.664
"Nov 17, 2016",0.679
"Dec 3, 2016",0.585
"Dec 19, 2016",0.63
"Jan 4, 2017",0.592
"Jan 20, 2017",0.124
"Feb 5, 2017",0.533
"Feb 21, 2017",0.428
"Mar 9, 2017",0.355
"Mar 25, 2017",0.357
"Apr 10, 2017",0.388
"Apr 26, 2017",0.176
"May 12, 2017",0.341
"May 28, 2017",0.187
"Jun 13, 2017",0.184
"Sep 1, 2017",0.345
"Oct 3, 2017",0.306
"Oct 19, 2017",0.512
"Nov 4, 2017",0.433
"Nov 13, 2017",0.546
"Nov 20, 2017",0.674
"Nov 29, 2017",0.774
"Dec 15, 2017",0.593
"Dec 22, 2017",0.255
"Jan 7, 2018",0.548
"Jan 23, 2018",0.413
"Feb 8, 2018",0.555
"Feb 24, 2018",0.597
"Mar 12, 2018",0.687
"Mar 28, 2018",0.369
"Apr 13, 2018",0.281
"Apr 29, 2018",0.191
"May 15, 2018",0.132
"May 31, 2018",0.11
"Jun 16, 2018",0.361
"Jul 2, 2018",0.247
"Sep 4, 2018",0.135
"Sep 20, 2018",0.383
"Oct 6, 2018",0.631
"Oct 22, 2018",0.613
"Nov 7, 2018",0.567
"Nov 23, 2018",0.629
"Dec 25, 2018",0.679
"Jan 10, 2019",0.119
"Jan 26, 2019",0.616
"Feb 11, 2019",0.054
"Feb 27, 2019",0.312
"Mar 15, 2019",0.401
"Mar 31, 2019",0.293
"Apr 16, 2019",0.345
"May 2, 2019",0.229
"May 18, 2019",0.225
"Jun 3, 2019",0.269
"Jul 5, 2019",0.253
"Aug 22, 2019",0.396
"Sep 23, 2019",0.206
"Oct 9, 2019",0.583
"Oct 25, 2019",0.131
"Nov 10, 2019",0.115
"Nov 26, 2019",0.7
"Dec 12, 2019",0.597
"Dec 28, 2019",0.555
