system:time_start,Padara lake Padara Vadodara
"Jan 6, 2011",0.48
"Jan 22, 2011",0.484
"Apr 28, 2011",0.168
"May 14, 2011",-0.007
"Oct 21, 2011",0.287
"Nov 6, 2011",0.372
"Nov 22, 2011",0.133
"Dec 8, 2011",0.187
"Dec 24, 2011",0.284
"Jan 9, 2012",0.36
"Jan 25, 2012",0.315
"Feb 10, 2012",0.384
"Feb 26, 2012",0.399
"Mar 13, 2012",0.256
"Mar 29, 2012",0.172
"Apr 14, 2012",0.212
"Apr 30, 2012",0.199
"Jun 1, 2012",-0.093
"Sep 21, 2012",0.315
"Oct 7, 2012",0.064
"Oct 23, 2012",0.44
"Nov 8, 2012",0.452
"Nov 24, 2012",0.502
"Dec 10, 2012",0.48
"Dec 26, 2012",0.489
"Jan 11, 2013",0.414
"Feb 12, 2013",0.431
"Feb 28, 2013",0.446
"Mar 16, 2013",0.354
"Apr 1, 2013",0.411
"Apr 17, 2013",0.304
"May 3, 2013",0.346
"May 19, 2013",0.206
"Jun 4, 2013",0.016
"Sep 8, 2013",0.593
"Oct 26, 2013",0.502
"Nov 11, 2013",0.548
"Nov 27, 2013",0.217
"Dec 13, 2013",0.503
"Dec 29, 2013",0.511
"Jan 14, 2014",0.531
"Jan 30, 2014",0.266
"Mar 3, 2014",0.191
"Mar 19, 2014",0.466
"Apr 4, 2014",0.26
"Apr 20, 2014",0.268
"May 6, 2014",0.15
"May 22, 2014",0.279
"Jun 7, 2014",0.049
"Jun 23, 2014",0.448
"Oct 13, 2014",0.34
"Oct 29, 2014",0.438
"Nov 14, 2014",0.265
"Nov 30, 2014",0.497
"Jan 1, 2015",0.565
"Jan 17, 2015",0.453
"Feb 2, 2015",0.522
"Feb 18, 2015",0.35
"Mar 6, 2015",0.43
"Mar 22, 2015",0.42
"Apr 7, 2015",0.184
"Apr 23, 2015",0.336
"May 9, 2015",0.297
"May 25, 2015",0.175
"Sep 14, 2015",0.404
"Oct 16, 2015",0.406
"Nov 1, 2015",0.492
"Nov 17, 2015",0.45
"Dec 3, 2015",0.48
"Jan 4, 2016",0.496
"Jan 20, 2016",0.553
"Feb 5, 2016",0.544
"Feb 21, 2016",0.171
"Mar 8, 2016",0.51
"Mar 24, 2016",0.45
"Apr 9, 2016",0.449
"Apr 25, 2016",0.204
"May 11, 2016",0.139
"May 27, 2016",0.014
"Oct 18, 2016",0.355
"Nov 3, 2016",0.483
"Nov 19, 2016",0.41
"Dec 5, 2016",0.579
"Dec 21, 2016",0.534
"Jan 6, 2017",0.537
"Jan 22, 2017",0.459
"Feb 7, 2017",0.581
"Feb 23, 2017",0.416
"Mar 11, 2017",0.351
"Mar 27, 2017",0.277
"Apr 12, 2017",0.307
"Apr 28, 2017",0.287
"May 14, 2017",0.277
"May 30, 2017",0.077
"Jun 15, 2017",0.247
"Sep 19, 2017",0.041
"Oct 5, 2017",0.255
"Oct 21, 2017",0.447
"Nov 6, 2017",0.557
"Nov 22, 2017",0.474
"Dec 8, 2017",0.533
"Dec 24, 2017",0.533
"Jan 9, 2018",0.497
"Jan 25, 2018",0.485
"Feb 10, 2018",0.493
"Feb 26, 2018",0.41
"Mar 14, 2018",0.475
"Mar 30, 2018",0.282
"Apr 15, 2018",0.286
"May 1, 2018",0.236
"May 17, 2018",0.143
"Jun 2, 2018",0.15
"Jun 18, 2018",0.19
"Oct 8, 2018",0.445
"Oct 24, 2018",0.367
"Nov 9, 2018",0.51
"Nov 25, 2018",0.5
"Dec 11, 2018",0.489
"Dec 27, 2018",0.326
"Jan 12, 2019",0.415
"Jan 28, 2019",0.344
"Feb 13, 2019",0.127
"Mar 1, 2019",0.475
"Mar 17, 2019",0.356
"Apr 2, 2019",0.337
"Apr 18, 2019",0.351
"May 4, 2019",0.252
"May 20, 2019",0.282
"Jun 5, 2019",0.205
"Aug 24, 2019",0.406
"Sep 25, 2019",0.257
"Oct 11, 2019",0.461
"Nov 12, 2019",0.546
"Nov 28, 2019",0.542
"Dec 14, 2019",0.491
"Dec 30, 2019",0.465
