system:time_start,Ranmal talav Jamnagar
"Mar 25, 2011",0.403
"Mar 25, 2011",0.384
"Apr 10, 2011",0.317
"Apr 10, 2011",0.296
"Apr 26, 2011",0.32
"Apr 26, 2011",0.299
"May 12, 2011",0.223
"May 12, 2011",0.209
"Sep 1, 2011",0.206
"Oct 3, 2011",0.479
"Oct 3, 2011",0.477
"Oct 19, 2011",0.493
"Oct 19, 2011",0.488
"Nov 4, 2011",0.527
"Nov 20, 2011",0.597
"Nov 20, 2011",0.597
"Dec 6, 2011",0.544
"Dec 6, 2011",0.548
"Dec 22, 2011",0.541
"Dec 22, 2011",0.532
"Jan 7, 2012",0.525
"Jan 7, 2012",0.526
"Jan 23, 2012",0.493
"Jan 23, 2012",0.493
"Feb 8, 2012",0.553
"Feb 8, 2012",0.569
"Feb 24, 2012",0.363
"Feb 24, 2012",0.359
"Mar 11, 2012",0.354
"Mar 11, 2012",0.35
"Mar 27, 2012",0.262
"Mar 27, 2012",0.26
"Apr 12, 2012",0.407
"Apr 28, 2012",0.276
"Apr 28, 2012",0.282
"May 14, 2012",0.212
"May 14, 2012",0.214
"May 30, 2012",0.186
"May 30, 2012",0.184
"Jun 15, 2012",0.227
"Jul 1, 2012",0.207
"Jul 17, 2012",0.245
"Sep 19, 2012",0.209
"Sep 19, 2012",0.213
"Oct 5, 2012",0.353
"Oct 5, 2012",0.353
"Oct 21, 2012",0.295
"Oct 21, 2012",0.29
"Nov 6, 2012",0.505
"Nov 6, 2012",0.503
"Nov 22, 2012",0.364
"Nov 22, 2012",0.362
"Dec 8, 2012",0.387
"Dec 8, 2012",0.385
"Dec 24, 2012",0.352
"Jan 9, 2013",0.305
"Jan 9, 2013",0.305
"Jan 25, 2013",0.3
"Jan 25, 2013",0.304
"Feb 10, 2013",0.268
"Feb 10, 2013",0.262
"Feb 26, 2013",0.171
"Feb 26, 2013",0.171
"Mar 14, 2013",0.133
"Mar 14, 2013",0.14
"Apr 15, 2013",0.039
"May 1, 2013",-0.011
"May 17, 2013",-0.029
"May 17, 2013",-0.029
"Jun 2, 2013",0.001
"Jun 2, 2013",0.001
"Aug 5, 2013",0.225
"Aug 21, 2013",0.006
"Sep 6, 2013",0.441
"Oct 8, 2013",0.173
"Oct 24, 2013",0.432
"Oct 24, 2013",0.424
"Nov 9, 2013",0.568
"Nov 9, 2013",0.568
"Nov 25, 2013",0.229
"Nov 25, 2013",0.228
"Dec 11, 2013",0.541
"Dec 11, 2013",0.542
"Dec 27, 2013",0.489
"Dec 27, 2013",0.482
"Jan 12, 2014",0.445
"Jan 12, 2014",0.447
"Jan 28, 2014",0.62
"Jan 28, 2014",0.594
"Feb 13, 2014",0.539
"Feb 13, 2014",0.537
"Mar 1, 2014",0.408
"Mar 1, 2014",0.42
"Mar 17, 2014",0.482
"Mar 17, 2014",0.485
"Apr 2, 2014",0.318
"Apr 2, 2014",0.323
"Apr 18, 2014",0.279
"Apr 18, 2014",0.275
"May 4, 2014",0.203
"May 4, 2014",0.199
"May 20, 2014",0.24
"May 20, 2014",0.237
"Jun 5, 2014",0.106
"Jun 5, 2014",0.109
"Jun 21, 2014",0.131
"Jun 21, 2014",0.124
"Oct 27, 2014",0.128
"Oct 27, 2014",0.131
"Nov 12, 2014",0.444
"Nov 12, 2014",0.45
"Nov 28, 2014",0.029
"Nov 28, 2014",0.026
"Dec 14, 2014",0.433
"Dec 14, 2014",0.439
"Dec 30, 2014",0.479
"Dec 30, 2014",0.475
"Jan 15, 2015",0.347
"Jan 15, 2015",0.348
"Jan 31, 2015",0.432
"Jan 31, 2015",0.44
"Feb 16, 2015",0.328
"Feb 16, 2015",0.328
"Mar 4, 2015",0.317
"Mar 4, 2015",0.323
"Mar 20, 2015",0.205
"Mar 20, 2015",0.203
"Apr 5, 2015",-0.043
"Apr 21, 2015",0.152
"Apr 21, 2015",0.157
"May 7, 2015",0.2
"May 7, 2015",0.201
"May 23, 2015",0.092
"Jul 10, 2015",0.143
"Jul 10, 2015",0.131
"Aug 11, 2015",0.567
"Sep 12, 2015",0.334
"Sep 12, 2015",0.333
"Sep 28, 2015",0.339
"Sep 28, 2015",0.333
"Oct 14, 2015",0.377
"Oct 14, 2015",0.376
"Oct 30, 2015",0.314
"Oct 30, 2015",0.309
"Nov 15, 2015",0.406
"Nov 15, 2015",0.413
"Dec 1, 2015",0.422
"Dec 1, 2015",0.43
"Dec 17, 2015",0.385
"Dec 17, 2015",0.389
"Jan 2, 2016",0.423
"Jan 2, 2016",0.426
"Jan 18, 2016",0.374
"Jan 18, 2016",0.372
"Feb 3, 2016",0.338
"Feb 3, 2016",0.338
"Feb 19, 2016",0.445
"Feb 19, 2016",0.448
"Mar 6, 2016",0.224
"Mar 6, 2016",0.208
"Mar 22, 2016",0.152
"Mar 22, 2016",0.156
"Apr 7, 2016",0.098
"Apr 7, 2016",0.097
"Apr 23, 2016",0.044
"Apr 23, 2016",0.042
"May 9, 2016",0.002
"May 9, 2016",-0.133
"May 25, 2016",0.017
"May 25, 2016",0.016
"Jun 26, 2016",-0.021
"Aug 13, 2016",0.272
"Aug 13, 2016",0.268
"Sep 14, 2016",0.273
"Sep 14, 2016",0.271
"Sep 30, 2016",0.174
"Sep 30, 2016",0.168
"Oct 16, 2016",0.425
"Oct 16, 2016",0.427
"Nov 1, 2016",0.5
"Nov 1, 2016",0.496
"Nov 17, 2016",0.439
"Nov 17, 2016",0.434
"Dec 3, 2016",0.521
"Dec 3, 2016",0.521
"Dec 19, 2016",0.518
