system:time_start,Saputara lake Saputara
"Jan 6, 2011",
"Jan 22, 2011",
"Jan 31, 2011",0.529
"Feb 16, 2011",0.235
"Mar 4, 2011",0.521
"Mar 20, 2011",0.463
"Apr 5, 2011",0.245
"May 7, 2011",0.081
"May 14, 2011",0.046
"May 23, 2011",0.143
"Sep 28, 2011",-0.074
"Oct 14, 2011",0.48
"Nov 6, 2011",0.511
"Nov 15, 2011",0.548
"Dec 1, 2011",0.581
"Dec 17, 2011",0.581
"Jan 2, 2012",0.574
"Jan 18, 2012",0.083
"Jan 25, 2012",0.095
"Feb 19, 2012",0.364
"Mar 6, 2012",0.446
"Mar 22, 2012",0.241
"Apr 7, 2012",0.231
"Apr 23, 2012",0.299
"May 9, 2012",0.157
"May 25, 2012",-0.133
"Jun 10, 2012",0.08
"Sep 30, 2012",0.446
"Oct 7, 2012",0.125
"Oct 16, 2012",0.505
"Nov 8, 2012",0.274
"Nov 17, 2012",0.579
"Dec 3, 2012",0.434
"Dec 10, 2012",0.558
"Jan 11, 2013",
"Jan 20, 2013",0.306
"Feb 5, 2013",0.447
"Feb 21, 2013",0.51
"Feb 28, 2013",0.05
"Mar 9, 2013",0.416
"Mar 25, 2013",0.351
"Apr 1, 2013",
"Apr 10, 2013",0.277
"Apr 17, 2013",
"Apr 26, 2013",0.193
"May 12, 2013",0.021
"May 28, 2013",0.014
"Sep 1, 2013",0.117
"Sep 8, 2013",0.191
"Oct 19, 2013",0.143
"Oct 26, 2013",
"Nov 4, 2013",0.564
"Nov 11, 2013",
"Nov 20, 2013",0.549
"Nov 27, 2013",
"Dec 6, 2013",0.609
"Dec 13, 2013",
"Dec 22, 2013",0.54
"Jan 7, 2014",0.583
"Jan 23, 2014",0.518
"Feb 8, 2014",0.38
"Feb 24, 2014",0.533
"Mar 3, 2014",
"Mar 12, 2014",0.218
"Mar 19, 2014",0.39
"Mar 28, 2014",0.444
"Apr 4, 2014",0.001
"Apr 13, 2014",0.347
"Apr 20, 2014",
"Apr 29, 2014",0.267
"May 6, 2014",0.071
"May 15, 2014",0.354
"May 31, 2014",0.165
"Jun 7, 2014",-0.149
"Jun 23, 2014",
"Jul 2, 2014",0.711
"Aug 19, 2014",0.272
"Oct 6, 2014",0.641
"Oct 13, 2014",0.231
"Oct 22, 2014",0.569
"Oct 29, 2014",0.508
"Nov 7, 2014",0.538
"Nov 23, 2014",0.599
"Nov 30, 2014",0.547
"Dec 9, 2014",0.535
"Dec 25, 2014",0.55
"Jan 1, 2015",0.306
"Jan 10, 2015",0.443
"Jan 17, 2015",0.517
"Jan 26, 2015",0.031
"Feb 18, 2015",0.404
"Feb 27, 2015",0.455
"Mar 6, 2015",0.325
"Mar 15, 2015",0.471
"Mar 22, 2015",0.053
"Mar 31, 2015",0.289
"Apr 7, 2015",0.167
"Apr 16, 2015",0.373
"Apr 23, 2015",0.023
"May 2, 2015",0.095
"May 9, 2015",
"May 18, 2015",0.037
"Jun 3, 2015",-0.009
"Jun 10, 2015",0.025
"Jul 5, 2015",0.097
"Sep 7, 2015",0.202
"Sep 23, 2015",0.451
"Oct 9, 2015",0.526
"Oct 16, 2015",0.486
"Oct 25, 2015",0.51
"Nov 1, 2015",0.509
"Nov 10, 2015",0.19
"Nov 17, 2015",0.063
"Nov 26, 2015",0.561
"Dec 3, 2015",0.566
"Dec 12, 2015",0.491
"Dec 19, 2015",0.494
"Dec 28, 2015",0.509
"Jan 4, 2016",
"Jan 13, 2016",0.185
"Jan 29, 2016",0.409
"Feb 14, 2016",0.423
"Feb 21, 2016",0.217
"Mar 1, 2016",0.506
"Mar 8, 2016",0.173
"Mar 17, 2016",0.337
"Mar 24, 2016",-0.103
"Apr 2, 2016",0.221
"Apr 9, 2016",0.242
"Apr 18, 2016",0.179
"Apr 25, 2016",-0.231
"May 4, 2016",0.077
"May 11, 2016",
"May 20, 2016",0.018
"May 27, 2016",-0.021
"Jun 21, 2016",0.213
"Sep 9, 2016",0.668
"Sep 25, 2016",0.196
"Oct 11, 2016",0.589
"Oct 27, 2016",0.492
"Nov 12, 2016",0.582
"Nov 19, 2016",
"Nov 28, 2016",0.518
"Dec 14, 2016",0.594
"Dec 30, 2016",0.581
"Jan 15, 2017",0.326
"Jan 22, 2017",
"Jan 31, 2017",0.501
"Feb 16, 2017",0.538
"Feb 23, 2017",0.08
"Mar 4, 2017",0.465
"Mar 11, 2017",0.211
"Mar 20, 2017",0.24
"Mar 27, 2017",0.201
"Apr 5, 2017",0.283
"Apr 12, 2017",0.203
"Apr 21, 2017",0.27
"Apr 28, 2017",-0.005
"May 7, 2017",0.259
"May 14, 2017",-0.078
"May 23, 2017",-0.1
"Sep 12, 2017",0.264
"Sep 28, 2017",0.145
"Oct 14, 2017",0.237
"Oct 30, 2017",0.506
"Nov 15, 2017",0.565
"Dec 1, 2017",0.516
"Dec 17, 2017",0.437
"Jan 2, 2018",0.579
"Jan 18, 2018",0.378
"Feb 3, 2018",0.497
"Feb 10, 2018",0.455
"Feb 19, 2018",0.361
"Feb 26, 2018",
"Mar 7, 2018",0.363
"Mar 23, 2018",0.278
"Apr 8, 2018",0.192
"Apr 24, 2018",0.237
"May 1, 2018",
"May 10, 2018",0.187
"May 17, 2018",
"May 26, 2018",0.107
"Aug 30, 2018",0.644
"Sep 15, 2018",0.117
"Oct 1, 2018",0.51
"Oct 8, 2018",0.128
"Oct 17, 2018",0.254
"Oct 24, 2018",
"Nov 2, 2018",0.103
"Nov 18, 2018",0.454
"Dec 4, 2018",0.407
"Dec 20, 2018",0.55
"Jan 5, 2019",0.572
"Jan 21, 2019",0.536
"Jan 28, 2019",0.5
"Feb 6, 2019",0.539
"Feb 22, 2019",0.48
"Mar 10, 2019",0.276
"Mar 26, 2019",0.301
"Apr 11, 2019",0.345
"Apr 27, 2019",0.256
"May 13, 2019",-0.002
"May 29, 2019",0.059
"Jun 14, 2019",0.014
"Oct 4, 2019",0.267
"Nov 5, 2019",0.551
"Nov 21, 2019",0.625
"Dec 7, 2019",0.016
"Dec 23, 2019",0.433
