system:time_start,Shree Sayaji Sarovar AjwaVadodara
"Jan 6, 2011",0.752
"Jan 6, 2011",0.75
"Jan 22, 2011",0.751
"Jan 22, 2011",0.742
"Mar 27, 2011",0.614
"Apr 28, 2011",0.252
"May 14, 2011",0.243
"May 14, 2011",0.245
"May 30, 2011",0.28
"Oct 21, 2011",0.642
"Oct 21, 2011",0.643
"Nov 6, 2011",0.681
"Nov 6, 2011",0.705
"Nov 22, 2011",0.709
"Nov 22, 2011",0.709
"Dec 8, 2011",0.732
"Dec 8, 2011",0.732
"Dec 24, 2011",0.75
"Dec 24, 2011",0.751
"Jan 9, 2012",0.728
"Jan 9, 2012",0.727
"Jan 25, 2012",0.381
"Jan 25, 2012",0.382
"Feb 10, 2012",0.727
"Feb 10, 2012",0.728
"Feb 26, 2012",0.639
"Feb 26, 2012",0.639
"Mar 13, 2012",0.538
"Mar 13, 2012",0.536
"Mar 29, 2012",0.375
"Mar 29, 2012",0.376
"Apr 14, 2012",0.419
"Apr 14, 2012",0.424
"Apr 30, 2012",0.243
"Apr 30, 2012",0.242
"Jun 1, 2012",0.143
"Jun 1, 2012",0.136
"Jul 3, 2012",0.583
"Sep 21, 2012",0.447
"Sep 21, 2012",0.436
"Oct 7, 2012",0.554
"Oct 7, 2012",0.558
"Oct 23, 2012",0.545
"Oct 23, 2012",0.545
"Nov 8, 2012",0.763
"Nov 8, 2012",0.763
"Nov 24, 2012",0.495
"Nov 24, 2012",0.493
"Dec 10, 2012",0.681
"Dec 10, 2012",0.679
"Dec 26, 2012",0.762
"Dec 26, 2012",0.736
"Jan 11, 2013",0.641
"Jan 11, 2013",0.644
"Feb 12, 2013",0.651
"Feb 12, 2013",0.654
"Feb 28, 2013",0.735
"Feb 28, 2013",0.734
"Mar 16, 2013",0.495
"Mar 16, 2013",0.496
"Apr 1, 2013",0.532
"Apr 1, 2013",0.531
"Apr 17, 2013",0.285
"Apr 17, 2013",0.283
"May 3, 2013",0.316
"May 3, 2013",0.31
"May 19, 2013",0.333
"Jun 4, 2013",0.24
"Jun 4, 2013",0.237
"Sep 8, 2013",0.563
"Sep 8, 2013",0.561
"Oct 26, 2013",0.778
"Oct 26, 2013",0.778
"Nov 11, 2013",0.762
"Nov 11, 2013",0.762
"Nov 27, 2013",0.607
"Nov 27, 2013",0.608
"Dec 13, 2013",0.695
"Dec 13, 2013",0.697
"Dec 29, 2013",0.684
"Dec 29, 2013",0.681
"Jan 14, 2014",0.75
"Jan 14, 2014",0.752
"Jan 30, 2014",0.693
"Jan 30, 2014",0.696
"Mar 3, 2014",0.516
"Mar 3, 2014",0.512
"Mar 19, 2014",0.587
"Mar 19, 2014",0.585
"Apr 4, 2014",0.44
"Apr 4, 2014",0.444
"Apr 20, 2014",0.432
"Apr 20, 2014",0.427
"May 6, 2014",0.275
"May 6, 2014",0.28
"May 22, 2014",0.279
"May 22, 2014",0.278
"Jun 7, 2014",0.114
"Jun 7, 2014",0.11
"Jun 23, 2014",0.239
"Oct 13, 2014",0.547
"Oct 13, 2014",0.545
"Oct 29, 2014",0.187
"Oct 29, 2014",0.191
"Nov 14, 2014",0.489
"Nov 14, 2014",0.515
"Nov 30, 2014",0.74
"Nov 30, 2014",0.742
"Dec 16, 2014",0.749
"Jan 1, 2015",0.345
"Jan 17, 2015",0.725
"Jan 17, 2015",0.724
"Feb 2, 2015",0.761
"Feb 2, 2015",0.762
"Feb 18, 2015",0.482
"Feb 18, 2015",0.483
"Mar 6, 2015",0.644
"Mar 6, 2015",0.643
"Mar 22, 2015",0.617
"Mar 22, 2015",0.617
"Apr 7, 2015",0.29
"Apr 7, 2015",0.291
"Apr 23, 2015",0.33
"Apr 23, 2015",0.339
"May 9, 2015",0.386
"May 9, 2015",0.381
"May 25, 2015",0.168
"May 25, 2015",0.16
"Sep 14, 2015",0.49
"Sep 14, 2015",0.491
"Oct 16, 2015",0.605
"Oct 16, 2015",0.6
"Nov 1, 2015",0.719
"Nov 1, 2015",0.717
"Nov 17, 2015",0.76
"Nov 17, 2015",0.759
"Dec 3, 2015",0.716
"Dec 3, 2015",0.717
"Dec 19, 2015",0.76
"Jan 4, 2016",0.737
"Jan 4, 2016",0.739
"Jan 20, 2016",0.761
"Jan 20, 2016",0.762
"Feb 5, 2016",0.691
"Feb 5, 2016",0.69
"Feb 21, 2016",0.271
"Feb 21, 2016",0.268
"Mar 8, 2016",0.596
"Mar 8, 2016",0.597
"Mar 24, 2016",0.548
"Mar 24, 2016",0.551
"Apr 9, 2016",0.41
"Apr 9, 2016",0.411
"Apr 25, 2016",0.144
"May 11, 2016",0.223
"May 11, 2016",0.235
"May 27, 2016",0.259
"Oct 18, 2016",0.588
"Oct 18, 2016",0.588
"Nov 3, 2016",0.748
"Nov 3, 2016",0.75
"Nov 19, 2016",0.671
"Nov 19, 2016",0.672
"Dec 5, 2016",0.792
"Dec 5, 2016",0.792
"Dec 21, 2016",0.769
"Dec 21, 2016",0.77
"Jan 6, 2017",0.73
"Jan 6, 2017",0.731
"Jan 22, 2017",0.696
"Jan 22, 2017",0.698
"Feb 7, 2017",0.714
"Feb 7, 2017",0.713
"Feb 23, 2017",0.593
"Feb 23, 2017",0.589
"Mar 11, 2017",0.352
"Mar 11, 2017",0.309
"Mar 27, 2017",0.469
"Mar 27, 2017",0.471
"Apr 12, 2017",0.414
"Apr 12, 2017",0.415
"Apr 28, 2017",0.359
"Apr 28, 2017",0.371
"May 14, 2017",0.087
"May 14, 2017",0.088
"May 30, 2017",0.347
"Jun 15, 2017",0.031
"Jun 15, 2017",0.027
"Sep 19, 2017",0.606
"Sep 19, 2017",0.603
"Oct 5, 2017",0.413
"Oct 5, 2017",0.415
"Oct 21, 2017",0.656
"Oct 21, 2017",0.654
"Nov 6, 2017",0.735
"Nov 6, 2017",0.737
"Nov 22, 2017",0.783
"Nov 22, 2017",0.781
"Dec 8, 2017",0.72
"Dec 8, 2017",0.723
"Dec 24, 2017",0.792
"Dec 24, 2017",0.793
"Jan 9, 2018",0.708
"Jan 9, 2018",0.711
"Jan 25, 2018",0.71
"Jan 25, 2018",0.709
"Feb 10, 2018",0.643
"Feb 26, 2018",0.578
"Feb 26, 2018",0.544
"Mar 14, 2018",0.607
"Mar 14, 2018",0.606
"Mar 30, 2018",0.476
"Mar 30, 2018",0.444
"Apr 15, 2018",0.017
"Apr 15, 2018",0.021
"May 1, 2018",0.228
"May 1, 2018",0.229
"May 17, 2018",0.246
"May 17, 2018",0.233
"Jun 2, 2018",0.202
"Jun 2, 2018",0.205
"Jun 18, 2018",0.3
"Oct 8, 2018",0.27
"Oct 8, 2018",0.27
"Oct 24, 2018",0.544
"Oct 24, 2018",0.548
"Nov 9, 2018",0.788
"Nov 9, 2018",0.787
"Nov 25, 2018",0.731
"Nov 25, 2018",0.733
"Dec 11, 2018",0.71
"Dec 11, 2018",0.713
"Dec 27, 2018",0.689
"Dec 27, 2018",0.69
"Jan 12, 2019",0.751
"Jan 12, 2019",0.752
"Jan 28, 2019",0.762
"Jan 28, 2019",0.762
"Feb 13, 2019",0.46
"Feb 13, 2019",0.453
"Mar 1, 2019",0.563
"Mar 1, 2019",0.564
"Mar 17, 2019",0.535
"Mar 17, 2019",0.506
"Apr 2, 2019",0.518
"Apr 2, 2019",0.519
"Apr 18, 2019",0.446
"Apr 18, 2019",0.446
"May 4, 2019",0.227
"May 4, 2019",0.23
"May 20, 2019",0.41
"May 20, 2019",0.41
"Jun 5, 2019",0.207
"Jun 5, 2019",0.195
"Jul 23, 2019",0.669
"Aug 24, 2019",0.441
"Aug 24, 2019",0.443
"Sep 25, 2019",0.656
"Oct 11, 2019",0.692
"Oct 11, 2019",0.691
"Nov 12, 2019",0.771
"Nov 12, 2019",0.773
"Nov 28, 2019",0.771
"Nov 28, 2019",0.771
"Dec 14, 2019",0.751
"Dec 14, 2019",0.75
"Dec 30, 2019",0.777
"Dec 30, 2019",0.778
