system:time_start,Sursagar lake Vadodara
"Jan 6, 2011",0.477
"Jan 22, 2011",0.4
"Apr 28, 2011",0.175
"May 14, 2011",0.225
"Oct 21, 2011",0.451
"Nov 6, 2011",0.679
"Nov 22, 2011",0.581
"Dec 8, 2011",0.585
"Dec 24, 2011",0.534
"Jan 9, 2012",0.528
"Jan 25, 2012",0.447
"Feb 10, 2012",0.401
"Feb 26, 2012",0.321
"Mar 13, 2012",0.462
"Mar 29, 2012",0.196
"Apr 14, 2012",0.318
"Apr 30, 2012",0.151
"Apr 30, 2012",0.194
"Jun 1, 2012",0.145
"Sep 21, 2012",0.394
"Oct 7, 2012",0.446
"Oct 23, 2012",0.603
"Nov 8, 2012",0.559
"Nov 24, 2012",0.401
"Dec 10, 2012",0.474
"Dec 26, 2012",0.492
"Jan 11, 2013",0.329
"Feb 12, 2013",0.507
"Feb 28, 2013",0.484
"Mar 16, 2013",0.382
"Apr 1, 2013",0.366
"Apr 17, 2013",0.235
"May 3, 2013",0.391
"May 19, 2013",0.314
"Jun 4, 2013",0.238
"Sep 8, 2013",0.379
"Oct 26, 2013",0.575
"Nov 11, 2013",0.64
"Nov 27, 2013",0.263
"Dec 13, 2013",0.424
"Dec 29, 2013",0.561
"Jan 14, 2014",0.601
"Jan 30, 2014",0.465
"Jan 30, 2014",0.489
"Mar 3, 2014",0.502
"Mar 19, 2014",0.506
"Apr 4, 2014",0.314
"Apr 20, 2014",0.328
"May 6, 2014",0.218
"May 22, 2014",0.337
"Jun 7, 2014",0.303
"Jun 23, 2014",0.099
"Oct 13, 2014",0.338
"Oct 29, 2014",0.13
"Nov 14, 2014",0.374
"Nov 30, 2014",0.597
"Jan 1, 2015",0.591
"Jan 17, 2015",0.493
"Feb 2, 2015",0.464
"Feb 18, 2015",0.333
"Mar 6, 2015",0.392
"Mar 22, 2015",0.48
"Apr 7, 2015",0.163
"Apr 23, 2015",0.271
"May 9, 2015",0.314
"May 25, 2015",0.222
"Sep 14, 2015",0.556
"Oct 16, 2015",0.503
"Nov 1, 2015",0.649
"Nov 17, 2015",0.576
"Dec 3, 2015",0.48
"Jan 4, 2016",0.518
"Jan 20, 2016",0.561
"Feb 5, 2016",0.445
"Feb 21, 2016",0.212
"Mar 8, 2016",0.525
"Mar 24, 2016",0.425
"Apr 9, 2016",0.398
"Apr 25, 2016",0.73
"May 11, 2016",0.199
"May 27, 2016",0.343
"Oct 18, 2016",0.658
"Nov 3, 2016",0.635
"Nov 19, 2016",0.437
"Dec 5, 2016",0.537
"Dec 21, 2016",0.505
"Jan 6, 2017",0.504
"Jan 22, 2017",0.514
"Feb 7, 2017",0.435
"Feb 23, 2017",0.351
"Mar 11, 2017",0.172
"Mar 27, 2017",0.313
"Apr 12, 2017",0.381
"Apr 28, 2017",0.317
"May 14, 2017",0.293
"May 30, 2017",0.243
"Jun 15, 2017",0.18
"Sep 19, 2017",0.171
"Oct 5, 2017",0.325
"Oct 21, 2017",0.536
"Nov 6, 2017",0.636
"Nov 22, 2017",0.546
"Nov 22, 2017",0.581
"Dec 8, 2017",0.592
"Dec 8, 2017",0.598
"Dec 24, 2017",0.613
"Jan 9, 2018",0.527
"Jan 25, 2018",0.435
"Feb 10, 2018",0.247
"Feb 26, 2018",0.285
"Mar 14, 2018",0.317
"Mar 30, 2018",0.17
"Apr 15, 2018",0.206
"May 1, 2018",0.153
"May 17, 2018",0.094
"Jun 2, 2018",0.141
"Jun 18, 2018",0.233
"Oct 8, 2018",0.375
"Oct 24, 2018",0.376
"Nov 9, 2018",0.552
"Nov 25, 2018",0.535
"Dec 11, 2018",0.552
"Dec 27, 2018",0.548
"Jan 12, 2019",0.512
"Jan 28, 2019",0.514
"Feb 13, 2019",0.125
"Mar 1, 2019",0.495
"Mar 17, 2019",0.37
"Apr 2, 2019",0.296
"Apr 18, 2019",0.316
"May 4, 2019",0.243
"May 20, 2019",0.298
"Jun 5, 2019",0.228
"Aug 24, 2019",0.3
"Sep 25, 2019",0.35
"Oct 11, 2019",0.366
"Nov 12, 2019",0.513
"Nov 28, 2019",0.582
"Dec 14, 2019",0.528
"Dec 30, 2019",0.538
