system:time_start,Thol Tank Kadi
"Jan 13, 2011",0.645
"Jan 29, 2011",0.524
"Feb 14, 2011",0.379
"Mar 2, 2011",0.111
"Apr 3, 2011",-0.121
"Apr 19, 2011",-0.152
"May 5, 2011",-0.121
"Sep 26, 2011",0.007
"Oct 28, 2011",0.597
"Nov 13, 2011",0.597
"Dec 15, 2011",0.49
"Dec 31, 2011",0.671
"Jan 16, 2012",0.551
"Feb 1, 2012",0.637
"Feb 17, 2012",0.513
"Mar 4, 2012",0.388
"Mar 20, 2012",0.18
"Apr 5, 2012",0.166
"Apr 21, 2012",0.187
"Apr 30, 2012",0.053
"May 7, 2012",0.054
"May 23, 2012",0.003
"Jun 1, 2012",-0.124
"Jun 8, 2012",0.124
"Jun 24, 2012",0.173
"Sep 28, 2012",0.487
"Oct 14, 2012",0.509
"Oct 30, 2012",0.597
"Nov 15, 2012",0.643
"Dec 1, 2012",0.601
"Dec 17, 2012",0.581
"Jan 2, 2013",0.615
"Jan 18, 2013",0.553
"Feb 3, 2013",0.451
"Feb 19, 2013",0.494
"Mar 7, 2013",0.332
"Mar 23, 2013",0.213
"Apr 8, 2013",0.242
"Sep 15, 2013",0.229
"Oct 17, 2013",0.526
"Nov 2, 2013",0.547
"Nov 18, 2013",0.651
"Dec 4, 2013",0.631
"Dec 20, 2013",0.585
"Jan 5, 2014",0.607
"Jan 14, 2014",
"Jan 21, 2014",0.141
"Jan 30, 2014",0.537
"Feb 6, 2014",0.577
"Feb 22, 2014",0.478
"Mar 10, 2014",0.514
"Mar 26, 2014",0.294
"Apr 11, 2014",0.151
"Apr 27, 2014",0.038
"May 13, 2014",0.02
"May 29, 2014",-0.05
"Jun 30, 2014",-0.059
"Nov 5, 2014",0.678
"Nov 21, 2014",0.49
"Dec 7, 2014",0.584
"Dec 23, 2014",0.629
"Jan 8, 2015",0.53
"Jan 24, 2015",0.451
"Feb 9, 2015",0.356
"Feb 25, 2015",0.145
"Mar 13, 2015",0.219
"Apr 14, 2015",0.021
"Apr 30, 2015",-0.089
"May 16, 2015",-0.142
"Jun 1, 2015",-0.169
"Sep 5, 2015",0.231
"Oct 7, 2015",0.466
"Oct 23, 2015",0.517
"Nov 8, 2015",0.63
"Dec 10, 2015",0.562
"Dec 26, 2015",0.517
"Jan 11, 2016",0.563
"Jan 27, 2016",0.483
"Feb 12, 2016",0.24
"Feb 28, 2016",0.246
"Mar 15, 2016",0.141
"Mar 31, 2016",-0.009
"Apr 16, 2016",-0.07
"May 2, 2016",-0.062
"May 18, 2016",-0.155
"Jun 19, 2016",-0.058
"Sep 23, 2016",0.293
"Oct 9, 2016",0.345
"Oct 18, 2016",0.433
"Oct 25, 2016",0.355
"Nov 10, 2016",0.576
"Nov 26, 2016",0.603
"Dec 12, 2016",0.546
"Dec 21, 2016",
"Dec 28, 2016",0.564
"Jan 13, 2017",0.433
"Jan 29, 2017",0.354
"Feb 14, 2017",0.194
"Mar 2, 2017",0.054
"Mar 18, 2017",0.028
"Apr 3, 2017",0.176
"Apr 19, 2017",0.091
"May 5, 2017",0.061
"May 21, 2017",0.006
"Jun 6, 2017",-0.045
"Jun 15, 2017",-0.1
"Jul 8, 2017",0.155
"Sep 10, 2017",0.365
"Sep 26, 2017",0.549
"Oct 5, 2017",0.198
"Oct 21, 2017",0.526
"Oct 28, 2017",0.49
"Nov 6, 2017",0.592
"Nov 13, 2017",0.57
"Nov 22, 2017",0.632
"Nov 29, 2017",0.626
"Dec 8, 2017",0.614
"Dec 15, 2017",0.649
"Dec 24, 2017",0.63
"Dec 31, 2017",0.635
"Jan 9, 2018",0.475
"Jan 16, 2018",0.622
"Feb 1, 2018",0.468
"Feb 17, 2018",0.257
"Mar 5, 2018",0.114
"Mar 21, 2018",0.035
"Apr 6, 2018",-0.04
"Apr 22, 2018",-0.091
"May 24, 2018",-0.178
"Sep 29, 2018",-0.056
"Oct 15, 2018",0.045
"Oct 31, 2018",0.049
"Nov 9, 2018",-0.284
"Nov 16, 2018",0.005
"Nov 25, 2018",-0.295
"Dec 2, 2018",0.038
"Dec 11, 2018",-0.111
"Dec 18, 2018",-0.099
"Dec 27, 2018",-0.321
"Jan 3, 2019",-0.181
"Jan 12, 2019",-0.239
"Jan 19, 2019",-0.212
"Feb 4, 2019",0.076
"Feb 13, 2019",
"Feb 20, 2019",-0.247
"Mar 1, 2019",-0.32
"Mar 8, 2019",-0.229
"Mar 17, 2019",-0.274
"Mar 24, 2019",-0.257
"Apr 2, 2019",-0.305
"Apr 9, 2019",-0.268
"Apr 18, 2019",-0.303
"Apr 25, 2019",-0.273
"May 4, 2019",-0.284
"May 11, 2019",-0.247
"May 20, 2019",-0.267
"May 27, 2019",-0.26
"Jun 5, 2019",-0.281
"Jun 28, 2019",0.386
"Jul 23, 2019",-0.117
"Aug 24, 2019",0.303
"Aug 31, 2019",0.442
"Oct 11, 2019",0.435
"Oct 18, 2019",0.535
"Nov 12, 2019",0.645
"Nov 19, 2019",0.674
"Nov 28, 2019",0.676
"Dec 5, 2019",0.262
"Dec 14, 2019",0.661
"Dec 21, 2019",0.67
"Dec 30, 2019",0.602
