system:time_start,Umarwada village ponddist:Bharuch
"Jan 6, 2011",0.666
"Jan 22, 2011",0.591
"Apr 28, 2011",0.16
"May 14, 2011",0.237
"Oct 21, 2011",0.464
"Nov 6, 2011",0.535
"Nov 22, 2011",0.505
"Dec 8, 2011",0.631
"Dec 24, 2011",0.603
"Jan 9, 2012",0.617
"Jan 25, 2012",0.609
"Feb 10, 2012",0.559
"Feb 26, 2012",0.589
"Mar 13, 2012",0.432
"Mar 29, 2012",0.241
"Apr 14, 2012",0.355
"Apr 30, 2012",0.134
"Jun 1, 2012",0.295
"Sep 21, 2012",0.22
"Oct 7, 2012",0.005
"Oct 23, 2012",0.483
"Nov 8, 2012",0.579
"Nov 24, 2012",0.549
"Dec 10, 2012",0.533
"Dec 26, 2012",0.628
"Jan 11, 2013",0.51
"Feb 12, 2013",0.593
"Feb 28, 2013",0.586
"Mar 16, 2013",0.361
"Apr 1, 2013",0.445
"Apr 17, 2013",0.229
"May 3, 2013",0.254
"May 19, 2013",0.242
"Jun 4, 2013",0.336
"Sep 8, 2013",0.418
"Oct 26, 2013",0.544
"Nov 11, 2013",0.623
"Nov 27, 2013",0.02
"Dec 13, 2013",0.545
"Dec 29, 2013",0.599
"Jan 14, 2014",0.656
"Jan 30, 2014",0.55
"Mar 3, 2014",0.426
"Mar 19, 2014",0.443
"Apr 4, 2014",0.376
"Apr 20, 2014",0.407
"May 6, 2014",0.245
"May 22, 2014",0.376
"Jun 7, 2014",0.222
"Jun 23, 2014",0.049
"Oct 13, 2014",0.384
"Oct 29, 2014",0.538
"Nov 14, 2014",0.045
"Nov 30, 2014",0.642
"Jan 1, 2015",0.716
"Jan 17, 2015",0.588
"Feb 2, 2015",0.687
"Feb 18, 2015",0.574
"Mar 6, 2015",0.497
"Mar 22, 2015",0.572
"Apr 7, 2015",0.292
"Apr 23, 2015",0.302
"May 9, 2015",0.351
"May 25, 2015",-0.043
"Sep 14, 2015",0.003
"Oct 16, 2015",0.454
"Nov 1, 2015",0.574
"Nov 17, 2015",0.601
"Dec 3, 2015",0.593
"Jan 4, 2016",0.564
"Jan 20, 2016",0.663
"Feb 5, 2016",0.651
"Feb 21, 2016",0.22
"Mar 8, 2016",0.442
"Mar 24, 2016",0.44
"Apr 9, 2016",0.387
"Apr 25, 2016",0.29
"May 11, 2016",0.227
"May 27, 2016",0.23
"Oct 18, 2016",0.422
"Nov 3, 2016",0.58
"Nov 19, 2016",0.554
"Dec 5, 2016",0.662
"Dec 21, 2016",0.582
"Jan 6, 2017",0.635
"Jan 22, 2017",0.595
"Feb 7, 2017",0.56
"Feb 23, 2017",0.475
"Mar 11, 2017",0.245
"Mar 27, 2017",0.271
"Apr 12, 2017",0.353
"Apr 28, 2017",0.328
"May 14, 2017",0.018
"May 30, 2017",0.29
"Jun 15, 2017",0.292
"Sep 19, 2017",0.089
"Oct 5, 2017",0.308
"Oct 21, 2017",0.557
"Nov 6, 2017",0.534
"Nov 22, 2017",0.648
"Dec 8, 2017",0.676
"Dec 24, 2017",0.707
"Jan 9, 2018",0.633
"Jan 25, 2018",0.523
"Feb 10, 2018",0.59
"Feb 26, 2018",0.502
"Mar 14, 2018",0.562
"Mar 30, 2018",0.29
"Apr 15, 2018",0.327
"May 1, 2018",0.239
"May 17, 2018",0.155
"Jun 2, 2018",0.192
"Jun 18, 2018",0.112
"Oct 8, 2018",0.256
"Oct 24, 2018",0.428
"Nov 9, 2018",0.646
"Nov 25, 2018",0.609
"Dec 11, 2018",0.565
"Dec 27, 2018",0.453
"Jan 12, 2019",0.582
"Jan 28, 2019",0.492
"Feb 13, 2019",0.46
"Mar 1, 2019",0.459
"Mar 17, 2019",0.453
"Apr 2, 2019",0.298
"Apr 18, 2019",0.35
"May 4, 2019",0.188
"May 20, 2019",0.318
"Jun 5, 2019",0.214
"Aug 24, 2019",0.173
"Sep 25, 2019",0.375
"Oct 11, 2019",0.556
"Nov 12, 2019",0.638
"Nov 28, 2019",0.675
"Dec 14, 2019",0.613
"Dec 30, 2019",0.653
