system:time_start,Chandola lake Ahmedabad
"Jan 6, 2011",0.539
"Jan 13, 2011",0.529
"Jan 22, 2011",0.487
"Jan 29, 2011",0.502
"Feb 14, 2011",0.56
"Mar 2, 2011",0.339
"Mar 27, 2011",0.414
"Apr 3, 2011",0.337
"Apr 19, 2011",0.28
"May 5, 2011",0.16
"May 14, 2011",0.143
"May 30, 2011",0.11
"Sep 26, 2011",0.276
"Oct 21, 2011",0.479
"Oct 28, 2011",0.531
"Nov 6, 2011",0.64
"Nov 13, 2011",0.575
"Nov 22, 2011",0.569
"Dec 8, 2011",0.587
"Dec 15, 2011",0.626
"Dec 24, 2011",0.628
"Dec 31, 2011",0.603
"Jan 9, 2012",0.573
"Jan 16, 2012",0.573
"Jan 25, 2012",0.535
"Feb 1, 2012",0.638
"Feb 10, 2012",0.597
"Feb 17, 2012",0.487
"Feb 26, 2012",0.482
"Mar 4, 2012",0.349
"Mar 13, 2012",0.377
"Mar 20, 2012",0.17
"Mar 29, 2012",0.223
"Apr 5, 2012",0.258
"Apr 14, 2012",0.221
"Apr 21, 2012",0.214
"Apr 30, 2012",0.126
"May 7, 2012",0.109
"May 23, 2012",0.084
"Jun 1, 2012",0.074
"Jun 8, 2012",0.217
"Jun 24, 2012",0.24
"Jul 3, 2012",0.042
"Sep 21, 2012",0.245
"Sep 28, 2012",0.55
"Oct 7, 2012",0.545
"Oct 14, 2012",0.523
"Oct 23, 2012",0.52
"Oct 30, 2012",0.636
"Nov 8, 2012",0.618
"Nov 15, 2012",0.697
"Nov 24, 2012",0.661
"Dec 1, 2012",0.704
"Dec 10, 2012",0.68
"Dec 17, 2012",0.6
"Dec 26, 2012",0.793
"Jan 2, 2013",0.659
"Jan 11, 2013",0.659
"Jan 18, 2013",0.667
"Feb 3, 2013",0.555
"Feb 12, 2013",0.474
"Feb 19, 2013",0.744
"Feb 28, 2013",0.716
"Mar 7, 2013",0.69
"Mar 16, 2013",0.445
"Mar 23, 2013",0.444
"Apr 1, 2013",0.519
"Apr 8, 2013",0.287
"Apr 17, 2013",0.321
"May 3, 2013",0.531
"Jun 4, 2013",0.07
"Sep 8, 2013",0.261
"Sep 15, 2013",0.331
"Oct 17, 2013",0.391
"Oct 26, 2013",0.647
"Nov 2, 2013",0.45
"Nov 11, 2013",0.613
"Nov 18, 2013",0.616
"Nov 27, 2013",0.372
"Dec 4, 2013",0.603
"Dec 13, 2013",0.507
"Dec 20, 2013",0.516
"Dec 29, 2013",0.589
"Jan 5, 2014",0.508
"Jan 14, 2014",0.594
"Jan 21, 2014",0.311
"Jan 30, 2014",0.561
"Feb 6, 2014",0.464
"Feb 22, 2014",0.417
"Mar 3, 2014",0.369
"Mar 10, 2014",0.509
"Mar 19, 2014",0.341
