system:time_start,Dobhi lake Dabhoi Dist.Vadodara.
"Jan 6, 2011",0.619
"Jan 22, 2011",0.552
"Apr 28, 2011",0.311
"May 14, 2011",0.323
"Oct 21, 2011",0.53
"Nov 6, 2011",0.526
"Nov 22, 2011",0.498
"Dec 8, 2011",0.57
"Dec 24, 2011",0.579
"Jan 9, 2012",0.555
"Jan 25, 2012",0.53
"Feb 10, 2012",0.536
"Feb 26, 2012",0.481
"Mar 13, 2012",0.365
"Mar 29, 2012",0.315
"Apr 14, 2012",0.348
"Apr 30, 2012",0.328
"Jun 1, 2012",0.036
"Sep 21, 2012",0.364
"Oct 7, 2012",0.555
"Oct 23, 2012",0.539
"Nov 8, 2012",0.649
"Nov 24, 2012",0.555
"Dec 10, 2012",0.576
"Dec 26, 2012",0.625
"Jan 11, 2013",0.55
"Feb 12, 2013",0.575
"Feb 28, 2013",0.516
"Mar 16, 2013",0.43
"Apr 1, 2013",0.418
"Apr 17, 2013",0.334
"May 3, 2013",0.342
"May 19, 2013",0.275
"Jun 4, 2013",0.452
"Sep 8, 2013",0.333
"Oct 26, 2013",0.62
"Nov 11, 2013",0.609
"Nov 27, 2013",0.077
"Dec 13, 2013",0.507
"Dec 29, 2013",0.575
"Jan 14, 2014",0.614
"Jan 30, 2014",0.589
"Mar 3, 2014",0.518
"Mar 19, 2014",0.508
"Apr 4, 2014",0.42
"Apr 20, 2014",0.356
"May 6, 2014",0.301
"May 22, 2014",0.359
"Jun 7, 2014",0.289
"Jun 23, 2014",0.236
"Oct 13, 2014",0.525
"Oct 29, 2014",0.57
"Nov 14, 2014",0.522
"Nov 30, 2014",0.609
"Jan 1, 2015",0.695
"Jan 17, 2015",0.58
"Feb 2, 2015",0.633
"Feb 18, 2015",0.493
"Mar 6, 2015",0.461
"Mar 22, 2015",0.527
"Apr 7, 2015",0.284
"Apr 23, 2015",0.321
"May 9, 2015",0.382
"May 25, 2015",0.191
"Sep 14, 2015",0.348
"Oct 16, 2015",0.56
"Nov 1, 2015",0.668
"Nov 17, 2015",0.607
"Dec 3, 2015",0.552
"Jan 4, 2016",0.588
"Jan 20, 2016",0.494
"Feb 5, 2016",0.541
"Feb 21, 2016",0.51
"Mar 8, 2016",0.512
"Mar 24, 2016",0.415
"Apr 9, 2016",0.372
"Apr 25, 2016",0.281
"May 11, 2016",0.337
"May 27, 2016",0.372
"Oct 18, 2016",0.588
"Nov 3, 2016",0.576
"Nov 19, 2016",0.593
"Dec 5, 2016",0.593
"Dec 21, 2016",0.534
"Jan 6, 2017",0.501
"Jan 22, 2017",0.56
"Feb 7, 2017",0.524
"Feb 23, 2017",0.492
"Mar 11, 2017",0.379
"Mar 27, 2017",0.456
"Apr 12, 2017",0.411
"Apr 28, 2017",0.42
"May 14, 2017",0.132
"May 30, 2017",0.198
"Jun 15, 2017",0.399
"Sep 19, 2017",0.273
"Oct 5, 2017",0.46
"Oct 21, 2017",0.627
"Nov 6, 2017",0.609
"Nov 22, 2017",0.657
"Dec 8, 2017",0.63
"Dec 24, 2017",0.597
"Jan 9, 2018",0.532
"Jan 25, 2018",0.437
"Feb 10, 2018",0.483
"Feb 26, 2018",0.459
"Mar 14, 2018",0.38
"Mar 30, 2018",0.361
"Apr 15, 2018",0.367
"May 1, 2018",0.307
"May 17, 2018",0.29
"Jun 2, 2018",0.244
"Jun 18, 2018",0.204
"Oct 8, 2018",0.525
"Oct 24, 2018",0.541
"Nov 9, 2018",0.756
"Nov 25, 2018",0.597
"Dec 11, 2018",0.575
"Dec 27, 2018",0.578
"Jan 12, 2019",0.542
"Jan 28, 2019",0.556
"Feb 13, 2019",0.513
"Mar 1, 2019",0.394
"Mar 17, 2019",0.403
"Apr 2, 2019",0.4
"Apr 18, 2019",0.339
"May 4, 2019",0.267
"May 20, 2019",0.353
"Jun 5, 2019",0.27
"Aug 24, 2019",0.345
"Sep 25, 2019",0.671
"Oct 11, 2019",0.636
"Nov 12, 2019",0.682
"Nov 28, 2019",0.707
"Dec 14, 2019",0.671
"Dec 30, 2019",0.576
