system:time_start,Gomti Talav DakorDist Kheda
"Jan 6, 2011",0.562
"Jan 22, 2011",0.491
"Mar 27, 2011",0.469
"May 14, 2011",0.321
"May 30, 2011",0.305
"Oct 21, 2011",0.575
"Nov 6, 2011",0.613
"Nov 22, 2011",0.578
"Dec 8, 2011",0.587
"Dec 24, 2011",0.613
"Jan 9, 2012",0.575
"Jan 25, 2012",0.564
"Feb 10, 2012",0.539
"Feb 26, 2012",0.506
"Mar 13, 2012",0.478
"Mar 29, 2012",0.448
"Apr 14, 2012",0.474
"Apr 30, 2012",0.423
"Jun 1, 2012",0.293
"Jul 3, 2012",0.691
"Sep 21, 2012",0.415
"Oct 7, 2012",0.595
"Oct 23, 2012",0.58
"Nov 8, 2012",0.6
"Nov 24, 2012",0.516
"Dec 10, 2012",0.599
"Dec 26, 2012",0.593
"Jan 11, 2013",0.56
"Feb 12, 2013",0.605
"Feb 28, 2013",0.602
"Mar 16, 2013",0.539
"Apr 1, 2013",0.58
"Apr 17, 2013",0.481
"May 3, 2013",0.513
"Jun 4, 2013",0.231
"Sep 8, 2013",0.584
"Oct 26, 2013",0.673
"Nov 11, 2013",0.647
"Nov 27, 2013",0.438
"Dec 13, 2013",0.549
"Dec 29, 2013",0.599
"Jan 14, 2014",0.615
"Jan 30, 2014",0.586
"Mar 3, 2014",0.557
"Mar 19, 2014",0.576
"Apr 4, 2014",0.573
"Apr 20, 2014",0.531
"May 6, 2014",0.467
"May 22, 2014",0.505
"Jun 7, 2014",0.32
"Oct 13, 2014",0.565
"Oct 29, 2014",0.476
"Nov 14, 2014",0.544
"Nov 30, 2014",0.561
"Dec 16, 2014",0.563
"Jan 17, 2015",0.514
"Feb 2, 2015",0.521
"Feb 18, 2015",0.495
"Mar 6, 2015",0.525
"Mar 22, 2015",0.539
"Apr 7, 2015",0.424
"Apr 23, 2015",0.519
"May 9, 2015",0.492
"May 25, 2015",0.368
"Sep 14, 2015",0.602
"Oct 16, 2015",0.527
"Nov 1, 2015",0.555
"Nov 17, 2015",0.534
"Dec 3, 2015",0.499
"Dec 19, 2015",0.495
"Jan 4, 2016",0.473
"Jan 20, 2016",0.505
"Feb 5, 2016",0.448
"Feb 21, 2016",0.357
"Mar 8, 2016",0.489
"Mar 24, 2016",0.48
"Apr 9, 2016",0.537
"May 11, 2016",0.405
"Oct 18, 2016",0.565
"Nov 3, 2016",0.551
"Nov 19, 2016",0.534
"Dec 5, 2016",0.516
"Dec 21, 2016",0.511
"Jan 6, 2017",0.539
"Jan 22, 2017",0.557
"Feb 7, 2017",0.498
"Feb 23, 2017",0.494
"Mar 11, 2017",0.399
"Mar 27, 2017",0.474
"Apr 12, 2017",0.474
"Apr 28, 2017",0.479
"May 14, 2017",0.42
"Jun 15, 2017",0.26
"Sep 19, 2017",0.316
"Oct 5, 2017",0.597
"Oct 21, 2017",0.609
"Nov 6, 2017",0.592
"Nov 22, 2017",0.569
"Dec 8, 2017",0.568
"Dec 24, 2017",0.524
"Jan 9, 2018",0.537
"Jan 25, 2018",0.49
"Feb 26, 2018",0.482
"Mar 14, 2018",0.556
"Mar 30, 2018",0.496
"Apr 15, 2018",0.412
"May 1, 2018",0.428
"May 17, 2018",0.384
"Jun 2, 2018",0.294
"Oct 8, 2018",0.593
"Oct 24, 2018",0.502
"Nov 9, 2018",0.545
"Nov 25, 2018",0.493
"Dec 11, 2018",0.487
"Dec 27, 2018",0.458
"Jan 12, 2019",0.458
"Jan 28, 2019",0.474
"Feb 13, 2019",0.484
"Mar 1, 2019",0.461
"Mar 17, 2019",0.474
"Apr 2, 2019",0.497
"Apr 18, 2019",0.454
"May 4, 2019",0.423
"May 20, 2019",0.4
"Jun 5, 2019",0.316
"Jul 23, 2019",0.596
"Aug 24, 2019",0.361
"Oct 11, 2019",0.679
"Nov 12, 2019",0.656
"Nov 28, 2019",0.639
"Dec 14, 2019",0.599
"Dec 30, 2019",0.57
