system:time_start,Khodiyar lake Bhavnagar
"Jan 13, 2011",0.509
"Jan 29, 2011",0.474
"Feb 14, 2011",0.523
"Mar 2, 2011",0.399
"Apr 3, 2011",0.228
"Apr 19, 2011",0.204
"May 5, 2011",0.234
"May 21, 2011",0.187
"Sep 26, 2011",0.538
"Oct 28, 2011",0.596
"Nov 13, 2011",0.601
"Dec 15, 2011",0.379
"Dec 31, 2011",0.58
"Jan 16, 2012",0.404
"Feb 1, 2012",0.458
"Feb 17, 2012",0.386
"Mar 4, 2012",0.265
"Mar 20, 2012",0.182
"Apr 5, 2012",0.324
"Apr 21, 2012",0.258
"Apr 30, 2012",
"May 7, 2012",0.178
"May 23, 2012",0.125
"Jun 8, 2012",0.192
"Jun 24, 2012",0.239
"Sep 28, 2012",0.344
"Oct 14, 2012",0.207
"Oct 30, 2012",0.127
"Nov 15, 2012",0.146
"Dec 1, 2012",0.101
"Jan 18, 2013",0.076
"Feb 3, 2013",0.072
"Feb 19, 2013",0.038
"Mar 7, 2013",0.023
"Mar 23, 2013",0.012
"Apr 8, 2013",0.024
"Apr 24, 2013",0.556
"May 10, 2013",0.242
"Sep 15, 2013",0.52
"Oct 17, 2013",0.549
"Nov 2, 2013",0.672
"Nov 18, 2013",0.686
"Dec 4, 2013",0.68
"Dec 20, 2013",0.438
"Jan 5, 2014",0.5
"Jan 21, 2014",0.447
"Feb 6, 2014",0.522
"Feb 22, 2014",0.44
"Mar 10, 2014",0.518
"Mar 26, 2014",0.334
"Apr 11, 2014",0.334
"Apr 27, 2014",0.21
"May 13, 2014",0.25
"May 29, 2014",0.191
"Jun 14, 2014",0.232
"Jun 30, 2014",0.161
"Oct 20, 2014",0.573
"Nov 5, 2014",0.505
"Nov 21, 2014",0.255
"Dec 7, 2014",0.452
"Dec 23, 2014",0.476
"Jan 8, 2015",0.415
"Jan 24, 2015",0.275
"Feb 9, 2015",0.347
"Feb 25, 2015",0.309
"Apr 14, 2015",0.31
"Apr 30, 2015",0.205
"Jun 1, 2015",0.16
"Jul 3, 2015",0.174
"Sep 5, 2015",0.535
"Oct 7, 2015",0.466
"Oct 23, 2015",0.568
"Nov 8, 2015",0.615
"Nov 24, 2015",0.392
"Dec 10, 2015",0.497
"Dec 26, 2015",0.535
"Jan 11, 2016",0.562
"Jan 27, 2016",0.537
"Feb 12, 2016",0.327
"Feb 28, 2016",0.491
"Mar 15, 2016",0.393
"Mar 31, 2016",0.371
"Apr 16, 2016",0.264
"May 2, 2016",0.244
"May 18, 2016",0.216
"Jun 19, 2016",0.196
"Sep 7, 2016",0.552
"Sep 23, 2016",0.545
"Oct 9, 2016",0.295
"Oct 25, 2016",0.462
"Nov 10, 2016",0.385
"Nov 26, 2016",0.38
"Dec 12, 2016",0.33
"Dec 28, 2016",0.262
"Jan 13, 2017",0.255
"Jan 29, 2017",0.222
"Feb 14, 2017",0.215
"Mar 2, 2017",0.164
"Mar 18, 2017",0.115
"Apr 3, 2017",0.109
"Apr 19, 2017",0.069
"May 5, 2017",0.053
"May 21, 2017",0.066
"Jun 6, 2017",0.098
"Jul 8, 2017",0.289
"Aug 9, 2017",0.303
"Sep 10, 2017",0.681
"Sep 26, 2017",0.156
"Oct 28, 2017",0.463
"Nov 13, 2017",0.5
"Nov 29, 2017",0.556
"Dec 15, 2017",0.564
"Dec 31, 2017",0.522
"Jan 16, 2018",0.505
"Feb 1, 2018",0.416
"Feb 17, 2018",0.326
"Mar 5, 2018",0.315
"Mar 21, 2018",0.19
"Apr 6, 2018",0.19
"Apr 22, 2018",0.186
"May 24, 2018",0.126
"Sep 13, 2018",0.35
"Sep 29, 2018",0.383
"Oct 15, 2018",0.347
"Oct 31, 2018",0.475
"Nov 16, 2018",0.465
"Dec 2, 2018",0.237
"Dec 18, 2018",0.462
"Jan 3, 2019",0.367
"Jan 19, 2019",0.387
"Feb 4, 2019",0.287
"Feb 20, 2019",0.256
"Mar 8, 2019",0.237
"Mar 24, 2019",0.227
"Apr 9, 2019",0.215
"Apr 25, 2019",0.163
"May 11, 2019",0.144
"May 27, 2019",0.09
"Jul 14, 2019",0.469
"Aug 31, 2019",0.447
"Oct 2, 2019",0.575
"Oct 18, 2019",0.527
"Nov 3, 2019",0.166
"Nov 19, 2019",0.379
"Dec 5, 2019",0.318
"Dec 21, 2019",0.669
