system:time_start,Kuvadva lake kuvadva tal & dist. :Rajkot
"Jan 13, 2011",0.525
"Jan 29, 2011",0.618
"Feb 14, 2011",0.633
"Mar 2, 2011",0.523
"Mar 25, 2011",0.42
"Apr 3, 2011",0.478
"Apr 10, 2011",0.199
"Apr 19, 2011",0.35
"Apr 26, 2011",0.175
"May 5, 2011",0.266
"May 12, 2011",0.2
"May 21, 2011",0.152
"Sep 26, 2011",0.544
"Oct 3, 2011",0.511
"Oct 19, 2011",0.6
"Oct 28, 2011",0.527
"Nov 4, 2011",0.582
"Nov 13, 2011",0.61
"Nov 20, 2011",0.588
"Dec 6, 2011",0.601
"Dec 15, 2011",0.65
"Dec 22, 2011",0.542
"Dec 31, 2011",0.599
"Jan 7, 2012",0.52
"Jan 16, 2012",0.531
"Jan 23, 2012",0.502
"Feb 1, 2012",0.63
"Feb 8, 2012",0.523
"Feb 17, 2012",0.533
"Feb 24, 2012",0.488
"Mar 4, 2012",0.454
"Mar 11, 2012",0.339
"Mar 20, 2012",0.238
"Mar 27, 2012",0.284
"Apr 5, 2012",0.403
"Apr 12, 2012",0.395
"Apr 21, 2012",0.216
"Apr 28, 2012",0.173
"May 7, 2012",0.205
"May 23, 2012",0.211
"May 30, 2012",0.181
"Jun 8, 2012",0.096
"Jun 24, 2012",0.228
"Jul 1, 2012",0.193
"Sep 19, 2012",0.419
"Sep 28, 2012",0.511
"Oct 5, 2012",0.63
"Oct 14, 2012",0.6
"Oct 21, 2012",0.57
"Oct 30, 2012",0.605
"Nov 6, 2012",0.725
"Nov 15, 2012",0.636
"Nov 22, 2012",0.584
"Dec 1, 2012",0.46
"Dec 8, 2012",0.598
"Jan 9, 2013",0.532
"Jan 18, 2013",0.355
"Jan 25, 2013",0.297
"Feb 3, 2013",0.276
"Feb 10, 2013",0.136
"Feb 19, 2013",0.205
"Feb 26, 2013",0.382
"Feb 26, 2013",
"Mar 7, 2013",0.239
"Mar 14, 2013",0.19
"Mar 23, 2013",0.306
"Apr 8, 2013",0.339
"Apr 15, 2013",0.38
"Apr 24, 2013",0.325
"May 1, 2013",0.24
"May 10, 2013",0.227
"May 17, 2013",0.156
"Jun 2, 2013",0.184
"Aug 5, 2013",0.304
"Aug 21, 2013",0.17
"Sep 6, 2013",0.431
"Sep 15, 2013",0.467
"Oct 8, 2013",0.409
"Oct 17, 2013",0.563
"Oct 24, 2013",0.595
"Nov 2, 2013",0.583
"Nov 9, 2013",0.665
"Nov 18, 2013",0.703
"Nov 25, 2013",0.332
"Dec 4, 2013",0.66
"Dec 11, 2013",0.651
"Dec 20, 2013",0.51
"Dec 27, 2013",0.563
"Jan 5, 2014",0.565
"Jan 12, 2014",0.459
"Jan 21, 2014",0.608
"Jan 28, 2014",0.318
"Feb 6, 2014",0.575
"Feb 13, 2014",0.532
"Feb 22, 2014",0.471
"Mar 1, 2014",0.446
"Mar 10, 2014",0.626
"Mar 17, 2014",0.451
"Mar 26, 2014",0.415
"Apr 2, 2014",0.333
"Apr 11, 2014",0.298
"Apr 18, 2014",0.463
"Apr 27, 2014",0.341
"May 4, 2014",0.302
"May 13, 2014",0.173
"May 20, 2014",0.166
"May 29, 2014",0.14
"Jun 5, 2014",0.202
"Jun 14, 2014",0.152
"Jun 21, 2014",0.184
"Jun 30, 2014",0.375
"Oct 20, 2014",0.213
"Oct 27, 2014",0.407
"Nov 5, 2014",0.354
"Nov 12, 2014",0.218
"Nov 21, 2014",0.242
"Nov 28, 2014",0.233
"Dec 7, 2014",0.246
"Dec 14, 2014",0.284
"Dec 23, 2014",0.511
"Dec 30, 2014",0.289
"Jan 8, 2015",0.543
"Jan 15, 2015",0.364
"Jan 24, 2015",0.281
"Jan 31, 2015",0.401
"Feb 9, 2015",0.387
"Feb 16, 2015",0.428
"Feb 25, 2015",0.371
"Mar 4, 2015",0.375
"Mar 20, 2015",0.24
"Apr 5, 2015",0.207
"Apr 14, 2015",0.174
"Apr 21, 2015",0.141
"Apr 30, 2015",0.146
"May 7, 2015",0.132
"May 23, 2015",0.119
"Jun 1, 2015",0.124
"Jul 3, 2015",0.462
"Jul 10, 2015",0.344
"Sep 5, 2015",0.493
"Sep 12, 2015",0.366
"Sep 28, 2015",0.48
"Oct 7, 2015",0.412
"Oct 14, 2015",0.547
"Oct 23, 2015",0.517
"Oct 30, 2015",0.503
"Nov 8, 2015",0.362
"Nov 15, 2015",0.273
"Nov 24, 2015",0.3
"Dec 1, 2015",0.236
"Dec 10, 2015",0.192
"Dec 17, 2015",0.323
"Dec 26, 2015",0.21
"Jan 2, 2016",0.263
"Jan 11, 2016",0.316
"Jan 18, 2016",0.336
"Jan 27, 2016",0.42
"Feb 3, 2016",0.415
"Feb 12, 2016",0.41
"Feb 19, 2016",0.162
"Feb 28, 2016",0.375
"Mar 6, 2016",0.275
"Mar 15, 2016",0.273
"Mar 22, 2016",0.25
"Mar 31, 2016",0.229
"Apr 7, 2016",0.224
"Apr 16, 2016",0.155
"Apr 23, 2016",0.18
"May 2, 2016",0.219
"May 9, 2016",0.176
"May 18, 2016",0.137
"May 25, 2016",0.209
"Jun 19, 2016",0.164
"Jun 26, 2016",0.122
"Aug 13, 2016",0.41
"Sep 7, 2016",0.26
"Sep 14, 2016",0.38
"Sep 23, 2016",0.377
"Sep 30, 2016",0.3
"Oct 9, 2016",0.266
"Oct 16, 2016",0.298
"Oct 25, 2016",0.397
"Nov 1, 2016",0.258
"Nov 10, 2016",0.182
"Nov 17, 2016",0.226
"Nov 26, 2016",0.204
"Dec 3, 2016",0.196
"Dec 12, 2016",0.205
"Dec 19, 2016",0.267
"Dec 28, 2016",0.294
"Jan 4, 2017",0.297
"Jan 13, 2017",0.332
"Jan 20, 2017",0.384
"Jan 29, 2017",0.171
"Feb 5, 2017",0.28
"Feb 14, 2017",0.245
"Feb 21, 2017",0.209
"Mar 2, 2017",0.191
"Mar 9, 2017",0.224
"Mar 18, 2017",0.165
"Mar 25, 2017",0.142
"Apr 3, 2017",0.152
"Apr 10, 2017",0.109
"Apr 19, 2017",0.119
"Apr 26, 2017",0.089
"May 5, 2017",0.33
"May 12, 2017",0.081
"May 21, 2017",0.045
"May 28, 2017",0.114
"Jun 6, 2017",0.128
"Jun 13, 2017",0.154
"Jul 8, 2017",0.165
"Aug 9, 2017",0.335
"Aug 16, 2017",0.237
"Sep 10, 2017",0.372
"Sep 17, 2017",0.189
"Sep 26, 2017",0.568
"Oct 3, 2017",0.391
"Oct 19, 2017",0.431
"Oct 28, 2017",0.482
"Nov 4, 2017",0.522
"Nov 13, 2017",0.62
"Nov 20, 2017",0.67
"Nov 29, 2017",0.61
"Dec 15, 2017",0.654
"Dec 22, 2017",0.401
"Dec 31, 2017",0.647
"Jan 7, 2018",0.52
"Jan 16, 2018",0.664
"Jan 23, 2018",0.357
"Feb 1, 2018",0.563
"Feb 8, 2018",0.54
"Feb 17, 2018",0.498
"Feb 24, 2018",0.494
"Feb 24, 2018",
"Mar 5, 2018",0.545
"Mar 12, 2018",0.626
"Mar 21, 2018",0.461
"Mar 28, 2018",0.346
"Apr 6, 2018",0.412
"Apr 13, 2018",0.262
"Apr 22, 2018",0.431
"Apr 29, 2018",0.198
"May 15, 2018",0.181
"May 24, 2018",0.156
"May 31, 2018",0.139
"Jun 16, 2018",0.567
"Sep 4, 2018",0.369
"Sep 13, 2018",0.368
"Sep 20, 2018",0.433
"Sep 29, 2018",0.487
"Oct 6, 2018",0.618
"Oct 6, 2018",0.649
"Oct 15, 2018",0.453
"Oct 22, 2018",0.507
"Oct 22, 2018",0.358
"Oct 31, 2018",0.639
"Nov 7, 2018",0.582
"Nov 16, 2018",0.453
"Nov 23, 2018",0.577
"Dec 2, 2018",0.302
"Dec 18, 2018",0.464
"Dec 25, 2018",0.335
"Dec 25, 2018",0.246
"Jan 3, 2019",0.372
"Jan 10, 2019",0.207
"Jan 19, 2019",0.188
"Jan 26, 2019",0.162
"Feb 4, 2019",0.262
"Feb 11, 2019",0.354
"Feb 20, 2019",0.354
"Feb 27, 2019",0.282
"Mar 8, 2019",0.309
"Mar 15, 2019",0.29
"Mar 24, 2019",0.299
"Mar 31, 2019",0.26
"Apr 9, 2019",0.215
"Apr 16, 2019",0.217
"Apr 25, 2019",0.234
"May 2, 2019",0.2
"May 11, 2019",0.21
"May 18, 2019",0.204
"May 18, 2019",0.212
"May 27, 2019",0.163
"Jun 3, 2019",0.13
"Jun 3, 2019",0.126
"Jun 19, 2019",0.15
"Jul 14, 2019",0.509
"Aug 22, 2019",0.487
"Aug 31, 2019",0.252
"Sep 7, 2019",0.609
"Sep 23, 2019",0.449
"Oct 2, 2019",0.517
"Oct 9, 2019",0.692
"Oct 18, 2019",0.599
"Oct 25, 2019",0.336
"Nov 3, 2019",0.268
"Nov 10, 2019",0.726
"Nov 19, 2019",0.469
"Nov 26, 2019",0.75
"Dec 5, 2019",0.467
"Dec 21, 2019",0.679
"Dec 28, 2019",0.672
