system:time_start,Malav lake Ahmedabad
"Jan 6, 2011",
"Jan 13, 2011",
"Jan 22, 2011",0.338
"Jan 29, 2011",0.367
"Feb 14, 2011",0.4
"Mar 2, 2011",0.355
"Mar 27, 2011",
"Apr 3, 2011",0.327
"Apr 19, 2011",0.293
"May 5, 2011",0.291
"May 14, 2011",0.3
"May 30, 2011",0.225
"Sep 26, 2011",
"Oct 21, 2011",0.422
"Oct 28, 2011",
"Nov 6, 2011",0.454
"Nov 13, 2011",0.449
"Nov 22, 2011",0.427
"Dec 8, 2011",
"Dec 15, 2011",
"Dec 24, 2011",
"Dec 31, 2011",0.44
"Jan 9, 2012",0.385
"Jan 16, 2012",0.365
"Jan 25, 2012",0.372
"Feb 1, 2012",
"Feb 10, 2012",0.362
"Feb 17, 2012",
"Feb 26, 2012",0.378
"Mar 4, 2012",0.345
"Mar 13, 2012",0.462
"Mar 20, 2012",0.23
"Mar 29, 2012",0.341
"Apr 5, 2012",0.382
"Apr 14, 2012",
"Apr 21, 2012",0.386
"Apr 30, 2012",0.166
"May 7, 2012",0.276
"May 23, 2012",0.153
"Jun 1, 2012",
"Jun 8, 2012",0.222
"Jun 24, 2012",0.199
"Jul 3, 2012",
"Sep 21, 2012",
"Sep 28, 2012",0.521
"Oct 7, 2012",0.472
"Oct 14, 2012",0.449
"Oct 23, 2012",0.444
"Oct 30, 2012",0.462
"Nov 8, 2012",
"Nov 15, 2012",
"Nov 24, 2012",
"Dec 1, 2012",0.397
"Dec 10, 2012",0.435
"Dec 17, 2012",
"Dec 26, 2012",
"Jan 2, 2013",
"Jan 11, 2013",0.398
"Jan 18, 2013",0.392
"Feb 3, 2013",0.389
"Feb 12, 2013",0.358
"Feb 19, 2013",0.398
"Feb 28, 2013",
"Mar 7, 2013",0.412
"Mar 16, 2013",
"Mar 23, 2013",0.346
"Apr 1, 2013",0.354
"Apr 8, 2013",0.317
"Apr 17, 2013",
"May 3, 2013",0.398
"Jun 4, 2013",
"Sep 8, 2013",0.32
"Sep 15, 2013",0.202
"Oct 17, 2013",0.395
"Oct 26, 2013",0.461
"Nov 2, 2013",0.443
"Nov 11, 2013",0.47
"Nov 18, 2013",
"Nov 27, 2013",
"Dec 4, 2013",0.544
"Dec 13, 2013",0.372
"Dec 20, 2013",
"Dec 29, 2013",
"Jan 5, 2014",0.408
"Jan 14, 2014",0.471
"Jan 21, 2014",
"Jan 30, 2014",0.309
"Feb 6, 2014",0.254
"Feb 22, 2014",
"Mar 3, 2014",
"Mar 10, 2014",0.088
"Mar 19, 2014",0.277
"Mar 26, 2014",0.331
"Apr 4, 2014",
"Apr 11, 2014",0.319
"Apr 20, 2014",0.296
"Apr 27, 2014",0.258
"May 6, 2014",0.257
"May 13, 2014",0.336
"May 22, 2014",0.374
"May 29, 2014",
"Jun 7, 2014",0.315
"Jun 30, 2014",0.216
"Oct 13, 2014",
"Oct 29, 2014",0.148
"Nov 5, 2014",0.55
"Nov 14, 2014",
"Nov 21, 2014",0.452
"Nov 30, 2014",0.497
"Dec 7, 2014",0.518
"Dec 16, 2014",
"Dec 23, 2014",0.396
"Jan 8, 2015",0.367
"Jan 17, 2015",0.333
"Jan 24, 2015",
"Feb 2, 2015",0.411
"Feb 9, 2015",
"Feb 18, 2015",0.316
"Feb 25, 2015",0.333
"Mar 6, 2015",
"Mar 13, 2015",0.52
"Mar 22, 2015",
"Apr 7, 2015",0.248
"Apr 14, 2015",0.4
"Apr 23, 2015",
"Apr 30, 2015",0.377
"May 9, 2015",
"May 16, 2015",0.352
"May 25, 2015",0.353
"Jun 1, 2015",0.351
"Sep 5, 2015",0.216
"Sep 14, 2015",0.545
"Oct 7, 2015",0.504
"Oct 16, 2015",
"Oct 23, 2015",0.505
"Nov 1, 2015",0.49
"Nov 8, 2015",0.448
"Nov 17, 2015",
"Dec 3, 2015",0.471
"Dec 10, 2015",
"Dec 19, 2015",0.414
"Dec 26, 2015",0.424
"Jan 4, 2016",
"Jan 11, 2016",0.443
"Jan 20, 2016",
"Jan 27, 2016",0.467
"Feb 5, 2016",0.456
"Feb 12, 2016",0.355
"Feb 21, 2016",0.308
"Feb 28, 2016",
"Mar 8, 2016",0.292
"Mar 15, 2016",0.32
"Mar 24, 2016",0.195
"Mar 31, 2016",0.432
"Apr 9, 2016",0.466
"Apr 16, 2016",0.471
"May 2, 2016",0.407
"May 11, 2016",
"May 18, 2016",0.356
"Jun 19, 2016",0.234
"Sep 23, 2016",0.56
"Oct 9, 2016",0.228
"Oct 18, 2016",0.544
"Oct 25, 2016",
"Nov 3, 2016",0.489
"Nov 10, 2016",0.459
"Nov 19, 2016",0.44
"Nov 26, 2016",
"Dec 5, 2016",0.359
"Dec 12, 2016",0.34
"Dec 21, 2016",0.357
"Dec 28, 2016",0.381
"Jan 6, 2017",
"Jan 13, 2017",0.403
"Jan 22, 2017",
"Jan 29, 2017",0.421
"Feb 7, 2017",
"Feb 14, 2017",0.304
"Feb 23, 2017",
"Mar 2, 2017",0.284
"Mar 11, 2017",
"Mar 18, 2017",0.337
"Mar 27, 2017",
"Apr 3, 2017",
"Apr 12, 2017",0.4
"Apr 19, 2017",0.358
"Apr 28, 2017",0.34
"May 5, 2017",
"May 14, 2017",
"May 21, 2017",0.233
"Jun 6, 2017",0.267
"Jun 15, 2017",
"Jul 8, 2017",0.438
"Sep 10, 2017",0.516
"Sep 19, 2017",0.382
"Sep 26, 2017",0.452
"Oct 5, 2017",0.374
"Oct 21, 2017",
"Oct 28, 2017",0.358
"Nov 6, 2017",0.435
"Nov 13, 2017",0.49
"Nov 22, 2017",0.435
"Nov 29, 2017",0.461
"Dec 8, 2017",
"Dec 15, 2017",0.289
"Dec 24, 2017",0.466
"Dec 31, 2017",0.452
"Jan 9, 2018",0.328
"Jan 16, 2018",0.437
"Jan 25, 2018",0.344
"Feb 1, 2018",0.414
"Feb 17, 2018",
"Feb 26, 2018",0.437
"Mar 5, 2018",0.456
"Mar 14, 2018",
"Mar 21, 2018",0.447
"Mar 30, 2018",0.386
"Apr 6, 2018",
"Apr 15, 2018",0.217
"Apr 22, 2018",0.185
"May 1, 2018",0.369
"May 17, 2018",0.256
"May 24, 2018",0.265
"Jun 2, 2018",0.248
"Sep 29, 2018",0.534
"Oct 8, 2018",0.504
"Oct 15, 2018",
"Oct 24, 2018",
"Oct 31, 2018",
"Nov 9, 2018",
"Nov 16, 2018",0.427
"Nov 25, 2018",0.428
"Dec 2, 2018",0.259
"Dec 11, 2018",0.457
"Dec 18, 2018",0.443
"Dec 27, 2018",
"Jan 3, 2019",0.365
"Jan 12, 2019",0.31
"Jan 19, 2019",0.338
"Jan 28, 2019",
