system:time_start,Moonsar lake Viramgam
"Jan 13, 2011",0.496
"Jan 29, 2011",0.443
"Feb 14, 2011",0.468
"Mar 2, 2011",0.391
"Apr 3, 2011",0.267
"Apr 19, 2011",0.299
"May 5, 2011",0.24
"Sep 26, 2011",0.485
"Oct 28, 2011",0.445
"Nov 13, 2011",0.435
"Dec 15, 2011",0.229
"Dec 31, 2011",0.507
"Jan 16, 2012",0.427
"Feb 1, 2012",0.443
"Feb 17, 2012",0.422
"Mar 4, 2012",0.304
"Mar 20, 2012",0.151
"Apr 5, 2012",0.369
"Apr 21, 2012",0.468
"May 7, 2012",0.364
"May 23, 2012",0.338
"Jun 8, 2012",0.112
"Jun 24, 2012",0.186
"Sep 28, 2012",0.601
"Oct 14, 2012",0.628
"Oct 30, 2012",0.617
"Nov 15, 2012",0.652
"Dec 1, 2012",0.677
"Dec 17, 2012",0.632
"Jan 2, 2013",0.688
"Jan 18, 2013",0.678
"Feb 3, 2013",0.603
"Feb 19, 2013",0.608
"Mar 7, 2013",0.567
"Mar 23, 2013",0.413
"Apr 8, 2013",0.325
"Sep 15, 2013",0.406
"Oct 17, 2013",0.436
"Nov 2, 2013",0.409
"Nov 18, 2013",0.538
"Dec 4, 2013",0.532
"Dec 20, 2013",0.45
"Jan 5, 2014",0.439
"Jan 21, 2014",0.491
"Feb 6, 2014",0.498
"Feb 22, 2014",0.404
"Mar 10, 2014",0.466
"Mar 26, 2014",0.395
"Apr 11, 2014",0.362
"Apr 27, 2014",0.192
"May 13, 2014",0.394
"May 29, 2014",0.258
"Jun 30, 2014",0.19
"Nov 5, 2014",0.559
"Nov 21, 2014",0.471
"Dec 7, 2014",0.443
"Dec 23, 2014",0.524
"Jan 8, 2015",0.485
"Jan 24, 2015",0.499
"Feb 9, 2015",0.529
"Feb 25, 2015",0.381
"Mar 13, 2015",0.457
"Apr 14, 2015",0.345
"Apr 30, 2015",0.254
"May 16, 2015",0.201
"Jun 1, 2015",0.196
"Sep 5, 2015",0.175
"Oct 7, 2015",0.34
"Oct 23, 2015",0.523
"Nov 8, 2015",0.55
"Dec 10, 2015",0.492
"Dec 26, 2015",0.565
"Jan 11, 2016",0.541
"Jan 27, 2016",0.628
"Feb 12, 2016",0.397
"Feb 28, 2016",0.54
"Mar 15, 2016",0.182
"Mar 31, 2016",0.267
"Apr 16, 2016",0.254
"May 2, 2016",0.204
"May 18, 2016",0.167
"Jun 19, 2016",0.667
"Sep 23, 2016",0.438
"Oct 9, 2016",0.453
"Oct 25, 2016",0.581
"Nov 10, 2016",0.528
"Nov 26, 2016",0.587
"Dec 12, 2016",0.534
"Dec 28, 2016",0.576
"Jan 13, 2017",0.579
"Jan 29, 2017",0.624
"Feb 14, 2017",0.573
"Mar 2, 2017",0.517
"Mar 18, 2017",0.452
"Apr 3, 2017",0.473
"Apr 19, 2017",0.388
"May 5, 2017",0.446
"May 21, 2017",0.069
"Jun 6, 2017",0.2
"Jul 8, 2017",0.229
"Sep 10, 2017",0.149
"Sep 26, 2017",0.358
"Oct 28, 2017",0.405
"Nov 13, 2017",0.512
"Nov 29, 2017",0.492
"Dec 15, 2017",0.601
"Dec 31, 2017",0.622
"Jan 16, 2018",0.626
"Feb 1, 2018",0.486
"Feb 17, 2018",0.421
"Mar 5, 2018",0.355
"Mar 21, 2018",0.3
"Apr 6, 2018",0.224
"Apr 22, 2018",0.337
"May 24, 2018",0.235
"Sep 29, 2018",0.497
"Oct 15, 2018",0.455
"Oct 31, 2018",0.463
"Nov 16, 2018",0.547
"Dec 2, 2018",0.259
"Dec 18, 2018",0.652
"Jan 3, 2019",0.617
"Jan 19, 2019",0.586
"Feb 4, 2019",0.086
"Feb 20, 2019",0.523
"Mar 8, 2019",0.389
"Mar 24, 2019",0.375
"Apr 9, 2019",0.472
"Apr 25, 2019",0.46
"May 11, 2019",0.433
"May 27, 2019",0.492
"Jun 28, 2019",0.389
"Aug 31, 2019",0.712
"Oct 18, 2019",0.511
"Nov 19, 2019",0.662
"Dec 5, 2019",0.507
"Dec 21, 2019",0.647
