system:time_start,Nalsarovar dist: Ahmedabad
"Jan 13, 2011",0.616
"Jan 29, 2011",0.599
"Feb 14, 2011",0.629
"Mar 2, 2011",0.22
"Apr 3, 2011",0.416
"Apr 19, 2011",0.397
"May 5, 2011",0.384
"Sep 26, 2011",0.592
"Oct 28, 2011",0.615
"Nov 13, 2011",0.659
"Dec 15, 2011",0.654
"Dec 31, 2011",0.663
"Jan 16, 2012",0.3
"Feb 1, 2012",0.622
"Feb 17, 2012",0.54
"Mar 4, 2012",0.45
"Mar 20, 2012",0.255
"Apr 5, 2012",0.449
"Apr 21, 2012",0.53
"May 7, 2012",0.437
"May 23, 2012",0.422
"Jun 8, 2012",0.173
"Jun 24, 2012",0.295
"Sep 28, 2012",0.478
"Oct 14, 2012",0.541
"Oct 30, 2012",0.615
"Nov 15, 2012",0.701
"Dec 1, 2012",0.661
"Dec 17, 2012",0.416
"Jan 2, 2013",0.636
"Jan 18, 2013",0.601
"Feb 3, 2013",0.574
"Feb 19, 2013",0.649
"Mar 7, 2013",0.615
"Mar 23, 2013",0.549
"Apr 8, 2013",0.354
"Sep 15, 2013",0.386
"Oct 17, 2013",0.575
"Nov 2, 2013",0.642
"Nov 18, 2013",0.71
"Dec 4, 2013",0.698
"Dec 20, 2013",0.617
"Jan 5, 2014",0.659
"Jan 21, 2014",0.24
"Feb 6, 2014",0.643
"Feb 22, 2014",0.578
"Mar 10, 2014",0.665
"Mar 26, 2014",0.586
"Apr 11, 2014",0.602
"Apr 27, 2014",0.489
"May 13, 2014",0.626
"May 29, 2014",0.598
"Jun 30, 2014",0.348
"Nov 5, 2014",0.703
"Nov 21, 2014",0.613
"Dec 7, 2014",0.65
"Dec 23, 2014",0.687
"Jan 8, 2015",0.618
"Jan 24, 2015",0.498
"Feb 9, 2015",0.627
"Feb 25, 2015",0.516
"Mar 13, 2015",0.295
"Apr 14, 2015",0.567
"Apr 30, 2015",0.562
"May 16, 2015",0.552
"Jun 1, 2015",0.468
"Sep 5, 2015",0.219
"Oct 7, 2015",0.55
"Oct 23, 2015",0.65
"Nov 8, 2015",0.686
"Dec 10, 2015",0.638
"Dec 26, 2015",0.613
"Jan 11, 2016",0.647
"Jan 27, 2016",0.63
"Feb 12, 2016",0.425
"Feb 28, 2016",0.584
"Mar 15, 2016",0.439
"Mar 31, 2016",0.327
"Apr 16, 2016",0.396
"May 2, 2016",0.323
"May 18, 2016",0.187
"Jun 19, 2016",0.282
"Sep 23, 2016",0.376
"Oct 9, 2016",0.495
"Oct 25, 2016",0.595
"Nov 10, 2016",0.629
"Nov 26, 2016",0.658
"Dec 12, 2016",0.631
"Dec 28, 2016",0.654
"Jan 13, 2017",0.613
"Jan 29, 2017",0.643
"Feb 14, 2017",0.6
"Mar 2, 2017",0.54
"Mar 18, 2017",0.456
"Apr 3, 2017",0.509
"Apr 19, 2017",0.393
"May 5, 2017",0.263
"May 21, 2017",0.206
"Jun 6, 2017",0.128
"Jul 8, 2017",0.284
"Sep 10, 2017",0.397
"Sep 26, 2017",0.607
"Oct 28, 2017",0.604
"Nov 13, 2017",0.631
"Nov 29, 2017",0.677
"Dec 15, 2017",0.342
"Dec 31, 2017",0.648
"Jan 16, 2018",0.64
"Feb 1, 2018",0.592
"Feb 17, 2018",0.511
"Mar 5, 2018",0.532
"Mar 21, 2018",0.47
"Apr 6, 2018",0.38
"Apr 22, 2018",0.47
"May 24, 2018",0.281
"Sep 29, 2018",0.329
"Oct 15, 2018",0.283
"Oct 31, 2018",0.252
"Nov 16, 2018",0.183
"Dec 2, 2018",0.193
"Dec 18, 2018",0.173
"Jan 3, 2019",0.109
"Jan 19, 2019",0.131
"Feb 4, 2019",0.1
"Feb 20, 2019",0.014
"Mar 8, 2019",0.019
"Mar 24, 2019",-0.003
"Apr 9, 2019",-0.017
"Apr 25, 2019",-0.003
"May 11, 2019",0.012
"May 27, 2019",0.005
"Jun 28, 2019",0.292
"Aug 31, 2019",0.483
"Oct 18, 2019",0.617
"Nov 19, 2019",0.758
"Dec 5, 2019",0.357
"Dec 21, 2019",0.723
