system:time_start,Narsinh Mehta Talav
"Mar 25, 2011",0.4
"Apr 10, 2011",0.175
"Apr 26, 2011",0.381
"May 12, 2011",0.292
"Sep 1, 2011",0.346
"Oct 3, 2011",0.471
"Oct 19, 2011",0.387
"Nov 20, 2011",0.734
"Dec 6, 2011",0.758
"Dec 22, 2011",0.593
"Jan 7, 2012",0.714
"Jan 23, 2012",0.604
"Feb 8, 2012",0.699
"Feb 24, 2012",0.549
"Mar 11, 2012",0.476
"Mar 27, 2012",0.484
"Apr 28, 2012",0.502
"May 7, 2012",0.429
"May 14, 2012",0.507
"May 23, 2012",0.365
"May 30, 2012",0.316
"Jun 15, 2012",0.241
"Jul 1, 2012",0.476
"Jul 17, 2012",0.671
"Sep 19, 2012",0.429
"Oct 5, 2012",0.61
"Oct 21, 2012",0.57
"Nov 6, 2012",0.702
"Nov 22, 2012",0.674
"Dec 8, 2012",0.719
"Dec 24, 2012",0.673
"Jan 9, 2013",0.638
"Jan 25, 2013",0.647
"Feb 10, 2013",0.639
"Feb 26, 2013",0.548
"Mar 14, 2013",0.491
"May 17, 2013",0.272
"Jun 2, 2013",0.218
"Oct 24, 2013",0.516
"Nov 9, 2013",0.575
"Nov 25, 2013",0.394
"Dec 11, 2013",0.502
"Dec 27, 2013",0.483
"Jan 12, 2014",0.427
"Jan 28, 2014",0.591
"Feb 6, 2014",0.131
"Feb 13, 2014",0.236
"Mar 1, 2014",0.387
"Mar 17, 2014",0.298
"Apr 2, 2014",0.393
"Apr 18, 2014",0.334
"May 4, 2014",0.247
"May 20, 2014",0.264
"Jun 5, 2014",0.155
"Jun 21, 2014",0.221
"Oct 27, 2014",0.4
"Nov 12, 2014",0.649
"Nov 28, 2014",0.564
"Dec 14, 2014",0.498
"Dec 30, 2014",0.537
"Jan 15, 2015",0.453
"Jan 31, 2015",0.547
"Feb 16, 2015",0.461
"Mar 4, 2015",0.537
"Mar 20, 2015",0.42
"Apr 21, 2015",0.264
"May 7, 2015",0.28
"Jul 10, 2015",0.266
"Aug 11, 2015",0.676
"Sep 12, 2015",0.576
"Sep 28, 2015",0.499
"Oct 14, 2015",0.687
"Oct 30, 2015",0.391
"Nov 15, 2015",0.625
"Dec 1, 2015",0.598
"Dec 17, 2015",0.465
"Jan 2, 2016",0.353
"Jan 18, 2016",0.542
"Feb 3, 2016",0.615
"Feb 19, 2016",0.523
"Mar 6, 2016",0.192
"Mar 22, 2016",0.449
"Apr 7, 2016",0.568
"Apr 23, 2016",0.438
"May 9, 2016",0.286
"May 25, 2016",0.221
"Aug 13, 2016",0.335
"Sep 14, 2016",0.523
"Sep 30, 2016",0.503
"Oct 16, 2016",0.627
"Nov 1, 2016",0.617
"Nov 17, 2016",0.715
"Dec 3, 2016",0.667
"Dec 19, 2016",0.673
"Jan 4, 2017",0.696
"Jan 20, 2017",0.281
"Feb 5, 2017",0.683
"Feb 21, 2017",0.623
"Mar 9, 2017",0.562
"Mar 25, 2017",0.593
"Apr 10, 2017",0.49
"Apr 26, 2017",0.513
"May 12, 2017",0.473
"May 28, 2017",0.257
"Jun 13, 2017",0.351
"Sep 1, 2017",0.349
"Oct 3, 2017",0.482
"Oct 19, 2017",0.553
"Nov 4, 2017",0.563
"Nov 13, 2017",0.607
"Nov 20, 2017",0.73
"Nov 29, 2017",0.845
"Dec 15, 2017",0.651
"Dec 22, 2017",0.343
"Jan 7, 2018",0.696
"Jan 23, 2018",0.545
"Feb 8, 2018",0.643
"Feb 24, 2018",0.725
"Mar 12, 2018",0.785
"Mar 28, 2018",0.577
"Apr 13, 2018",0.461
"Apr 29, 2018",0.403
"May 15, 2018",0.389
"May 31, 2018",0.227
"Jun 16, 2018",0.319
"Jul 2, 2018",0.385
"Sep 4, 2018",0.21
"Sep 20, 2018",0.465
"Oct 6, 2018",0.682
"Oct 22, 2018",0.637
"Nov 7, 2018",0.64
"Nov 23, 2018",0.66
"Dec 25, 2018",0.698
"Jan 10, 2019",0.373
"Jan 26, 2019",0.701
"Feb 11, 2019",0.36
"Feb 27, 2019",0.51
"Mar 15, 2019",0.564
"Mar 31, 2019",0.495
"Apr 16, 2019",0.543
"May 2, 2019",0.491
"May 18, 2019",0.474
"Jun 3, 2019",0.473
"Jul 5, 2019",0.307
"Aug 22, 2019",0.318
"Sep 23, 2019",0.324
"Oct 9, 2019",0.573
"Oct 25, 2019",0.299
"Nov 10, 2019",0.311
"Nov 26, 2019",0.685
"Dec 12, 2019",0.556
"Dec 28, 2019",0.516
