system:time_start,Padara lake Padara Vadodara
"Jan 6, 2011",0.718
"Jan 22, 2011",0.702
"Apr 28, 2011",0.467
"May 14, 2011",0.343
"Oct 21, 2011",0.476
"Nov 6, 2011",0.538
"Nov 22, 2011",0.446
"Dec 8, 2011",0.401
"Dec 24, 2011",0.482
"Jan 9, 2012",0.495
"Jan 25, 2012",0.555
"Feb 10, 2012",0.594
"Feb 26, 2012",0.58
"Mar 13, 2012",0.469
"Mar 29, 2012",0.408
"Apr 14, 2012",0.396
"Apr 30, 2012",0.404
"Jun 1, 2012",0.057
"Sep 21, 2012",0.48
"Oct 7, 2012",0.354
"Oct 23, 2012",0.546
"Nov 8, 2012",0.615
"Nov 24, 2012",0.607
"Dec 10, 2012",0.589
"Dec 26, 2012",0.599
"Jan 11, 2013",0.571
"Feb 12, 2013",0.627
"Feb 28, 2013",0.606
"Mar 16, 2013",0.541
"Apr 1, 2013",0.611
"Apr 17, 2013",0.577
"May 3, 2013",0.613
"May 19, 2013",0.549
"Jun 4, 2013",0.129
"Sep 8, 2013",0.526
"Oct 26, 2013",0.621
"Nov 11, 2013",0.631
"Nov 27, 2013",0.394
"Dec 13, 2013",0.59
"Dec 29, 2013",0.609
"Jan 14, 2014",0.593
"Jan 30, 2014",0.441
"Mar 3, 2014",0.404
"Mar 19, 2014",0.526
"Apr 4, 2014",0.42
"Apr 20, 2014",0.501
"May 6, 2014",0.446
"May 22, 2014",0.571
"Jun 7, 2014",0.288
"Jun 23, 2014",0.231
"Oct 13, 2014",0.488
"Oct 29, 2014",0.547
"Nov 14, 2014",0.384
"Nov 30, 2014",0.585
"Jan 1, 2015",0.618
"Jan 17, 2015",0.591
"Feb 2, 2015",0.654
"Feb 18, 2015",0.534
"Mar 6, 2015",0.562
"Mar 22, 2015",0.62
"Apr 7, 2015",0.344
"Apr 23, 2015",0.478
"May 9, 2015",0.478
"May 25, 2015",0.408
"Sep 14, 2015",0.554
"Oct 16, 2015",0.529
"Nov 1, 2015",0.613
"Nov 17, 2015",0.554
"Dec 3, 2015",0.579
"Jan 4, 2016",0.547
"Jan 20, 2016",0.6
"Feb 5, 2016",0.606
"Feb 21, 2016",0.294
"Mar 8, 2016",0.601
"Mar 24, 2016",0.547
"Apr 9, 2016",0.589
"Apr 25, 2016",0.368
"May 11, 2016",0.418
"May 27, 2016",0.147
"Oct 18, 2016",0.556
"Nov 3, 2016",0.591
"Nov 19, 2016",0.537
"Dec 5, 2016",0.621
"Dec 21, 2016",0.591
"Jan 6, 2017",0.575
"Jan 22, 2017",0.572
"Feb 7, 2017",0.602
"Feb 23, 2017",0.493
"Mar 11, 2017",0.455
"Mar 27, 2017",0.399
"Apr 12, 2017",0.436
"Apr 28, 2017",0.401
"May 14, 2017",0.404
"May 30, 2017",0.253
"Jun 15, 2017",0.407
"Sep 19, 2017",0.24
"Oct 5, 2017",0.422
"Oct 21, 2017",0.557
"Nov 6, 2017",0.629
"Nov 22, 2017",0.558
"Dec 8, 2017",0.605
"Dec 24, 2017",0.591
"Jan 9, 2018",0.594
"Jan 25, 2018",0.522
"Feb 10, 2018",0.553
"Feb 26, 2018",0.5
"Mar 14, 2018",0.583
"Mar 30, 2018",0.441
"Apr 15, 2018",0.45
"May 1, 2018",0.408
"May 17, 2018",0.406
"Jun 2, 2018",0.325
"Jun 18, 2018",0.356
"Oct 8, 2018",0.492
"Oct 24, 2018",0.529
"Nov 9, 2018",0.625
"Nov 25, 2018",0.62
"Dec 11, 2018",0.578
"Dec 27, 2018",0.444
"Jan 12, 2019",0.457
"Jan 28, 2019",0.448
"Feb 13, 2019",0.227
"Mar 1, 2019",0.523
"Mar 17, 2019",0.451
"Apr 2, 2019",0.452
"Apr 18, 2019",0.481
"May 4, 2019",0.434
"May 20, 2019",0.486
"Jun 5, 2019",0.446
"Aug 24, 2019",0.473
"Sep 25, 2019",0.396
"Oct 11, 2019",0.592
"Nov 12, 2019",0.658
"Nov 28, 2019",0.632
"Dec 14, 2019",0.608
"Dec 30, 2019",0.556
