system:time_start,Ranmal talav Jamnagar
"Mar 25, 2011",0.302
"Mar 25, 2011",0.303
"Apr 10, 2011",0.27
"Apr 10, 2011",0.265
"Apr 26, 2011",0.267
"Apr 26, 2011",0.264
"May 12, 2011",0.236
"May 12, 2011",0.236
"Sep 1, 2011",0.314
"Oct 3, 2011",0.404
"Oct 3, 2011",0.402
"Oct 19, 2011",0.449
"Oct 19, 2011",0.449
"Nov 4, 2011",0.523
"Nov 20, 2011",0.474
"Nov 20, 2011",0.479
"Dec 6, 2011",0.41
"Dec 6, 2011",0.415
"Dec 22, 2011",0.465
"Dec 22, 2011",0.463
"Jan 7, 2012",0.414
"Jan 7, 2012",0.418
"Jan 23, 2012",0.405
"Jan 23, 2012",0.409
"Feb 8, 2012",0.441
"Feb 8, 2012",0.449
"Feb 24, 2012",0.307
"Feb 24, 2012",0.309
"Mar 11, 2012",0.301
"Mar 11, 2012",0.299
"Mar 27, 2012",0.267
"Mar 27, 2012",0.264
"Apr 12, 2012",0.361
"Apr 28, 2012",0.271
"Apr 28, 2012",0.274
"May 14, 2012",0.244
"May 14, 2012",0.246
"May 30, 2012",0.238
"May 30, 2012",0.236
"Jun 15, 2012",0.244
"Jul 1, 2012",0.252
"Jul 17, 2012",0.245
"Sep 19, 2012",0.29
"Sep 19, 2012",0.294
"Oct 5, 2012",0.443
"Oct 5, 2012",0.445
"Oct 21, 2012",0.382
"Oct 21, 2012",0.38
"Nov 6, 2012",0.52
"Nov 6, 2012",0.522
"Nov 22, 2012",0.414
"Nov 22, 2012",0.413
"Dec 8, 2012",0.437
"Dec 8, 2012",0.437
"Dec 24, 2012",0.407
"Jan 9, 2013",0.368
"Jan 9, 2013",0.368
"Jan 25, 2013",0.374
"Jan 25, 2013",0.382
"Feb 10, 2013",0.339
"Feb 10, 2013",0.336
"Feb 26, 2013",0.27
"Feb 26, 2013",0.273
"Mar 14, 2013",0.265
"Mar 14, 2013",0.275
"Apr 15, 2013",0.194
"May 1, 2013",0.177
"May 17, 2013",0.124
"May 17, 2013",0.125
"Jun 2, 2013",0.151
"Jun 2, 2013",0.154
"Aug 5, 2013",0.256
"Aug 21, 2013",0.147
"Sep 6, 2013",0.347
"Oct 8, 2013",0.172
"Oct 24, 2013",0.378
"Oct 24, 2013",0.373
"Nov 9, 2013",0.535
"Nov 9, 2013",0.535
"Nov 25, 2013",0.274
"Nov 25, 2013",0.275
"Dec 11, 2013",0.467
"Dec 11, 2013",0.471
"Dec 27, 2013",0.405
"Dec 27, 2013",0.407
"Jan 12, 2014",0.412
"Jan 12, 2014",0.412
"Jan 28, 2014",0.549
"Jan 28, 2014",0.528
"Feb 13, 2014",0.472
"Feb 13, 2014",0.473
"Mar 1, 2014",0.316
"Mar 1, 2014",0.321
"Mar 17, 2014",0.37
"Mar 17, 2014",0.368
"Apr 2, 2014",0.294
"Apr 2, 2014",0.296
"Apr 18, 2014",0.285
"Apr 18, 2014",0.282
"May 4, 2014",0.245
"May 4, 2014",0.244
"May 20, 2014",0.279
"May 20, 2014",0.278
"Jun 5, 2014",0.196
"Jun 5, 2014",0.196
"Jun 21, 2014",0.217
"Jun 21, 2014",0.215
"Oct 27, 2014",0.221
"Oct 27, 2014",0.221
"Nov 12, 2014",0.433
"Nov 12, 2014",0.431
"Nov 28, 2014",0.147
"Nov 28, 2014",0.148
"Dec 14, 2014",0.403
"Dec 14, 2014",0.412
"Dec 30, 2014",0.448
"Dec 30, 2014",0.447
"Jan 15, 2015",0.365
"Jan 15, 2015",0.364
"Jan 31, 2015",0.39
"Jan 31, 2015",0.395
"Feb 16, 2015",0.328
"Feb 16, 2015",0.326
"Mar 4, 2015",0.311
"Mar 4, 2015",0.315
"Mar 20, 2015",0.293
"Mar 20, 2015",0.296
"Apr 5, 2015",0.074
"Apr 21, 2015",0.219
"Apr 21, 2015",0.225
"May 7, 2015",0.246
"May 7, 2015",0.25
"May 23, 2015",0.187
"Jul 10, 2015",0.257
"Jul 10, 2015",0.253
"Aug 11, 2015",0.429
"Sep 12, 2015",0.379
"Sep 12, 2015",0.378
"Sep 28, 2015",0.362
"Sep 28, 2015",0.356
"Oct 14, 2015",0.407
"Oct 14, 2015",0.407
"Oct 30, 2015",0.335
"Oct 30, 2015",0.331
"Nov 15, 2015",0.404
"Nov 15, 2015",0.41
"Dec 1, 2015",0.433
"Dec 1, 2015",0.437
"Dec 17, 2015",0.36
"Dec 17, 2015",0.363
"Jan 2, 2016",0.38
"Jan 2, 2016",0.381
"Jan 18, 2016",0.351
"Jan 18, 2016",0.357
"Feb 3, 2016",0.355
"Feb 3, 2016",0.359
"Feb 19, 2016",0.423
"Feb 19, 2016",0.424
"Mar 6, 2016",0.27
"Mar 6, 2016",0.264
"Mar 22, 2016",0.221
"Mar 22, 2016",0.222
"Apr 7, 2016",0.215
"Apr 7, 2016",0.207
"Apr 23, 2016",0.185
"Apr 23, 2016",0.186
"May 9, 2016",0.174
"May 9, 2016",0.063
"May 25, 2016",0.171
"May 25, 2016",0.172
"Jun 26, 2016",0.148
"Aug 13, 2016",0.328
"Aug 13, 2016",0.328
"Sep 14, 2016",0.285
"Sep 14, 2016",0.286
"Sep 30, 2016",0.264
"Sep 30, 2016",0.255
"Oct 16, 2016",0.431
"Oct 16, 2016",0.432
"Nov 1, 2016",0.501
"Nov 1, 2016",0.501
"Nov 17, 2016",0.416
"Nov 17, 2016",0.415
"Dec 3, 2016",0.476
"Dec 3, 2016",0.479
"Dec 19, 2016",0.439
"Dec 19, 2016",0.439
"Jan 4, 2017",0.468
"Jan 4, 2017",0.461
"Jan 20, 2017",0.429
"Jan 20, 2017",0.431
"Feb 5, 2017",0.246
"Feb 5, 2017",0.249
"Feb 21, 2017",0.233
"Feb 21, 2017",0.229
"Mar 9, 2017",0.284
"Mar 9, 2017",0.285
"Mar 25, 2017",0.266
"Mar 25, 2017",0.273
"Apr 10, 2017",0.272
"Apr 10, 2017",0.277
"Apr 26, 2017",0.29
"Apr 26, 2017",0.289
"May 12, 2017",0.277
"May 12, 2017",0.271
"May 28, 2017",0.22
"May 28, 2017",0.221
"Jun 13, 2017",0.258
"Jun 13, 2017",0.263
"Aug 16, 2017",0.275
"Sep 1, 2017",0.334
"Sep 17, 2017",0.369
"Oct 3, 2017",0.447
"Oct 3, 2017",0.443
"Oct 19, 2017",0.369
"Oct 19, 2017",0.369
"Nov 4, 2017",0.381
"Nov 4, 2017",0.38
"Nov 20, 2017",0.561
"Nov 20, 2017",0.562
"Dec 22, 2017",0.057
"Dec 22, 2017",0.06
"Jan 7, 2018",0.438
"Jan 7, 2018",0.437
"Jan 23, 2018",0.254
"Jan 23, 2018",0.256
"Feb 8, 2018",0.386
"Feb 8, 2018",0.382
"Feb 24, 2018",0.338
"Feb 24, 2018",0.334
"Mar 12, 2018",0.416
"Mar 12, 2018",0.409
"Mar 28, 2018",0.297
"Mar 28, 2018",0.295
"Apr 13, 2018",0.234
"Apr 13, 2018",0.233
"Apr 29, 2018",0.239
"Apr 29, 2018",0.239
"May 15, 2018",0.214
"May 15, 2018",0.213
"May 31, 2018",0.242
"May 31, 2018",0.241
"Jun 16, 2018",0.284
