system:time_start,Shree Sayaji Sarovar AjwaVadodara
"Jan 6, 2011",0.616
"Jan 6, 2011",0.614
"Jan 22, 2011",0.581
"Jan 22, 2011",0.581
"Mar 27, 2011",0.469
"Apr 28, 2011",0.274
"May 14, 2011",0.281
"May 14, 2011",0.281
"May 30, 2011",0.273
"Oct 21, 2011",0.622
"Oct 21, 2011",0.622
"Nov 6, 2011",0.659
"Nov 6, 2011",0.66
"Nov 22, 2011",0.64
"Nov 22, 2011",0.641
"Dec 8, 2011",0.682
"Dec 8, 2011",0.681
"Dec 24, 2011",0.692
"Dec 24, 2011",0.692
"Jan 9, 2012",0.639
"Jan 9, 2012",0.64
"Jan 25, 2012",0.438
"Jan 25, 2012",0.438
"Feb 10, 2012",0.592
"Feb 10, 2012",0.594
"Feb 26, 2012",0.581
"Feb 26, 2012",0.58
"Mar 13, 2012",0.444
"Mar 13, 2012",0.445
"Mar 29, 2012",0.379
"Mar 29, 2012",0.38
"Apr 14, 2012",0.368
"Apr 14, 2012",0.372
"Apr 30, 2012",0.242
"Apr 30, 2012",0.242
"Jun 1, 2012",0.199
"Jun 1, 2012",0.195
"Jul 3, 2012",0.574
"Sep 21, 2012",0.432
"Sep 21, 2012",0.425
"Oct 7, 2012",0.577
"Oct 7, 2012",0.578
"Oct 23, 2012",0.539
"Oct 23, 2012",0.539
"Nov 8, 2012",0.716
"Nov 8, 2012",0.716
"Nov 24, 2012",0.447
"Nov 24, 2012",0.447
"Dec 10, 2012",0.632
"Dec 10, 2012",0.631
"Dec 26, 2012",0.598
"Dec 26, 2012",0.556
"Jan 11, 2013",0.538
"Jan 11, 2013",0.539
"Feb 12, 2013",0.653
"Feb 12, 2013",0.653
"Feb 28, 2013",0.572
"Feb 28, 2013",0.571
"Mar 16, 2013",0.437
"Mar 16, 2013",0.438
"Apr 1, 2013",0.4
"Apr 1, 2013",0.4
"Apr 17, 2013",0.284
"Apr 17, 2013",0.283
"May 3, 2013",0.214
"May 3, 2013",0.212
"May 19, 2013",0.325
"Jun 4, 2013",0.286
"Jun 4, 2013",0.285
"Sep 8, 2013",0.504
"Sep 8, 2013",0.502
"Oct 26, 2013",0.724
"Oct 26, 2013",0.725
"Nov 11, 2013",0.713
"Nov 11, 2013",0.714
"Nov 27, 2013",0.593
"Nov 27, 2013",0.594
"Dec 13, 2013",0.574
"Dec 13, 2013",0.577
"Dec 29, 2013",0.661
"Dec 29, 2013",0.661
"Jan 14, 2014",0.682
"Jan 14, 2014",0.681
"Jan 30, 2014",0.604
"Jan 30, 2014",0.608
"Mar 3, 2014",0.466
"Mar 3, 2014",0.465
"Mar 19, 2014",0.472
"Mar 19, 2014",0.472
"Apr 4, 2014",0.387
"Apr 4, 2014",0.389
"Apr 20, 2014",0.35
"Apr 20, 2014",0.346
"May 6, 2014",0.279
"May 6, 2014",0.28
"May 22, 2014",0.217
"May 22, 2014",0.217
"Jun 7, 2014",0.212
"Jun 7, 2014",0.21
"Jun 23, 2014",0.212
"Oct 13, 2014",0.51
"Oct 13, 2014",0.509
"Oct 29, 2014",0.295
"Oct 29, 2014",0.295
"Nov 14, 2014",0.501
"Nov 14, 2014",0.507
"Nov 30, 2014",0.65
"Nov 30, 2014",0.651
"Dec 16, 2014",0.663
"Jan 1, 2015",0.34
"Jan 17, 2015",0.643
"Jan 17, 2015",0.642
"Feb 2, 2015",0.617
"Feb 2, 2015",0.618
"Feb 18, 2015",0.412
"Feb 18, 2015",0.412
"Mar 6, 2015",0.492
"Mar 6, 2015",0.491
"Mar 22, 2015",0.535
"Mar 22, 2015",0.535
"Apr 7, 2015",0.279
"Apr 7, 2015",0.28
"Apr 23, 2015",0.255
"Apr 23, 2015",0.264
"May 9, 2015",0.374
"May 9, 2015",0.372
"May 25, 2015",0.203
"May 25, 2015",0.198
"Sep 14, 2015",0.47
"Sep 14, 2015",0.471
"Oct 16, 2015",0.548
"Oct 16, 2015",0.545
"Nov 1, 2015",0.671
"Nov 1, 2015",0.67
"Nov 17, 2015",0.677
"Nov 17, 2015",0.677
"Dec 3, 2015",0.64
"Dec 3, 2015",0.643
"Dec 19, 2015",0.616
"Jan 4, 2016",0.628
"Jan 4, 2016",0.628
"Jan 20, 2016",0.648
"Jan 20, 2016",0.648
"Feb 5, 2016",0.586
"Feb 5, 2016",0.586
"Feb 21, 2016",0.358
"Feb 21, 2016",0.358
"Mar 8, 2016",0.498
"Mar 8, 2016",0.499
"Mar 24, 2016",0.446
"Mar 24, 2016",0.448
"Apr 9, 2016",0.36
"Apr 9, 2016",0.362
"Apr 25, 2016",0.198
"May 11, 2016",0.301
"May 11, 2016",0.307
"May 27, 2016",0.236
"Oct 18, 2016",0.59
"Oct 18, 2016",0.589
"Nov 3, 2016",0.703
"Nov 3, 2016",0.706
"Nov 19, 2016",0.6
"Nov 19, 2016",0.6
"Dec 5, 2016",0.67
"Dec 5, 2016",0.67
"Dec 21, 2016",0.605
"Dec 21, 2016",0.605
"Jan 6, 2017",0.62
"Jan 6, 2017",0.62
"Jan 22, 2017",0.671
"Jan 22, 2017",0.671
"Feb 7, 2017",0.536
"Feb 7, 2017",0.535
"Feb 23, 2017",0.491
"Feb 23, 2017",0.489
"Mar 11, 2017",0.288
"Mar 11, 2017",0.285
"Mar 27, 2017",0.403
"Mar 27, 2017",0.405
"Apr 12, 2017",0.366
"Apr 12, 2017",0.366
"Apr 28, 2017",0.375
"Apr 28, 2017",0.382
"May 14, 2017",0.181
"May 14, 2017",0.182
"May 30, 2017",0.337
"Jun 15, 2017",0.126
"Jun 15, 2017",0.126
"Sep 19, 2017",0.615
"Sep 19, 2017",0.614
"Oct 5, 2017",0.454
"Oct 5, 2017",0.454
"Oct 21, 2017",0.651
"Oct 21, 2017",0.651
"Nov 6, 2017",0.702
"Nov 6, 2017",0.702
"Nov 22, 2017",0.718
"Nov 22, 2017",0.718
"Dec 8, 2017",0.696
"Dec 8, 2017",0.695
"Dec 24, 2017",0.702
"Dec 24, 2017",0.704
"Jan 9, 2018",0.688
"Jan 9, 2018",0.688
"Jan 25, 2018",0.57
"Jan 25, 2018",0.57
"Feb 10, 2018",0.583
"Feb 26, 2018",0.528
"Feb 26, 2018",0.526
"Mar 14, 2018",0.645
"Mar 14, 2018",0.645
"Mar 30, 2018",0.388
"Mar 30, 2018",0.387
"Apr 15, 2018",0.152
"Apr 15, 2018",0.153
"May 1, 2018",0.284
"May 1, 2018",0.285
"May 17, 2018",0.372
"May 17, 2018",0.368
"Jun 2, 2018",0.294
"Jun 2, 2018",0.295
"Jun 18, 2018",0.283
"Oct 8, 2018",0.352
"Oct 8, 2018",0.352
"Oct 24, 2018",0.524
"Oct 24, 2018",0.526
"Nov 9, 2018",0.717
"Nov 9, 2018",0.717
"Nov 25, 2018",0.694
"Nov 25, 2018",0.695
"Dec 11, 2018",0.63
"Dec 11, 2018",0.632
"Dec 27, 2018",0.562
"Dec 27, 2018",0.562
"Jan 12, 2019",0.616
"Jan 12, 2019",0.619
"Jan 28, 2019",0.63
"Jan 28, 2019",0.631
"Feb 13, 2019",0.427
"Feb 13, 2019",0.409
"Mar 1, 2019",0.46
"Mar 1, 2019",0.462
"Mar 17, 2019",0.42
"Mar 17, 2019",0.415
"Apr 2, 2019",0.394
"Apr 2, 2019",0.396
"Apr 18, 2019",0.339
"Apr 18, 2019",0.339
"May 4, 2019",0.24
"May 4, 2019",0.242
"May 20, 2019",0.317
"May 20, 2019",0.317
"Jun 5, 2019",0.247
"Jun 5, 2019",0.241
"Jul 23, 2019",0.579
"Aug 24, 2019",0.373
"Aug 24, 2019",0.373
"Sep 25, 2019",0.672
"Oct 11, 2019",0.705
"Oct 11, 2019",0.704
"Nov 12, 2019",0.766
"Nov 12, 2019",0.768
"Nov 28, 2019",0.745
"Nov 28, 2019",0.746
"Dec 14, 2019",0.622
"Dec 14, 2019",0.622
"Dec 30, 2019",0.709
"Dec 30, 2019",0.71
