system:time_start,Thol Tank Kadi
"Jan 13, 2011",0.647
"Jan 29, 2011",0.631
"Feb 14, 2011",0.597
"Mar 2, 2011",0.418
"Apr 3, 2011",0.256
"Apr 19, 2011",0.228
"May 5, 2011",0.241
"Sep 26, 2011",0.139
"Oct 28, 2011",0.643
"Nov 13, 2011",0.632
"Dec 15, 2011",0.493
"Dec 31, 2011",0.664
"Jan 16, 2012",0.54
"Feb 1, 2012",0.626
"Feb 17, 2012",0.528
"Mar 4, 2012",0.464
"Mar 20, 2012",0.276
"Apr 5, 2012",0.377
"Apr 21, 2012",0.461
"Apr 30, 2012",0.387
"May 7, 2012",0.358
"May 23, 2012",0.315
"Jun 1, 2012",0.304
"Jun 8, 2012",0.218
"Jun 24, 2012",0.226
"Sep 28, 2012",0.619
"Oct 14, 2012",0.614
"Oct 30, 2012",0.641
"Nov 15, 2012",0.689
"Dec 1, 2012",0.611
"Dec 17, 2012",0.605
"Jan 2, 2013",0.66
"Jan 18, 2013",0.607
"Feb 3, 2013",0.543
"Feb 19, 2013",0.636
"Mar 7, 2013",0.487
"Mar 23, 2013",0.426
"Apr 8, 2013",0.349
"Sep 15, 2013",0.499
"Oct 17, 2013",0.665
"Nov 2, 2013",0.654
"Nov 18, 2013",0.712
"Dec 4, 2013",0.692
"Dec 20, 2013",0.639
"Jan 5, 2014",0.662
"Jan 14, 2014",
"Jan 21, 2014",0.196
"Jan 30, 2014",0.656
"Feb 6, 2014",0.651
"Feb 22, 2014",0.575
"Mar 10, 2014",0.636
"Mar 26, 2014",0.502
"Apr 11, 2014",0.43
"Apr 27, 2014",0.398
"May 13, 2014",0.417
"May 29, 2014",0.34
"Jun 30, 2014",0.286
"Nov 5, 2014",0.688
"Nov 21, 2014",0.527
"Dec 7, 2014",0.622
"Dec 23, 2014",0.655
"Jan 8, 2015",0.576
"Jan 24, 2015",0.572
"Feb 9, 2015",0.566
"Feb 25, 2015",0.457
"Mar 13, 2015",0.531
"Apr 14, 2015",0.39
"Apr 30, 2015",0.308
"May 16, 2015",0.254
"Jun 1, 2015",0.198
"Sep 5, 2015",0.396
"Oct 7, 2015",0.594
"Oct 23, 2015",0.619
"Nov 8, 2015",0.68
"Dec 10, 2015",0.643
"Dec 26, 2015",0.596
"Jan 11, 2016",0.638
"Jan 27, 2016",0.588
"Feb 12, 2016",0.398
"Feb 28, 2016",0.475
"Mar 15, 2016",0.255
"Mar 31, 2016",0.267
"Apr 16, 2016",0.326
"May 2, 2016",0.272
"May 18, 2016",0.218
"Jun 19, 2016",0.194
"Sep 23, 2016",0.47
"Oct 9, 2016",0.423
"Oct 18, 2016",0.728
"Oct 25, 2016",0.521
"Nov 10, 2016",0.679
"Nov 26, 2016",0.694
"Dec 12, 2016",0.625
"Dec 21, 2016",
"Dec 28, 2016",0.646
"Jan 13, 2017",0.581
"Jan 29, 2017",0.573
"Feb 14, 2017",0.448
"Mar 2, 2017",0.393
"Mar 18, 2017",0.345
"Apr 3, 2017",0.396
"Apr 19, 2017",0.331
"May 5, 2017",0.274
"May 21, 2017",0.25
"Jun 6, 2017",0.213
"Jun 15, 2017",0.336
"Jul 8, 2017",0.345
"Sep 10, 2017",0.482
"Sep 26, 2017",0.615
"Oct 5, 2017",0.582
"Oct 21, 2017",0.632
"Oct 28, 2017",0.563
"Nov 6, 2017",0.671
"Nov 13, 2017",0.64
"Nov 22, 2017",0.679
"Nov 29, 2017",0.659
"Dec 8, 2017",0.671
"Dec 15, 2017",0.656
"Dec 24, 2017",0.667
"Dec 31, 2017",0.662
"Jan 9, 2018",0.63
"Jan 16, 2018",0.678
"Feb 1, 2018",0.582
"Feb 17, 2018",0.491
"Mar 5, 2018",0.456
"Mar 21, 2018",0.39
"Apr 6, 2018",0.309
"Apr 22, 2018",0.259
"May 24, 2018",0.176
"Sep 29, 2018",0.358
"Oct 15, 2018",0.331
"Oct 31, 2018",0.357
"Nov 9, 2018",0.122
"Nov 16, 2018",0.328
"Nov 25, 2018",0.167
"Dec 2, 2018",0.249
"Dec 11, 2018",0.152
"Dec 18, 2018",0.245
"Dec 27, 2018",0.126
"Jan 3, 2019",0.186
"Jan 12, 2019",0.13
"Jan 19, 2019",0.164
"Feb 4, 2019",0.265
"Feb 13, 2019",
"Feb 20, 2019",0.142
"Mar 1, 2019",0.037
"Mar 8, 2019",0.124
"Mar 17, 2019",0.062
"Mar 24, 2019",0.098
"Apr 2, 2019",0.059
"Apr 9, 2019",0.073
"Apr 18, 2019",0.052
"Apr 25, 2019",0.046
"May 4, 2019",0.055
"May 11, 2019",0.057
"May 20, 2019",0.06
"May 27, 2019",0.037
"Jun 5, 2019",0.056
"Jun 28, 2019",0.446
"Jul 23, 2019",0.156
"Aug 24, 2019",0.466
"Aug 31, 2019",0.542
"Oct 11, 2019",0.678
"Oct 18, 2019",0.65
"Nov 12, 2019",0.726
"Nov 19, 2019",0.736
"Nov 28, 2019",0.704
"Dec 5, 2019",0.364
"Dec 14, 2019",0.701
"Dec 21, 2019",0.683
"Dec 30, 2019",0.654
