Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,921.6818182,1078.176409,1139.707227,1579.145909,1443.995591,3000.454182,1183.577364
Jan,798.778,944.649,978.750,1362.224,1182.681,2941.678,979.493,,,2012,1217.6215,1404.805294,1511.845147,1984.263618,1872.500235,2986.729147,1544.319206
Feb,1286.545,1393.998,1417.694,1689.915,1469.546,2933.659,1205.692,,,2013,1152.127444,1266.904296,1349.744593,1805.046074,1586.736333,2964.947889,1315.182259
Mar,897.775,1081.292,1196.548,1644.116,1538.908,3004.896,1293.102,,,2014,1212.846793,1393.451103,1457.568586,1999.130138,1720.607379,2978.479069,1446.945069
Apr,885.290,1134.901,1222.781,1879.970,1650.858,3070.037,1365.154,,,2015,1009.667067,1225.129467,1296.539,1890.741,1633.810767,3010.953367,1347.2165
May,1014.335,1294.944,1383.770,1971.155,1719.411,3050.233,1412.494,,,2016,1048.303,1241.223867,1308.9796,1932.225867,1561.4592,2984.166967,1281.6422
Jun,9364.587,3233.184,3337.250,3899.684,2030.042,2704.821,1733.087,,,2017,1215.001914,1358.207257,1488.732571,1999.902371,1702.6718,2998.790343,1390.791
Jul,1366.930,1546.380,1471.465,2260.596,1537.160,2952.897,1087.577,,,2018,1034.698276,1230.188655,1295.029034,1810.820172,1567.200379,3000.925793,1310.821552
Aug,1844.916,1900.464,2042.952,2531.969,2021.130,2915.609,1510.309,,,2019,1556.893515,1343.395667,1389.171667,1906.747939,1511.804545,2966.111758,1219.121303
Oct,834.724,1027.306,1043.512,1873.062,1430.836,3029.248,1101.953,,,,,,,,,,
Nov,1141.644,1226.847,1166.689,1664.367,1151.286,2983.205,833.048,,,,,,,,,,
Dec,1063.206,1194.522,1160.808,1639.987,1289.612,2902.869,1033.885,,,,,,,,,,
