Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,780.8016154,908.3153077,975.9762308,1415.601385,1265.916077,2987.999231,929.4458462
Jan,869.569,1178.862,1442.477,2008.316,2021.362,3017.985,1560.162,,,2012,1082.120563,1339.353938,1565.808125,2110.297188,2040.1895,3040.164188,1576.980188
Feb,1157.078,1336.180,1545.875,2028.945,1898.672,2951.266,1488.235,,,2013,843.7002857,1065.855929,1181.177143,1599.061143,1427.622071,3031.177286,1118.807429
Mar,1000.515,1280.725,1645.187,2178.773,2234.471,3069.318,1755.862,,,2014,933.3874118,1098.292412,1118.909647,1459.979471,1289.376588,2978.992294,961.7151176
Apr,987.618,1374.071,1764.298,2249.344,2376.280,3164.688,1932.697,,,2015,1507.648467,1544.156333,1817.616467,1954.867067,1749.108733,2989.483867,1340.3436
May,1002.304,1381.466,1759.405,2267.247,2378.597,3149.730,1891.596,,,2016,1015.107722,1291.136889,1461.248722,2177.192778,1937.026222,3030.837944,1433.993389
Jul,1151.667,1499.841,1653.667,2685.286,1758.032,2989.381,1143.794,,,2017,1379.056421,1594.681316,1863.557368,2408.583368,2270.331053,3029.326684,1742.618474
Aug,1158.938,1275.246,1154.708,2338.031,1270.277,2830.385,760.800,,,2018,1068.2052,1281.649533,1486.348333,2045.9474,1969.679067,3041.6908,1517.021667
Oct,548.868,666.892,558.624,1239.259,729.690,2968.397,421.004,,,2019,1199.186444,1424.883389,1589.349833,2191.200944,1871.401611,2970.022556,1433.313
Nov,2781.099,2893.490,2927.357,3675.887,2562.683,2638.391,2090.855,,,,,,,,,,
Dec,1290.326,1324.722,1256.738,1561.381,1126.706,2860.548,807.111,,,,,,,,,,
Grand Total,1199.186,1424.883,1589.350,2191.201,1871.402,2970.023,1433.313,,,,,,,,,,
,,,,,,,,,2011,Jan,460.943,523.194,508.860,812.475,698.125,2945.944,512.108
,,,,,,,,,,Feb,682.923,808.092,818.046,1268.046,1081.138,2981.123,798.123
,,,,,,,,,,Mar,664.172,732.281,734.500,974.719,847.813,2972.344,622.391
,,,,,,,,,,Apr,751.670,899.316,1035.029,1498.964,1440.941,3038.827,1090.110
,,,,,,,,,,May,1218.228,1389.849,1588.871,2037.212,1964.213,3013.970,1482.660
,,,,,,,,,,Sep,606.636,750.848,663.606,1228.970,826.606,2967.970,503.394
,,,,,,,,,,Oct,668.766,797.250,828.016,1304.219,1039.922,3020.641,731.219
,,,,,,,,,,Nov,750.692,961.508,1099.785,1831.985,1727.354,3032.092,1243.692
,,,,,,,,,,Dec,957.776,1066.702,1139.110,1548.789,1363.761,2936.171,1007.112
,,,,,,,,,2012,Jan,641.156,827.047,953.281,1467.344,1409.156,2971.125,1051.391
,,,,,,,,,,Feb,893.363,1084.190,1242.470,1646.849,1656.005,2983.678,1286.211
,,,,,,,,,,Mar,1222.915,1525.708,1764.907,2249.284,2202.581,3068.962,1739.615
,,,,,,,,,,Apr,884.140,1201.108,1511.235,2016.215,2085.953,3125.124,1660.020
,,,,,,,,,,May,1025.597,1336.284,1649.607,2135.742,2237.252,3088.850,1745.058
,,,,,,,,,,Jun,2155.277,2342.530,2545.628,2994.312,2708.993,2877.261,2014.547
,,,,,,,,,,Sep,684.154,988.692,1092.615,2371.615,1815.769,3063.308,1233.769
,,,,,,,,,,Oct,848.673,1118.209,1350.264,1968.146,1885.840,3101.101,1477.522
,,,,,,,,,,Nov,1066.125,1299.516,1547.078,2125.578,2096.125,3066.016,1642.688
,,,,,,,,,,Dec,862.569,1098.354,1331.738,1779.123,1768.738,3052.231,1457.892
,,,,,,,,,2013,Jan,970.970,1228.485,1490.848,1928.667,1947.667,3006.485,1647.091
,,,,,,,,,,Feb,979.273,1251.849,1528.606,1982.114,2075.485,3057.940,1718.069
,,,,,,,,,,Mar,942.826,1276.440,1618.371,2098.690,2274.182,3139.599,1895.099
,,,,,,,,,,Apr,850.819,1161.046,1481.379,1837.243,1619.106,3086.243,1312.030
,,,,,,,,,,May,1059.818,1423.182,1699.182,2366.727,2164.545,3100.091,1662.364
,,,,,,,,,,Sep,1338.242,1378.333,1223.788,1764.061,1012.212,2912.303,674.909
,,,,,,,,,,Oct,503.531,627.031,526.156,1214.656,773.063,2988.531,467.906
,,,,,,,,,,Nov,612.251,748.845,562.182,736.236,400.715,2975.345,236.188
,,,,,,,,,,Dec,584.453,694.298,607.716,902.092,675.124,2955.411,444.132
,,,,,,,,,2014,Jan,885.284,987.971,886.406,1091.282,718.255,2862.772,516.982
,,,,,,,,,,Feb,605.289,682.472,592.522,775.480,620.377,2957.591,450.356
,,,,,,,,,,Mar,564.508,673.627,551.929,634.843,533.904,2995.022,391.684
,,,,,,,,,,Apr,691.379,892.243,901.985,1226.712,1192.667,3054.334,911.879
,,,,,,,,,,May,915.162,1161.329,1149.822,1393.898,1313.336,3030.817,996.454
,,,,,,,,,,Jun,2270.409,2409.728,2616.667,2845.743,2537.848,2926.258,1968.167
,,,,,,,,,,Oct,670.369,836.385,863.985,1404.954,1130.769,3021.892,771.431
,,,,,,,,,,Nov,835.485,1061.033,1191.176,1903.830,1715.369,2990.055,1245.780
,,,,,,,,,,Dec,831.094,1048.891,1188.235,1835.563,1762.563,2993.641,1307.563
,,,,,,,,,2015,Jan,1218.522,1385.933,1500.375,1963.313,1791.622,2892.126,1369.550
,,,,,,,,,,Feb,881.943,1123.379,1290.308,1753.459,1841.858,3021.766,1422.628
,,,,,,,,,,Apr,954.559,1218.020,1418.604,1892.553,1894.152,3073.755,1471.267
,,,,,,,,,,Jun,1070.000,1443.323,1773.323,2343.154,2453.431,3165.538,2002.569
,,,,,,,,,,Jul,9116.292,6388.554,9265.277,5539.385,4799.831,2903.985,3933.277
,,,,,,,,,,Sep,763.781,1073.344,997.125,1363.828,884.109,2991.594,552.641
,,,,,,,,,,Oct,760.077,976.224,900.875,1307.882,948.687,3014.607,656.627
,,,,,,,,,,Nov,1143.811,1317.788,1334.211,1699.363,1317.938,2940.466,962.148
,,,,,,,,,,Dec,873.417,1107.220,1169.890,1421.750,1255.374,2947.852,926.115
,,,,,,,,,2016,Jan,903.232,1139.267,1282.902,1821.116,1713.777,2993.920,1288.347
,,,,,,,,,,Feb,909.955,1188.008,1351.371,1650.129,1491.492,3009.697,1167.561
,,,,,,,,,,Mar,866.447,1209.469,1468.002,2002.459,1933.627,3093.027,1526.744
,,,,,,,,,,Apr,911.333,1293.714,1609.714,2168.492,2171.270,3159.762,1733.794
,,,,,,,,,,May,1077.290,1447.353,1782.825,2329.013,2333.604,3140.268,1839.617
,,,,,,,,,,Jun,2078.646,2283.446,2498.215,2826.046,2536.754,2869.231,1905.277
,,,,,,,,,,Sep,769.586,1035.282,994.946,2571.251,1521.172,2954.821,858.281
,,,,,,,,,,Oct,1488.606,1674.806,1675.210,2799.237,2190.998,2987.761,1525.708
,,,,,,,,,,Nov,775.991,1024.515,1181.747,1916.198,1816.206,3055.182,1333.544
,,,,,,,,,,Dec,849.875,1112.954,1360.274,2008.065,2078.349,3028.372,1546.605
,,,,,,,,,2017,Jan,793.980,1022.710,1259.894,1825.294,1844.094,3012.710,1427.947
