Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,763.7433043,959.7636522,1052.633957,1707.499478,1486.999478,2999.941783,1048.772652
Jan,1536.846,1724.106,1881.565,2654.919,1962.746,2850.243,1502.122,,,2012,889.5932813,1131.823125,1276.4675,2009.5155,1787.343875,3018.326875,1278.710781
Feb,786.435,993.011,1182.011,2082.333,1898.772,3018.744,1382.152,,,2013,872.3122121,1107.846727,1220.488485,2104.957697,1835.741909,3016.898091,1307.176242
Mar,786.022,1037.099,1272.966,2223.280,2026.056,3071.582,1480.449,,,2014,1584.609758,1714.036636,1941.25803,2357.22797,2090.134303,3018.901061,1512.667182
Apr,882.834,1165.365,1437.147,2210.131,2260.479,3118.032,1699.291,,,2015,836.2683125,1059.073969,1220.700719,2085.135875,1954.130719,3042.753156,1401.682688
May,896.398,1204.891,1492.367,2200.246,2251.499,3127.298,1698.031,,,2016,1051.309054,1269.060351,1459.531405,2340.158108,2131.761027,3018.225486,1559.493865
Jun,1309.135,1601.767,1894.440,2426.092,2535.829,3063.568,2006.019,,,2017,1742.925378,1905.334595,2096.073784,2299.994486,2097.442297,2998.511865,1577.406162
Jul,19431.540,17984.712,19212.493,10686.926,5528.716,2845.270,3698.540,,,2018,1306.14973,1472.333865,1649.797757,2256.74173,1825.867919,3020.618324,1314.285514
Aug,8130.596,7644.909,8016.741,4981.253,4249.249,2640.062,2354.716,,,2019,1875.827205,2024.635308,2188.746436,2500.229179,2054.76341,2976.803564,1455.771256
Sep,1034.447,1194.827,1034.080,1386.770,772.943,2929.906,473.759,,,,,,,,,,
Oct,803.163,1024.615,923.127,1808.903,1225.497,2942.902,791.697,,,,,,,,,,
