Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Jan,1013,1250.75,1436.75,2200,2176,2961.75,1756.75,,,2011,1125.328818,1363.318182,1576.292455,2430.337864,2451.447,3021.447,1966.880273
Feb,1454,1622.555667,1759,2187.889,2111.111,2950.555667,1727.111,,,2012,1354.649029,1619.107853,1840.634324,2683.921559,2666.067147,2998.114706,2158.022559
Mar,1152.75,1444.5,1713.25,2397,2469.75,3029.75,2068.25,,,2013,1806.669148,1960.430222,2210.202481,2714.917296,2530.980852,2970.225926,2015.723444
Apr,1230.25,1590,1873.75,2706.25,2750,3097.25,2311.75,,,2014,1540.025276,1722.627586,1974.763241,2692.094241,2571.59769,3009.089655,2067.740241
May,1224.25,1607.25,1888.75,2845,2818.25,3079.25,2261.75,,,2015,1201.732767,1484.220533,1687.522767,2572.4078,2488.4378,3024.2211,1986.868333
Jun,3053,3313,3551,4237,2620,2730.5,2199.5,,,2016,1645.769433,1648.7639,1945.533333,2722.147233,2590.608333,3003.802767,2084.891667
Jul,2508,2641,2693,3246,2806,2945,2005,,,2017,1214.338114,1480.824771,1683.044771,2492.139543,2448.219057,3016.67,1978.9024
Aug,1414.6665,1669.8335,1750.5,2867.6665,2365.8335,2939.6665,1683.6665,,,2018,1148.540241,1410.675862,1615.023,2427.86669,2378.79769,3026.331034,1938.717241
Oct,1016,1271.5,1425.5,2493.5,2303,3041,1782.5,,,2019,1355.737364,1616.49497,1806.080818,2577.909091,2396.828273,2987.181818,1927.121182
Nov,1334.333333,1498.666667,1608,2374.333333,2247.333333,2992,1761.333333,,,,,,,,,,
Dec,1104.5,1315.25,1425.66675,2087.25,1945.08325,2927.5,1549.83325,,,,,,,,,,
Grand Total,1355.737364,1616.49497,1806.080818,2577.909091,2396.828273,2987.181818,1927.121182,,,,,,,,,,
,,,,,,,,,2011,Jan,1025.9,1238.35,1436.825,2192.80825,2254.14175,2969.375,1858.55825
,,,,,,,,,,Feb,931,1182,1353,2129,2160,3000,1749
,,,,,,,,,,Mar,1122.5,1423.5,1690.5,2565,2689,3066.5,2229
,,,,,,,,,,Apr,1055,1350,1610.5,2554,2569.5,3096,2113
,,,,,,,,,,May,1261.333333,1621.666667,1924.666667,2904.666667,2898,3082.333333,2330.666667
,,,,,,,,,,Sep,1844,2025,2078,3065,2599,2943,1890
,,,,,,,,,,Oct,1100,1262,1440.5,2460.5,2444,3038.5,1875.5
,,,,,,,,,,Nov,1031.322333,1242.089,1456.822333,2312.622333,2372.755667,3031.222333,1890.044333
,,,,,,,,,,Dec,1111.41675,1292.58325,1468.16675,2172.83325,2234.75,2977.16675,1775.25
,,,,,,,,,2012,Jan,1218.055667,1441.722333,1648.722333,2373.444333,2431.111,2948.833333,1966.889
,,,,,,,,,,Feb,1057.5,1326.25,1585.75,2359.75,2558.5,2985.75,2157
,,,,,,,,,,Mar,1328.5,1672.5,1968,2700.25,2862.25,3063.75,2412
,,,,,,,,,,Apr,1193.725,1537.325,1811.7,2755.1,2806.0875,3083.15,2278.375
,,,,,,,,,,May,1205.8,1578.1,1845.2,2704.4,2742.4,3078.2,2200.7
,,,,,,,,,,Jun,2277.666667,2515,2747.333333,3411.333333,3081.666667,2914.333333,2356
,,,,,,,,,,Jul,2952,3007,3255,3997,3875,2751,3483
,,,,,,,,,,Sep,2019,2249,2317,3452,3006,2932.5,2391.5
,,,,,,,,,,Oct,1138.35,1386.5,1560.05,2598.45,2480.45,3029.85,1938.05
,,,,,,,,,,Nov,1099.333333,1291.333333,1450.333333,2298,2239.666667,3004,1756.666667
,,,,,,,,,,Dec,999.75,1238.5,1440.25,2260.25,2297,2978,1831.25
,,,,,,,,,2013,Jan,1059,1297.583333,1505.666667,2296.833333,2309.583333,2954.166667,1871
,,,,,,,,,,Feb,1028.66675,1269.58325,1476.5,2256.5,2304.08325,2995.41675,1856.83325
,,,,,,,,,,Mar,1008.333333,1296.333333,1549.333333,2410.666667,2516.666667,3057.333333,2054
,,,,,,,,,,Apr,2137,2403.333333,2645.666667,3525.333333,2795,2868.666667,2314.333333
,,,,,,,,,,May,1279,1693,1974,3025,3000,3123,2409
,,,,,,,,,,Jun,16907,14732,16615,6706,5225,2742,4208
,,,,,,,,,,Sep,1887.2,2171.6,2299.4,3564.8,3179.2,2909.3,2422.1
,,,,,,,,,,Oct,946,1155,1263.5,2410,2172,3024.5,1624.5
,,,,,,,,,,Nov,1069.25,1275.5,1410.25,2358.25,2210.25,2987.75,1712.75
,,,,,,,,,,Dec,980.75,1170.33325,1327.91675,2116.16675,2122,2972.58325,1679.5
,,,,,,,,,2014,Jan,1417.33325,1583.75,1720.8335,2358.08325,2183.83325,2923.75,1746.91675
,,,,,,,,,,Feb,961,1208.5,1363,2158,2162,3003.5,1711.5
,,,,,,,,,,Mar,1147.5,1444.5,1697.5,2549.5,2640.25,3049.5,2183.5
,,,,,,,,,,Apr,1180,1520.25,1796,2722.5,2804,3097.75,2277
,,,,,,,,,,May,1287.25,1650.75,1922.75,2872,2845.25,3092.25,2292.75
,,,,,,,,,,Jun,5616.5,4821,5803.5,4465.5,3637,2973,2948.5
,,,,,,,,,,Oct,1759,1924.5,2059.5,2951,2664,2941.5,2197.5
,,,,,,,,,,Nov,1237.85,1430.8,1570.2,2513.6,2313.25,2966.9,1778.2
,,,,,,,,,,Dec,969.3333333,1176,1329,2286.333333,2168,2969,1712
,,,,,,,,,2015,Jan,1085.333333,1291.333333,1457,2266,2193.666667,2949,1746
,,,,,,,,,,Feb,1105.75,1351,1543.25,2312.5,2385.5,2994.5,1943
,,,,,,,,,,Mar,1096.666667,1371.333333,1588.333333,2482.333333,2415.333333,3039.333333,1890.333333
,,,,,,,,,,Apr,1333.5,1675.33325,1913,2812.16675,2722.91675,3061.33325,2190.58325
,,,,,,,,,,May,1375.8,1760.4,2053.533333,3049.466667,2960.933333,3108.266667,2425.6
,,,,,,,,,,Jun,1277,1698,1993,2903,2919,3117,2409
,,,,,,,,,,Sep,1614.5,1865.5,1974,2938,2485,2965.5,1824.5
,,,,,,,,,,Oct,1077,1383,1561.666667,2566.333333,2438.333333,3063.333333,1920.333333
,,,,,,,,,,Nov,1224.416667,1463.916667,1653.583333,2534.166667,2482,3030.166667,2003.083333
,,,,,,,,,,Dec,1052.83325,1295.58325,1479.33325,2299.91675,2214.91675,2971.25,1764.41675
,,,,,,,,,2016,Jan,1093.9375,1325.0625,1524,2172.6875,2202.0625,2973.1875,1823.4375
,,,,,,,,,,Feb,1121.5,1396.5,1627.5,2346.5,2400.75,2993.5,1990.25
,,,,,,,,,,Mar,1381,1684.25,1910.25,2892.5,2611.25,3013.75,2124
,,,,,,,,,,Apr,1207.5,1570,1872,2870.5,2862.5,3114.5,2367
