Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,938.39625,1190.335333,1347.922167,2211.547,2187.53825,3007.799917,1696.0445
Jan,886.296,1187.390,1344.374,2072.727,2098.108,2978.720,1727.940,,,2012,1311.066824,1598.691588,1795.795059,2518.706765,2493.390824,3006.699353,1993.915706
Feb,1702.595,1906.774,2078.104,2678.708,2704.066,2950.774,2296.415,,,2013,1093.542538,1342.352538,1484.708231,2232.909385,2087.377923,2955.703846,1652.895385
Mar,1064.706,1379.757,1656.950,2327.727,2558.837,3043.276,2128.572,,,2014,1062.800533,1332.898467,1504.473867,2202.487,2187.505467,3016.427267,1727.4066
Apr,1096.794,1463.344,1686.755,2429.768,2487.605,3092.533,2067.346,,,2015,1236.029467,1484.160267,1686.0028,2546.0684,2476.4356,3025.944933,1925.699933
May,1176.662,1565.019,1788.129,2557.904,2570.314,3086.979,2113.543,,,2016,2141.276059,2435.901294,2591.979294,3446.152941,2472.987059,2990.802,1915.042
Jun,4334.600,4450.200,4614.800,4892.400,2502.800,2413.800,2160.800,,,2017,1655.952944,1852.178056,2064.529167,2776.456111,2579.474667,2970.745,2037.177778
Aug,845.000,1198.000,1149.000,2494.000,1647.000,2949.000,1048.000,,,2018,1031.493,1321.053357,1500.771786,2259.833643,2270.405786,3023.0305,1838.121714
Oct,938.308,1203.212,1281.346,2365.962,2072.519,3018.962,1499.558,,,2019,1320.081,1608.695063,1761.427375,2562.613375,2333.711875,2972.76125,1883.316125
Nov,1004.286,1244.143,1337.071,2392.786,2361.214,3018.857,1863.071,,,,,,,,,,
Dec,1072.500,1319.500,1346.000,2361.500,1959.000,2929.500,1447.000,,,,,,,,,,
Grand Total,1320.081,1608.695,1761.427,2562.613,2333.712,2972.761,1883.316,,,,,,,,,,
,,,,,,,,,2011,Jan,769.580,1010.720,1114.836,2202.000,2077.259,2964.532,1553.900
,,,,,,,,,,Feb,783.600,1056.800,1139.000,2141.600,1992.400,2994.400,1478.200
,,,,,,,,,,Mar,924.788,1172.115,1386.942,2238.462,2256.000,3012.385,1747.981
,,,,,,,,,,Apr,1112.979,1437.323,1752.809,2444.452,2703.000,3105.737,2260.635
,,,,,,,,,,May,1260.000,1579.000,1897.000,2480.000,2770.000,3066.000,2302.000
,,,,,,,,,,Sep,765.250,991.423,1006.635,2279.000,1847.942,2989.077,1221.885
,,,,,,,,,,Oct,849.000,1053.000,1175.000,2394.000,2137.000,3032.000,1525.000
,,,,,,,,,,Nov,866.000,1103.000,1227.000,1750.000,1880.000,3026.000,1531.000
,,,,,,,,,,Dec,1023.500,1216.300,1304.100,1981.300,1903.300,2916.600,1458.700
,,,,,,,,,2012,Jan,1522.423,1756.577,1914.481,2578.000,2652.115,2938.615,2128.423
,,,,,,,,,,Feb,907.500,1139.529,1263.846,2150.991,1922.837,2954.481,1473.702
,,,,,,,,,,Mar,1635.539,2021.721,2272.443,2828.606,2743.452,3027.577,2267.250
,,,,,,,,,,Apr,1059.355,1437.228,1669.800,2402.573,2462.628,3081.637,1956.537
,,,,,,,,,,May,1115.339,1480.930,1727.103,2432.799,2617.541,3086.654,2088.969
,,,,,,,,,,Jun,2797.202,2930.298,3214.173,3481.346,3388.558,2887.077,2745.394
,,,,,,,,,,Sep,777.750,1094.115,1146.423,2635.962,2373.346,3030.462,1670.827
,,,,,,,,,,Oct,998.289,1301.558,1504.827,2371.722,2433.856,3058.029,1989.500
,,,,,,,,,,Nov,1088.404,1334.808,1494.827,2174.712,2187.135,3006.308,1822.327
