Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,602.7861667,687.2379167,636.8028333,898.3983333,517.47,2951.822083,367.9433333
Jan,1019.863,1272.755,1499.509,1935.450,2387.263,3014.968,1805.755,,,2012,1034.279,1146.685118,1137.241,1288.948471,873.2932941,2944.907882,648.6746471
Feb,1562.693,1731.340,1934.633,2320.217,2730.504,2991.782,2144.262,,,2013,723.1588462,814.762,727.9960769,927.1065385,434.8136923,2914.090615,309.4803077
Mar,1166.289,1410.842,1713.854,2161.652,2741.078,3075.717,2152.870,,,2014,1421.2528,1323.0586,1396.9552,1389.872467,724.9756667,2950.507667,539.1247333
Apr,1145.358,1446.829,1738.469,2167.707,2775.403,3163.195,2236.386,,,2015,877.9758667,944.9950667,917.1717333,1120.091933,624.0652667,2951.863933,466.8074
May,1247.184,1545.789,1828.115,2204.506,2741.835,3142.334,2182.977,,,2016,1768.07,1775.700647,1878.279,1474.222294,1004.781118,2957.206294,741.3671176
Jun,3296.006,3290.970,3499.976,3583.080,2580.797,2660.894,1963.005,,,2017,1230.926111,1312.538444,1375.463944,1529.055611,1102.090667,2944.946222,794.8801111
Aug,525.243,685.654,527.068,394.270,219.310,2932.062,141.404,,,2018,941.6899286,1111.509357,1179.397643,1537.089429,1388.070571,2980.291929,997.5173571
Oct,632.606,697.467,558.425,718.027,287.048,2986.800,169.887,,,2019,1221.204375,1405.559938,1541.194438,1878.62275,1971.207563,3004.795813,1534.859875
Nov,585.429,675.108,545.917,1011.882,270.779,2978.313,146.607,,,,,,,,,,
Dec,1108.609,1162.326,1049.285,1385.823,714.611,2871.337,546.179,,,,,,,,,,
Grand Total,1221.204,1405.560,1541.194,1878.623,1971.208,3004.796,1534.860,,2011,Jan,411.760,469.255,394.228,499.815,218.675,2916.714,141.620
,,,,,,,,,,Feb,466.977,531.422,453.052,542.018,253.542,2954.788,162.625
,,,,,,,,,,Mar,1192.679,1247.584,1302.671,1515.630,1431.765,2860.176,1312.773
,,,,,,,,,,Apr,558.070,675.410,695.349,955.188,627.381,2996.306,450.344
,,,,,,,,,,May,702.947,886.330,971.108,1411.253,1097.589,3016.382,770.400
,,,,,,,,,,Sep,457.782,548.353,419.577,787.584,356.795,2961.957,189.032
,,,,,,,,,,Oct,529.003,592.319,494.434,944.598,363.409,2984.597,212.931
,,,,,,,,,,Nov,510.953,610.007,498.266,978.439,359.197,2987.118,202.533
,,,,,,,,,,Dec,716.718,770.755,661.687,845.627,327.616,2915.404,190.550
,,,,,,,,,2012,Jan,1379.765,1491.447,1475.956,1677.226,1511.388,2909.170,1286.751
,,,,,,,,,,Feb,600.891,679.709,587.974,697.155,321.544,2904.661,206.415
,,,,,,,,,,Mar,1199.623,1409.242,1414.147,1553.810,1073.672,2971.627,831.305
,,,,,,,,,,Apr,527.475,681.172,648.270,895.910,487.125,3003.508,328.616
,,,,,,,,,,May,695.710,919.403,944.338,1353.451,868.189,3020.671,599.432
,,,,,,,,,,Jun,3299.973,3276.479,3627.209,3356.388,2887.579,2822.273,2198.671
,,,,,,,,,,Sep,389.134,480.201,365.528,371.453,214.947,2986.298,149.563
,,,,,,,,,,Oct,479.500,564.177,452.907,614.673,268.270,2984.235,178.083
,,,,,,,,,,Nov,700.482,773.769,646.729,912.189,318.762,2961.888,188.945
,,,,,,,,,,Dec,753.512,843.934,747.599,1004.244,494.067,2896.066,358.585
,,,,,,,,,2013,Jan,502.604,603.215,494.888,601.261,251.724,2904.785,164.787
,,,,,,,,,,Feb,668.071,755.485,660.834,754.993,336.973,2929.915,217.835
,,,,,,,,,,Mar,512.121,638.571,579.074,765.115,354.019,2979.236,241.316
,,,,,,,,,,Apr,2601.846,2721.138,2832.095,3160.135,1812.384,2579.771,1511.433
,,,,,,,,,,Sep,814.274,898.468,801.343,1133.740,692.076,2886.035,499.881
,,,,,,,,,,Oct,435.309,494.459,371.981,562.178,228.979,2988.552,140.275
,,,,,,,,,,Nov,553.109,613.764,481.824,741.927,254.525,2961.112,148.647
,,,,,,,,,,Dec,538.915,627.888,512.646,734.872,262.330,2939.364,163.243
,,,,,,,,,2014,Jan,4818.098,3360.587,4044.455,2395.795,1703.070,2796.674,1402.083
,,,,,,,,,,Feb,467.306,588.999,485.244,600.799,266.561,2945.927,174.661
,,,,,,,,,,Mar,523.812,661.427,578.468,778.283,328.278,2982.582,220.135
,,,,,,,,,,Apr,611.512,834.704,809.541,1316.558,597.093,3011.761,428.605
,,,,,,,,,,May,704.138,969.663,965.467,1759.597,700.544,3025.894,483.919
,,,,,,,,,,Jun,5107.244,4728.873,5334.340,4053.109,2615.296,2931.586,2006.120
,,,,,,,,,,Nov,456.638,538.836,431.832,836.835,275.808,2973.655,170.008
