Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,2924.0495,3122.9482,3210.1687,2942.0555,2289.195,2944.9382,1774.4564
Jan,1173.718,1420.343,1549.726,2178.669,1997.162,2915.822,1617.628,,,2012,2793.327095,3012.502905,3091.790857,2990.960333,2107.131571,2994.552381,1568.772619
Feb,962.181,1223.900,1387.250,2159.106,2098.145,2995.298,1678.154,,,2013,929.94875,1173.19175,1275.318167,2012.123833,1797.424583,3007.522833,1408.489833
Mar,1017.951,1314.055,1519.659,2118.704,2125.412,3062.709,1799.308,,,2014,1421.993941,1572.411588,1757.635353,2557.068235,2111.506412,2991.041059,1692.007294
Apr,865.714,1126.549,1229.582,1839.044,1571.484,3008.681,1224.505,,,2015,2432.286875,2543.501625,2659.689563,3305.68925,2057.835188,2989.67925,1500.63325
May,1203.467,1581.401,1801.143,2517.181,2442.313,3078.132,2010.676,,,2016,1052.302667,1319.011444,1416.943111,2111.173611,1871.976167,2999.767278,1464.182444
Jun,1112.234,1454.208,1599.779,2224.312,1982.000,3054.675,1617.714,,,2017,2150.1732,2326.6278,2465.9407,2849.78205,2192.80615,2972.81765,1697.58455
Jul,4900.176,4700.912,4847.297,5342.363,3806.253,2687.967,2878.154,,,2018,1468.745684,1593.301053,1773.956316,2471.015263,2121.863947,3009.312947,1649.151684
Aug,19160.039,13623.390,19069.584,7552.948,5761.766,2814.701,4212.390,,,2019,2217.357211,2138.773158,2533.392158,2557.235632,2222.079316,2960.728895,1741.849684
Sep,1467.740,1720.169,1767.714,2997.182,2584.403,2930.844,1870.701,,,,,,,,,,
Oct,1081.559,1243.526,1244.020,1981.617,1515.429,2889.208,1151.299,,,,,,,,,,
Nov,1091.290,1245.506,1263.648,1818.494,1590.198,2984.185,1206.000,,,,,,,,,,
Dec,781.778,977.001,1044.803,1542.044,1488.143,2953.138,1182.776,,2011,Mar,751.549,936.527,1006.593,1836.923,1594.769,3036.363,1187.670
Grand Total,2217.357,2138.773,2533.392,2557.236,2222.079,2960.729,1741.850,,,Apr,1287.777,1476.916,1623.380,2548.246,2245.580,2927.226,1759.150
,,,,,,,,,,May,1047.348,1312.989,1474.217,2289.620,2136.174,3058.826,1651.576
,,,,,,,,,,Sep,1346.977,1529.693,1577.045,2759.750,2075.193,2873.125,1452.193
,,,,,,,,,,Oct,10507.500,10651.528,10708.769,5867.374,3904.231,2823.604,3076.896
,,,,,,,,,,Nov,848.068,1095.386,1196.534,1988.023,1777.193,3036.409,1425.034
,,,,,,,,,,Dec,828.000,1049.000,1091.500,1857.500,1504.500,2971.500,1178.000
,,,,,,,,,2012,Jan,775.914,993.321,1022.587,1920.062,1505.500,2958.080,1112.463
,,,,,,,,,,Feb,897.362,1174.121,1307.552,1926.811,1821.983,2965.190,1515.018
,,,,,,,,,,Mar,1059.013,1373.493,1523.037,2237.618,2044.540,3039.991,1662.193
,,,,,,,,,,Apr,954.857,1267.231,1308.440,2153.802,1689.758,3059.198,1307.648
,,,,,,,,,,May,1298.800,1651.368,1828.128,2607.200,2421.667,3065.182,1929.603
,,,,,,,,,,Jun,19408.926,18959.543,19217.037,6057.494,4981.074,2823.198,3581.444
,,,,,,,,,,Jul,10522.061,10649.863,10688.011,9056.643,3421.676,2913.352,2100.797
,,,,,,,,,,Sep,1047.297,1314.044,1280.879,2439.407,1733.363,2995.407,1211.308
,,,,,,,,,,Oct,723.229,941.574,898.161,1846.031,1287.821,3014.185,878.476
,,,,,,,,,,Nov,1205.614,1372.938,1380.370,2009.824,1515.568,3000.858,1165.676
,,,,,,,,,,Dec,843.604,1052.828,1084.655,1868.345,1482.362,2981.880,1128.086
,,,,,,,,,2013,Jan,888.350,1118.076,1194.398,2037.204,1732.621,2969.744,1324.451
,,,,,,,,,,Feb,859.753,1127.330,1251.226,2111.154,1859.258,3031.621,1490.033
,,,,,,,,,,Mar,1082.818,1390.557,1585.852,2102.750,2118.261,3031.943,1720.886
,,,,,,,,,,May,1214.165,1589.088,1811.385,2390.681,2357.088,3103.473,1950.495
,,,,,,,,,,Jun,1287.273,1680.136,1960.420,2624.807,2643.761,3084.000,2171.080
,,,,,,,,,,Oct,642.198,823.615,825.780,1743.912,1370.637,3024.231,960.692
,,,,,,,,,,Nov,990.642,1142.171,1158.943,1751.256,1458.904,2958.705,1122.438
,,,,,,,,,,Dec,727.721,909.877,955.624,1742.055,1488.892,2963.244,1112.441
,,,,,,,,,2014,Jan,889.907,1049.319,1095.671,1580.583,1347.484,2941.956,1070.456
,,,,,,,,,,Feb,4223.160,3680.980,4339.748,6523.112,3811.109,2865.255,3056.669
,,,,,,,,,,Mar,959.396,1237.912,1415.698,1969.857,1983.791,3035.363,1642.440
,,,,,,,,,,Apr,1155.125,1483.943,1719.341,2218.080,2325.705,3077.710,1963.489
,,,,,,,,,,May,1165.228,1484.819,1692.046,2293.864,2277.955,3069.318,1859.227
,,,,,,,,,,Jun,1523.456,1791.665,1907.264,2811.704,2395.819,2984.401,1816.467
,,,,,,,,,,Oct,920.308,1129.626,1166.462,2013.055,1609.462,2995.736,1227.868
,,,,,,,,,,Nov,902.102,1085.510,1147.497,1702.712,1571.395,2995.644,1230.387
,,,,,,,,,,Dec,808.423,986.539,1039.407,1628.643,1429.819,2956.335,1128.995
,,,,,,,,,2015,Jan,610.412,738.075,741.044,1364.036,1053.063,2963.940,755.247
,,,,,,,,,,Feb,859.690,1125.690,1283.931,1879.621,1882.172,3030.517,1566.862
,,,,,,,,,,Mar,880.236,1106.017,1219.962,2107.429,1840.687,3018.006,1410.379
,,,,,,,,,,Apr,1140.543,1443.674,1614.826,2356.315,2285.598,3076.239,1853.957
,,,,,,,,,,May,965.897,1246.172,1392.793,2149.448,2025.138,3098.069,1626.931
,,,,,,,,,,Jul,6981.000,5651.000,6716.000,5320.000,4197.000,2865.000,3143.000
,,,,,,,,,,Aug,20000.000,20000.000,20000.000,19845.000,5956.000,2852.000,3805.000
,,,,,,,,,,Sep,936.868,1217.643,1274.159,2299.572,1819.649,3011.028,1331.544
,,,,,,,,,,Oct,905.852,1125.017,1121.171,2028.847,1480.555,2991.703,1081.248
,,,,,,,,,,Nov,828.868,1018.659,1001.198,1978.901,1443.385,3011.110,1001.890
,,,,,,,,,,Dec,736.929,918.665,916.808,1880.989,1374.083,2966.291,927.830
,,,,,,,,,2016,Jan,838.160,1050.737,1158.374,1749.418,1603.072,2962.418,1272.478
,,,,,,,,,,Feb,980.307,1200.041,1237.423,1736.811,1474.584,2966.737,1126.141
,,,,,,,,,,Mar,1157.143,1426.209,1630.363,2293.445,2192.440,2980.863,1784.643
,,,,,,,,,,Apr,929.913,1277.239,1424.739,2302.326,2048.044,3062.826,1595.500
