system:time_start,B1,B2,B3,B4,B5,B6,B7
"Jan 6, 2011",809.517,953.793,"1,150.172","1,821.586","1,850.414","2,959.069","1,581.241"
"Jan 22, 2011",812.897,"1,014.621","1,211.207","1,806.931","1,896.552","2,996.069","1,611.379"
"Apr 28, 2011",924.292,"1,174.125","1,430.375","2,410","2,378.542","3,093.583","1,946.917"
"May 14, 2011","1,117.667","1,403.333","1,732","2,390.167","2,508.333","3,117.833","2,165.333"
"Oct 21, 2011",835.192,974.615,"1,139.269","1,875","1,836.192","3,047.538","1,530.962"
"Nov 6, 2011",821,"1,014","1,135","1,773","1,734","3,036","1,448"
"Nov 22, 2011",825.138,"1,002.172","1,212.552","2,041.931","2,054.828","3,040.759","1,687.379"
"Dec 8, 2011",917.222,"1,102.185","1,213.37","2,070.185","1,998.556","3,009.296","1,561.593"
"Dec 24, 2011",854.963,969.333,"1,174.778","1,689.741","1,772.407","2,985.778","1,556.222"
"Jan 9, 2012","1,057.897","1,272.69","1,464.138","1,891.862","2,029.345","2,950.759","1,780.586"
"Jan 25, 2012",866,985,"1,155","1,750","1,728","2,967","1,443"
"Feb 10, 2012",938,"1,189","1,398","1,854","1,986","2,963","1,765"
"Feb 26, 2012",852.083,"1,051.083","1,307.708","2,224.25","2,289","3,025.708","1,900.542"
"Mar 13, 2012","1,013.414","1,303.621","1,533.655","2,038.483","2,177.31","3,049.828","1,907.759"
"Mar 29, 2012",965.75,"1,200.917","1,482.583","2,446.833","2,477.458","3,101.042","2,043.458"
"Apr 14, 2012","1,053.8","1,353.4","1,548.6","2,281.8","2,232.4","3,020.6","1,825.4"
"Apr 30, 2012",928,"1,189","1,450","2,376","2,355","3,121","1,918"
"Jun 1, 2012","3,985.31","3,746.241","4,909.414","4,829.276","5,181.621","2,947.483","4,284.379"
"Sep 21, 2012","1,143.407","1,402.778","1,443.963","2,751.074","2,197.111","2,965.963","1,585.667"
"Oct 7, 2012","1,578","1,673","1,763","3,336","2,707","2,933","2,003"
"Oct 23, 2012",981.966,"1,235.966","1,398.276","2,136.517","2,095.724","3,034.828","1,750.966"
"Nov 8, 2012","1,002","1,156.621","1,370.552","2,049.69","2,092.793","3,025.793","1,825.69"
"Nov 24, 2012",781,"1,005","1,122","1,838","1,694","2,997","1,388"
"Dec 10, 2012",887,"1,016","1,161","1,841","1,752","2,975","1,416"
"Dec 26, 2012",960.154,"1,241.577","1,484.846","1,959.269","2,124.385","2,989.962","1,911.038"
"Jan 11, 2013",732,905,"1,079","1,900","1,838","2,983","1,458"
"Feb 12, 2013",903,"1,052","1,225","1,901","1,855","2,992","1,560"
"Feb 28, 2013",821.917,"1,098.542","1,289.958","2,128.958","2,100.333","3,042.958","1,718.333"
"Mar 16, 2013",919.741,"1,131.852","1,398.778","2,255.37","2,346.556","3,061.296","1,930"
"Apr 1, 2013",968,"1,293","1,515","2,135","2,162","3,090","1,899"
"Apr 17, 2013",975,"1,226","1,489","2,490","2,429","3,069","1,895"
"May 3, 2013","1,029","1,372","1,643","2,451","2,536","3,125","2,097"
"May 19, 2013","1,210.929","1,503.357","1,849.714","2,489.393","2,607.393","3,112.714","2,256.464"
"Jun 4, 2013","2,095","2,211.8","2,295.8","2,847.6","2,531.4","2,887.4","2,028.4"
"Sep 8, 2013","18,736.5","18,266.333","18,679.333","14,333.792","6,353.917","2,866.792","4,508.708"
"Oct 26, 2013",849,"1,029","1,177","1,931","1,838","3,023","1,498"
"Nov 11, 2013","1,050.586","1,263.586","1,383.172","2,060.862","2,033.483","3,004.897","1,723.621"
"Nov 27, 2013","1,200.4","1,288.8","1,416.6","2,275.4","1,900.8","2,884","1,498.2"
"Dec 13, 2013",910.414,"1,164.621","1,349.276","1,834.31","1,939.034","2,992.448","1,690"
"Dec 29, 2013","1,093","1,139","1,257","2,163","1,955","2,940","1,490"
"Jan 14, 2014","1,330.321","1,467.179","1,557.179","1,972.286","1,946.214","2,955.429","1,651.536"
"Jan 30, 2014",862,"1,021","1,235","1,701","1,785","2,989","1,567"
"Mar 3, 2014",836.167,"1,029.542","1,196.083","2,296.792","2,096.917","3,005","1,662.208"
"Mar 19, 2014",946.423,"1,261.115","1,443.885","2,044.346","2,047.269","3,088","1,789.692"
"Apr 4, 2014",935.8,"1,173.6","1,399","2,127.4","2,122.6","3,102.6","1,803.6"
