Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,877.17295,1050.0235,1111.70265,1516.0668,1384.62645,2999.62325,1095.5607
Jan,947.733,1119.351,1189.274,1514.794,1401.368,2922.694,1120.438,,,2012,1480.067571,1492.602514,1703.3612,1868.413,1739.244,2994.998114,1378.277943
Feb,933.466,1148.869,1276.926,1677.164,1654.493,2973.688,1341.204,,,2013,1911.888467,1832.6443,2176.897233,2231.2992,2043.161733,2981.720067,1643.7832
Mar,909.193,1150.826,1319.423,1805.597,1784.849,3048.931,1452.244,,,2014,1149.58925,1327.053563,1446.688969,1835.225656,1681.234844,2982.76875,1374.918844
Apr,1326.331,1510.467,1619.565,2054.202,1920.411,2986.646,1443.233,,,2015,1664.577848,1664.121364,1977.646364,2023.415879,1882.915273,3006.872939,1481.350848
May,1088.285,1404.344,1585.012,2082.713,2031.588,3072.181,1623.485,,,2016,1290.541595,1505.226405,1669.721054,2029.789973,1915.881324,3000.805243,1524.868054
Jun,1867.453,2196.166,2408.835,2891.887,2789.766,3025.850,2301.733,,,2017,1145.166714,1366.343143,1469.651886,1898.345171,1782.886429,2986.487914,1453.447457
Jul,1592.933,1813.525,1928.799,2404.022,2059.553,2927.966,1537.827,,,2018,1230.77273,1389.294541,1515.748892,1864.12373,1671.060892,3009.12227,1327.135838
Aug,1581.602,1799.469,1857.065,2514.952,1921.591,2787.348,1468.373,,,2019,1184.405105,1395.083868,1486.550026,1946.411211,1768.835105,2976.910289,1397.454684
Sep,1694.171,1888.583,1938.990,2484.920,2163.483,2953.937,1685.515,,,,,,,,,,
Oct,934.834,1130.917,1193.005,1780.074,1561.580,3003.246,1219.600,,,,,,,,,,
Nov,1406.638,1506.565,1502.142,1957.221,1647.155,2964.914,1254.978,,2011,Mar,897.269,1084.984,1208.031,1567.565,1601.408,3042.651,1326.760
Dec,677.710,827.353,766.748,1006.877,762.765,2921.554,577.567,,,Apr,928.687,1130.099,1216.265,1559.656,1451.617,3026.406,1170.191
Grand Total,1184.405,1395.084,1486.550,1946.411,1768.835,2976.910,1397.455,,,May,1144.771,1396.153,1529.891,1865.527,1770.643,3034.019,1425.001
,,,,,,,,,,Sep,1013.311,1191.989,1187.272,1866.311,1353.828,2837.294,991.456
,,,,,,,,,,Oct,865.037,1024.436,1052.943,1608.575,1390.706,3013.183,1045.871
,,,,,,,,,,Nov,662.388,795.051,828.017,1219.390,1097.240,2998.576,864.547
,,,,,,,,,,Dec,821.003,960.729,1002.515,1314.438,1233.397,2961.937,989.587
,,,,,,,,,2012,Jan,731.099,885.992,924.068,1180.435,1140.901,2942.033,918.788
,,,,,,,,,,Feb,714.854,912.596,970.595,1220.331,1186.201,2952.375,976.780
,,,,,,,,,,Mar,961.479,1185.592,1275.730,1554.030,1507.454,3019.010,1221.502
,,,,,,,,,,Apr,997.615,1275.338,1413.242,1769.181,1737.030,3072.625,1433.359
,,,,,,,,,,May,1162.568,1465.305,1628.270,2083.859,2014.779,3054.640,1611.264
,,,,,,,,,,Jun,6039.068,4162.203,5021.475,2749.797,2359.831,2829.339,1796.051
,,,,,,,,,,Jul,6597.953,4347.476,6065.921,3988.677,3335.720,2915.447,2436.474
,,,,,,,,,,Sep,2117.585,2358.370,2460.913,3026.294,2779.193,2977.093,2178.198
,,,,,,,,,,Oct,884.951,1092.384,1181.879,1781.642,1564.770,3032.181,1203.429
,,,,,,,,,,Nov,1218.891,1362.573,1441.282,1822.365,1659.377,3005.806,1331.861
,,,,,,,,,,Dec,881.339,1074.471,1205.160,1578.842,1592.956,2989.487,1286.589
,,,,,,,,,2013,Jan,894.012,1090.855,1214.415,1594.765,1561.939,2953.214,1274.405
,,,,,,,,,,Feb,934.422,1166.287,1326.087,1673.470,1702.462,3003.339,1395.958
,,,,,,,,,,Mar,1013.935,1280.425,1478.626,1861.646,1922.966,3049.174,1560.592
,,,,,,,,,,Apr,1171.610,1485.339,1728.186,2129.136,2176.881,3112.915,1790.254
,,,,,,,,,,May,1233.197,1574.153,1848.000,2304.715,2380.149,3127.770,1962.259
