Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,1183.924067,1288.301867,1444.606867,2368.314667,2160.8228,2992.9258,1391.806067
Jan,546.167,787.578,907.213,1955.813,1621.522667,2954.061667,1089.853333,,,2012,1251.527611,1403.823944,1563.171111,2554.615111,2073.021722,2949.220333,1507.121389
Feb,738.89,885.245,1003.23,1882.22,1651.8,2980.175,1123.565,,,2013,2155.857696,2025.156304,2480.850739,2847.549087,2494.242696,2966.863087,1790.359
Mar,670.1095,940.447,1224.3225,2314.707,2343.368,3067.8465,1664.3895,,,2014,1291.83,1494.086643,1584.876071,2419.932357,1892.087143,3001.073286,1269.61625
Apr,754.226,1026.768,1257.3565,2211.526,2206.5015,3089.0745,1559.198,,,2015,1890.101313,2032.093156,2148.405656,3084.680938,2358.63725,2959.592625,1603.747875
May,741.636,1074.62,1362.6175,2489.2345,2516.0735,3113.7445,1829.7665,,,2016,1574.404852,1776.512852,1963.305889,2580.136185,2102.766111,2989.244963,1477.930037
Jun,2320.155,2226.773,2585.794,2628.351,2639.557,2939.093,1794.381,,,2017,743.6768696,1037.482087,1166.960478,2270.17187,1942.375652,3003.818652,1357.301348
Oct,4593.468,4722.787,4790.723,5652.617,3433.915,2772.043,2530.106,,,2018,2114.473542,2299.373958,2455.992667,3089.947,2700.32,2958.392792,1529.324667
Nov,561.51,726.116,695.7705,2156.689,1477.216,2956.854,908.251,,,2019,1014.503,1210.011529,1362.625176,2378.610882,2032.223824,2986.181647,1407.885882
Dec,880.842,975.755,989.939,2089.6125,1609.9235,2888.189,1084.8365,,,,,,,,,,
Grand Total,1014.503,1210.011529,1362.625176,2378.610882,2032.223824,2986.181647,1407.885882,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,2011,Jan,438.279,546.79,620.155,1875.0715,1507.119,2948.297,945.83
,,,,,,,,,,Feb,8326.452,7305.118,7937.129,4298.419,5987.796,2874.441,3167.344
,,,,,,,,,,Mar,672.6335,815.2015,985.5365,1969.2845,1926.23,3029.8715,1306.6935
,,,,,,,,,,Apr,744.98,953.406,1216.574,2159.119,2196.436,3090.198,1631.921
,,,,,,,,,,May,989.4206667,1232.955,1516.648667,2440.856333,2431.525333,3053.270667,1796.797667
,,,,,,,,,,Sep,983.138,1273.691,1181.915,3759.702,2541.511,2939.883,1592.862
,,,,,,,,,,Oct,496.626,704.182,621.051,2829.384,1706.131,2946.929,900.707
,,,,,,,,,,Nov,503.254,670.143,736.6005,1852.8965,1440.8045,2987.251,918.2535
,,,,,,,,,,Dec,505.535,662.4985,738.952,1880.511,1468.7925,2975.8925,926.155
,,,,,,,,,2012,Jan,1383.931667,1430.422667,1588.809,2294.991667,2181.258333,2893.383667,1586.459667
,,,,,,,,,,Feb,747.248,965.188,1165.485,1979.98,1977.307,3011.663,1413.178
,,,,,,,,,,Mar,706.9175,986.6735,1219.433,2002.362,2037.866,3076.687,1520.7955
,,,,,,,,,,Apr,669.515,951.0425,1169.4155,1897.7765,1876.3155,3083.644,1387.2095
,,,,,,,,,,May,791.229,1109.314,1394.3085,2398.3405,2375.3565,3090.5055,1752.9785
,,,,,,,,,,Jun,1523.149,1655.383,2084.191,2980.872,2967.532,2969.511,2125.745
,,,,,,,,,,Sep,4930.313,4802.273,4797.03,5812.444,1892.717,2295.414,1704.01
,,,,,,,,,,Oct,2460.9885,2491.8615,2545.838,3941.448,2920.58,2881.7265,2227.133
,,,,,,,,,,Nov,427.27,582.9895,621.206,2241.561,1483.885,2977.3075,867.799
,,,,,,,,,,Dec,531.576,655.4785,711.7725,1680.9125,1272.527,2954.743,807.021
,,,,,,,,,2013,Jan,612.6275,864.553,1140.234,2176.3935,2138.17,2975.8405,1512.3085
,,,,,,,,,,Feb,802.137,1016.972333,1243.481,2116.144667,1996.376333,2989.173333,1362.625333
,,,,,,,,,,Mar,751.3855,971.947,1192.7805,2084.7405,2133.0795,3063.664,1502.2845
,,,,,,,,,,Apr,695.004,1008.86,1310.022333,2342.073667,2435.433667,3082.386667,1705.023667
,,,,,,,,,,May,5836.5265,3905.303,6237.617,4170.4255,3984.6705,2962.3615,3189.532
,,,,,,,,,,Sep,10859.609,9079.8995,10347.9965,5945.6215,4568.774,2857.4995,3450.323
,,,,,,,,,,Oct,3311.2275,2860.682,3022.207,4346.4445,3414.1465,2825.2675,2655.414
,,,,,,,,,,Nov,260.40925,815.35875,842.84425,2408.997,1721.68175,2937.01625,1047.48675
,,,,,,,,,,Dec,436.305,624.9646667,715.3366667,1678.578333,1569.248,2968.613333,1055.213
,,,,,,,,,2014,Jan,682.2,832.427,904.6715,1818.3745,1622.223,2944.6405,1095.959
,,,,,,,,,,Feb,601.9195,781.938,896.107,1887.8185,1796.3645,2981.6545,1230.398
,,,,,,,,,,Mar,646.966,868.7395,1034.787,1985.75025,2072.65675,3018.509,1480.53375
,,,,,,,,,,Apr,626.48625,890.36275,1058.5905,2141.97675,2086.39825,3083.35475,1451.37325
,,,,,,,,,,May,766.96,1021.912667,1180.186667,2214.896,2135.867667,3052.972667,1503.768333
,,,,,,,,,,Jun,647.3285,998.415,1159.4815,2350.757,2098.0975,3015.777,1473.6015
,,,,,,,,,,Jul,20000,19866.396,20000,12366.287,4815.347,2826.04,3079.96
,,,,,,,,,,Aug,898.447,1160.362,1048.66,2931.181,1996.011,2949.468,1204.691
,,,,,,,,,,Oct,410.5675,601.37125,562.20875,2139.52975,1376.454,2985.373,800.29675
,,,,,,,,,,Nov,449.3233333,586.3643333,590.1056667,1758.177667,1220.173333,2973.348333,738.6606667
,,,,,,,,,,Dec,512.484,657.6915,737.064,1679.245,1461.7765,2971.245,1004.2925
,,,,,,,,,2015,Jan,4564.51775,4364.12075,4668.026,4707.454,4580.976,2864.6415,2710.79
,,,,,,,,,,Feb,526.9855,738.3625,880.8545,1752.7315,1723.0045,3022.162,1254.5215
,,,,,,,,,,Mar,613.35225,802.57725,929.08925,1893.02825,1839.8145,3037.3995,1301.596
,,,,,,,,,,Apr,918.9613333,1134.466,1356.635667,2185.050333,2195.148333,3029.888333,1602.647
,,,,,,,,,,May,7166.368,7348.118,7459.612333,8117.549,3651.974667,2938.459333,2767.226667
,,,,,,,,,,Jun,766.484,1051.741,1188.6045,2161.283,2011.0985,3020.955,1421.95
,,,,,,,,,,Jul,3663.606,3712.298,4099.67,4778.064,4102.574,2885.894,3347.096
,,,,,,,,,,Sep,1042.54,1310.46,1246.46,3070.38,2114.855,2943.16,1408.98
,,,,,,,,,,Oct,625.4343333,808.5383333,759.9753333,2426.050333,1606.473,2984.168333,988.8776667
,,,,,,,,,,Nov,900.99875,1011.3025,1020.3915,2184.1785,1510.93875,2877.95125,990.25125
,,,,,,,,,,Dec,424.96275,632.04675,704.694,1659.58625,1397.04925,2967.74975,928.7825
,,,,,,,,,2016,Jan,333.8766667,857.793,992.816,1863.246667,1721.241333,2955.575,1212.543667
,,,,,,,,,,Feb,1074.9575,1245.4855,1364.8245,2055.716,1715.5745,2895.16,1234.4145
,,,,,,,,,,Mar,631.97775,851.42675,1048.7825,1964.85875,2012.302,3055.48825,1441.15075
,,,,,,,,,,Apr,664.27125,919.9075,1142.73825,2029.079,2076.97025,3084.45875,1519.31075
,,,,,,,,,,May,862.65025,1135.849,1349.73075,2471.3305,2354.01325,3043.10375,1690.219
,,,,,,,,,,Jun,5509.904,4176.298,4948.649,4170.532,3343.362,2861.128,2515.67
,,,,,,,,,,Sep,11223.1295,11049.852,11507.7825,8019.999,4549.698,2844.686,3159.9235
,,,,,,,,,,Oct,545.9895,738.5265,657.213,1987.2555,1362.936,2987.383,835.4945
,,,,,,,,,,Nov,256.2156667,769.658,846.6993333,2278.504333,1597.037,2958.067333,1034.131
,,,,,,,,,,Dec,452.5,605.3675,658.709,1540.439,1223.4645,2960.449,793.015
,,,,,,,,,2017,Jan,680.2713333,772.768,833.8723333,1656.116333,1285.115333,2938.199667,847.9146667
,,,,,,,,,,Feb,585.156,754.1535,903.769,1814.1375,1612.3325,3004.6205,1131.064
,,,,,,,,,,Mar,573.3985,781.56975,988.43075,2108.38875,1945.3205,3042.60075,1341.10275
,,,,,,,,,,Apr,638.68025,1011.91525,1290.38725,2239.985,2232.71725,3103.28325,1643.7
,,,,,,,,,,May,410.4686667,1292.695333,1551.327333,2557.861,2542.760333,3062.578667,1872.217333
,,,,,,,,,,Sep,1472.17,1694.562,1621.5925,3146.775,2208.8095,2885.8345,1558.037
,,,,,,,,,,Oct,1701.2515,1883.751,1863.758,3465.562,2606.365,2942.3285,1783.377
,,,,,,,,,,Nov,631.926,765.309,748.468,2169.319,1453.915,2956.096,864.66
,,,,,,,,,,Dec,417.476,530.758,521.2565,1578.129,1084.9665,2940.1475,654.354
,,,,,,,,,2018,Jan,499.2435,650.082,704.0395,1837.3885,1521.055,2963.6395,990.637
,,,,,,,,,,Feb,490.99625,682.83275,755.71175,1686.00125,1446.2125,2982.2105,950.51525
,,,,,,,,,,Mar,696.9955,824.6775,911.316,1579.7435,1375.6825,2993.2885,956.5385
,,,,,,,,,,Apr,645.26,851.4385,979.986,1747.423,1583.2815,3069.862,1123.2185
,,,,,,,,,,May,696.35925,1084.47575,1318.549,2449.961,2314.15025,3087.59975,1639.64075
,,,,,,,,,,Aug,20000,20000,20000,17064.021,19206.149,2766.979,4344.894
,,,,,,,,,,Sep,3796.681,3948.362,3967.723,5004.213,3998.213,2838.191,3194.702
,,,,,,,,,,Oct,707.35775,1342.7985,1319.12525,2947.951,1782.14325,2853.64675,1197.49275
,,,,,,,,,,Nov,7254.431,6355.4575,7386.5,4831.7925,3959.7235,2899.782,3142.3565
,,,,,,,,,,Dec,589.9855,716.437,719.437,1881.073,1276.9045,2924.6425,794.05
,,,,,,,,,2019,Jan,546.167,787.578,907.213,1955.813,1621.522667,2954.061667,1089.853333
,,,,,,,,,,Feb,738.89,885.245,1003.23,1882.22,1651.8,2980.175,1123.565
,,,,,,,,,,Mar,670.1095,940.447,1224.3225,2314.707,2343.368,3067.8465,1664.3895
,,,,,,,,,,Apr,754.226,1026.768,1257.3565,2211.526,2206.5015,3089.0745,1559.198
,,,,,,,,,,May,741.636,1074.62,1362.6175,2489.2345,2516.0735,3113.7445,1829.7665
,,,,,,,,,,Jun,2320.155,2226.773,2585.794,2628.351,2639.557,2939.093,1794.381
,,,,,,,,,,Oct,4593.468,4722.787,4790.723,5652.617,3433.915,2772.043,2530.106
,,,,,,,,,,Nov,561.51,726.116,695.7705,2156.689,1477.216,2956.854,908.251
,,,,,,,,,,Dec,880.842,975.755,989.939,2089.6125,1609.9235,2888.189,1084.8365
