Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,498.4813684,510.9564737,446.1759474,567.7049474,325.0430526,2973.222263,220.2882632
Jan,479.911,607.692,504.109,536.540,355.911,2915.273,237.783,,,2012,1241.627697,1250.071727,1183.293727,1306.393697,683.2313636,2941.852242,498.4533939
Feb,8924.596,8050.591,8475.398,6571.566,4953.297,2826.926,2800.066,,,2013,645.4322759,637.0221379,569.0811379,655.7523448,418.9192069,2954.708138,286.5167931
Mar,500.871,623.561,577.870,648.335,523.062,2946.318,369.042,,,2014,785.9947143,772.5880357,725.8093571,780.9311786,528.9606786,2950.546429,387.1224643
Apr,620.652,727.000,654.344,728.378,551.666,2991.148,387.549,,,2015,636.5074333,655.2071333,571.9043333,636.5602667,419.2332333,2963.169033,296.1291
May,668.764,776.812,747.075,871.680,716.046,2997.509,517.982,,,2016,795.2777857,762.0585,740.2196786,794.107,514.3869643,2932.531536,386.0148929
Jun,782.041,872.389,895.777,1180.386,952.405,3006.829,705.041,,,2017,1046.771829,1011.0304,993.4565143,1039.180114,702.5982286,2956.350486,524.8789143
Jul,832.224,882.003,712.459,935.995,519.024,2955.764,314.137,,,2018,1080.27275,1087.308531,1076.113406,1212.469625,774.1985313,2930.853969,572.3749063
Aug,10326.262,8751.492,9727.074,6471.734,3826.333,2885.537,2714.326,,,2019,1648.543059,1568.562676,1582.699529,1414.063382,932.9141471,2948.686235,604.1234412
Sep,491.317,525.012,396.578,700.481,292.956,2911.012,162.433,,,,,,,,,,
Oct,404.324,439.482,343.942,723.286,308.695,2984.954,176.669,,,,,,,,,,
Nov,721.551,701.922,583.469,829.331,305.477,2967.531,156.375,,2011,Jan,356.566,369.538,281.605,324.406,168.821,2926.949,107.793
Dec,471.372,487.066,387.727,522.671,254.250,2927.239,149.126,,,Mar,469.652,500.799,413.535,435.405,301.045,3004.813,211.882
Grand Total,1648.543,1568.563,1582.700,1414.063,932.914,2948.686,604.123,,,Apr,619.981,655.372,642.724,758.257,572.721,3001.732,437.112
,,,,,,,,,,May,679.327,766.835,759.214,960.759,725.934,3009.584,536.700
,,,,,,,,,,Oct,431.672,412.933,360.785,515.004,223.724,2995.413,141.882
,,,,,,,,,,Nov,453.160,442.688,371.546,515.674,226.924,2981.253,137.890
,,,,,,,,,,Dec,560.322,544.183,452.318,580.033,273.455,2958.073,164.972
,,,,,,,,,2012,Jan,765.990,765.185,696.381,905.728,642.885,2905.749,476.943
,,,,,,,,,,Feb,451.703,467.535,382.731,487.953,294.350,2932.793,199.071
,,,,,,,,,,Mar,544.594,575.879,521.966,632.257,457.599,2987.770,318.463
,,,,,,,,,,Apr,683.987,727.729,686.785,784.419,622.162,2994.253,452.044
,,,,,,,,,,Jun,1088.086,1145.660,1217.814,1510.373,1434.172,2984.847,1075.677
,,,,,,,,,,Jul,20000.000,20000.000,20000.000,19545.458,6661.978,2652.948,5297.341
,,,,,,,,,,Sep,1048.289,1063.356,932.648,1126.480,755.032,2928.157,512.343
,,,,,,,,,,Oct,681.001,671.644,560.636,764.567,363.322,2951.651,232.384
,,,,,,,,,,Nov,599.121,580.473,492.120,589.194,291.967,2941.057,190.682
