Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,935.2445556,1079.113556,1240.648778,1554.581111,1678.033667,3031.186111,1495.081667
Jan,935.491,1100.741,1226.683,1470.702,1497.587,2952.414,1334.808,,,2012,1061.741059,1221.730471,1377.744882,1701.339059,1796.376412,3021.020647,1576.433176
Feb,2645.958,2737.667,2902.438,3316.750,3260.750,2923.313,2772.896,,,2013,2204.6418,2129.907333,2432.635067,2163.517133,2131.995067,3000.905933,1839.934067
Mar,926.000,1131.500,1301.000,1591.000,1624.500,3015.500,1438.500,,,2014,1167.848933,1344.592467,1488.750733,1843.452867,1880.5902,3025.280933,1628.778533
Apr,1107.113,1358.683,1544.261,1837.715,1918.745,3059.489,1688.364,,,2015,1164.0516,1342.4086,1496.0338,1826.999867,1884.238933,3024.337133,1636.0582
May,1200.499,1488.895,1732.816,2072.045,2218.955,3074.282,1931.795,,,2016,2442.221267,2552.406733,2779.430933,2203.845133,1942.179467,2966.167333,1731.182667
Jun,1140.423,1393.712,1624.596,2055.538,2039.019,3070.096,1752.404,,,2017,1270.8477,1425.62905,1555.92115,1911.1155,1881.85865,2996.1619,1612.7546
Aug,1965.000,2117.000,2156.000,2621.000,2390.000,2970.000,1872.000,,,2018,1387.177118,1547.309647,1720.775941,2059.487824,1892.916118,2987.379529,1655.691176
Sep,1377.788,1584.635,1659.288,2116.558,2025.750,2938.596,1538.962,,,2019,1229.327941,1412.480765,1546.660353,1890.633059,1881.466176,3001.423529,1600.849824
Oct,1009.000,1131.000,1275.000,1812.000,1834.000,3031.000,1539.000,,,,,,,,,,
Nov,1207.000,1279.500,1304.500,1622.500,1436.000,2993.500,1168.000,,,,,,,,,,
Dec,1004.101,1164.762,1228.694,1515.497,1521.917,2950.413,1308.126,,2011,Jan,812.461,928.098,1079.148,1356.559,1495.569,2971.098,1347.128
Grand Total,1229.328,1412.481,1546.660,1890.633,1881.466,3001.424,1600.850,,,Apr,1061.708,1275.479,1520.875,1943.896,2094.917,3105.333,1880.563
,,,,,,,,,,May,1032.000,1243.000,1434.000,1788.000,1851.000,3093.000,1602.000
,,,,,,,,,,Oct,891.000,1020.000,1166.000,1577.000,1665.000,3053.000,1476.000
,,,,,,,,,,Nov,957.138,1119.461,1276.187,1585.108,1741.079,3043.981,1553.912
,,,,,,,,,,Dec,946.649,1039.213,1167.148,1399.500,1509.046,2999.593,1347.547
,,,,,,,,,2012,Jan,943.482,1039.537,1155.352,1372.537,1478.241,2954.963,1304.611
