Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,954.16625,1160.173417,1150.402167,2014.8335,1619.30375,2973.921583,1119.269917
Jan,809.451,1113.526,1330.931,2549.636,2737.796,2958.960,1924.739,,,2012,1319.249211,1474.420789,1529.019842,2098.627316,1579.687368,2969.389737,1055.345474
Feb,1044.538,1277.410,1456.051,2502.358,2596.829,2726.156,1924.315,,,2013,762.0636923,953.3743846,878.1403077,1603.942692,956.7530769,2922.879769,603.8808462
Mar,946.318,1281.936,1631.027,2738.891,3132.729,3025.248,2293.147,,,2014,1050.425882,1105.512294,1121.097824,1998.869176,1541.148588,2952.746941,1009.976882
Apr,976.422,1357.166,1754.540,2838.227,3388.925,3123.259,2503.965,,,2015,707.0432,969.3100667,933.4988,1992.084267,1527.050867,2984.8092,959.1294667
May,1033.253,1419.796,1820.360,2805.412,3335.847,3095.462,2446.213,,,2016,1000.100421,1227.166737,1238.526368,2234.907053,1729.728579,2907.286263,1165.913684
Jun,2429.966,2669.461,2944.084,3740.122,2770.240,2760.373,2130.215,,,2017,820.15992,1028.12116,995.408,1878.461,1424.10744,2968.02948,901.165
Jul,1518.406,1739.351,1906.675,2920.573,3169.985,2938.480,2247.201,,,2018,844.4145789,1082.507158,1141.019947,2318.802526,2127.989053,2994.371526,1414.355263
Aug,870.479,1028.654,924.701,1861.528,1193.055,2920.440,721.520,,,2019,1006.752531,1261.602406,1416.515688,2353.860438,2299.072688,2963.073719,1646.352875
Oct,501.650,677.699,550.161,1411.931,729.294,2994.621,425.133,,,,,,,,,,
Nov,940.807,1020.848,845.121,1547.767,847.346,2965.261,481.535,,,,,,,,,,
Dec,721.282,852.339,715.980,1261.600,759.813,2900.501,479.323,,2011,Jan,541.782,742.783,653.823,1226.850,781.114,2936.126,460.695
Grand Total,1006.753,1261.602,1416.516,2353.860,2299.073,2963.074,1646.353,,,Feb,573.403,804.969,742.002,1890.306,1393.134,2976.195,816.165
,,,,,,,,,,Mar,683.317,915.491,929.994,2093.595,1732.278,2982.259,1075.442
,,,,,,,,,,Apr,843.405,1147.482,1283.224,2708.906,2626.219,3081.372,1787.976
,,,,,,,,,,May,1015.873,1368.293,1575.201,2973.700,2875.665,3057.412,1922.870
,,,,,,,,,,Sep,3599.182,3825.288,3890.045,5023.043,4390.959,2863.509,3792.635
,,,,,,,,,,Oct,562.703,670.077,582.671,1141.250,651.815,2988.358,389.218
,,,,,,,,,,Nov,523.204,631.482,526.447,953.177,462.257,2982.840,267.153
,,,,,,,,,,Dec,860.971,962.977,842.187,1115.710,555.436,2900.745,335.208
,,,,,,,,,2012,Jan,770.210,926.492,828.519,1135.251,713.637,2913.746,457.047
,,,,,,,,,,Feb,591.971,767.891,679.978,1005.888,589.584,2913.597,371.192
,,,,,,,,,,Mar,1173.095,1465.890,1470.931,2016.444,1490.980,2987.594,1064.829
,,,,,,,,,,Apr,746.191,1035.864,1036.133,2284.903,1837.568,3049.448,1174.368
