Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,744.1003333,883.2588889,969.6473333,1919.165333,1629.272,3028.606333,1178.351444
Jan,739.500,878.500,969.500,1634.500,1538.000,2970.000,1174.500,,,2012,1555.940438,1519.83625,1816.733563,2280.383625,1974.297375,2985.0105,1509.363375
Feb,1716.600,1762.500,1803.300,2278.300,1945.200,2946.600,1457.200,,,2013,905.0514,1033.877,1101.966867,1852.699667,1533.7654,3002.2212,1115.856267
Mar,688.077,834.475,956.962,1837.834,1627.987,3036.334,1185.411,,,2014,938.1259286,1092.664286,1163.150714,2036.881929,1708.388286,3019.5855,1260.803357
Apr,680.854,852.634,927.903,1769.805,1500.000,3050.537,1062.000,,,2015,1074.664467,1202.043067,1257.628867,2043.347933,1703.2328,2998.554933,1280.984867
May,768.988,964.232,1075.159,1774.964,1558.634,3044.256,1146.403,,,2016,828.1946667,966.3148,1018.884267,1851.244333,1462.382867,3001.735867,1052.746933
Jun,832.842,1033.579,1221.421,2126.632,1954.842,3070.632,1453.105,,,2017,1316.242833,1356.302111,1450.398222,2172.244389,1687.473056,2996.416222,1213.161722
Aug,643.000,832.000,773.000,2416.000,1446.000,2985.000,847.000,,,2018,1004.802706,1073.301,1166.335471,1937.142235,1540.272294,3006.147059,1079.276765
Sep,2223.000,2272.000,2183.000,3109.000,1730.000,2684.000,1247.000,,,2019,877.8273529,1012.005529,1042.352529,2016.462353,1513.782824,2985.351353,1040.760941
Oct,675.486,763.135,677.027,2309.324,1158.324,2984.189,591.405,,,,,,,,,,
Nov,835.000,916.500,840.500,2309.000,1468.500,2983.500,830.500,,,,,,,,,,
Dec,703.650,824.100,761.100,1694.200,1056.850,2955.650,649.800,,,,,,,,,,
Grand Total,877.827,1012.006,1042.353,2016.462,1513.783,2985.351,1040.761,,2011,Jan,756.000,889.000,999.500,1831.000,1689.000,2989.500,1274.000
,,,,,,,,,,Apr,746.025,911.100,1022.900,1691.725,1572.050,3060.625,1205.975
,,,,,,,,,,May,810.000,1030.000,1234.000,2161.000,2013.000,3108.000,1538.000
,,,,,,,,,,Oct,633.216,781.703,813.514,2385.270,1658.973,3050.649,1084.270
,,,,,,,,,,Nov,683.750,819.250,869.625,1924.125,1549.875,3030.375,1073.500
,,,,,,,,,,Dec,814.081,905.014,959.081,1762.122,1470.838,2999.217,1040.959
,,,,,,,,,2012,Jan,807.156,918.902,1002.743,1726.321,1553.710,2965.958,1106.963
,,,,,,,,,,Feb,682.613,822.525,894.013,1466.163,1307.963,2988.138,978.338
,,,,,,,,,,Mar,741.513,894.613,984.838,1598.238,1397.288,3041.875,1049.375
,,,,,,,,,,Apr,756.976,935.427,1036.829,1717.659,1549.939,3066.574,1159.793
,,,,,,,,,,Jun,9488.659,7003.951,10711.659,5833.268,5638.683,2933.780,4736.463
,,,,,,,,,,Sep,1525.703,1710.162,1670.730,2925.135,2161.838,2944.865,1471.865
,,,,,,,,,,Oct,2544.650,2569.300,2618.250,3858.150,3091.450,2880.350,2537.300
,,,,,,,,,,Nov,729.450,839.300,880.800,1770.500,1430.500,3006.800,1009.150
,,,,,,,,,,Dec,677.987,821.568,925.203,1726.838,1563.270,2991.068,1129.825
,,,,,,,,,2013,Jan,716.838,846.324,1003.649,1621.730,1634.730,3000.351,1292.892
,,,,,,,,,,Feb,719.025,838.050,877.100,1385.363,1208.375,3001.763,899.088
,,,,,,,,,,Mar,800.676,950.946,1106.027,1873.757,1713.649,3052.162,1333.324
