system:time_start,B1,B2,B3,B4,B5,B6,B7,,,Quarters,(All),,,,,,,,,,,,,,,
06-Jan-11,555.554,637.627,663.108,920.27,751.162,"2,916.02",599.162,,,,,,,,,,,,,,,,,,,
13-Jan-11,"1,094.51","1,182.30","1,174.48","1,315.57","1,058.57","2,938.92",850.097,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
22-Jan-11,590.573,633.292,644.399,906.579,768.758,"2,961.60",617.472,,,2011,915.2505909,1056.312773,1128.548091,1434.917364,1346.558227,3008.086273,1141.192273,,2011,915.2505909,1056.312773,1128.548091,1434.917364,1346.558227,3008.086273,1141.192273
29-Jan-11,803.673,889.041,988.298,"1,527.21","1,389.21","2,976.70","1,166.06",,,2012,1168.583382,1368.186235,1451.206559,1839.007265,1690.345324,2992.201265,1431.559941,,2012,1168.583382,1368.186235,1451.206559,1839.007265,1690.345324,2992.201265,1431.559941
14-Feb-11,874.087,981.536,"1,012.13","1,289.36","1,086.70","2,983.59",922.681,,,2013,1046.921741,1210.759852,1254.310926,1494.631481,1328.593704,2967.597407,1153.781037,,2013,1046.921741,1210.759852,1254.310926,1494.631481,1328.593704,2967.597407,1153.781037
02-Mar-11,785.857,940.453,"1,081.11","1,459.75","1,420.36","2,999.54","1,234.02",,,2014,1079.561897,1219.546621,1284.672,1464.438103,1373.600069,2982.300034,1207.368655,,2014,1079.561897,1219.546621,1284.672,1464.438103,1373.600069,2982.300034,1207.368655
27-Mar-11,828.124,997.629,"1,087.27","1,427.20","1,327.64","3,072.95","1,142.68",,,2015,961.3726333,1137.8701,1201.507867,1431.045733,1329.565167,3004.639267,1144.3681,,2015,961.3726333,1137.8701,1201.507867,1431.045733,1329.565167,3004.639267,1144.3681
03-Apr-11,874.864,"1,070.68","1,244.33","1,765.08","1,747.74","3,079.57","1,511.01",,,2016,1246.205667,1350.629967,1560.593167,1873.314567,1860.379867,3019.484733,1617.914067,,2016,1246.205667,1350.629967,1560.593167,1873.314567,1860.379867,3019.484733,1617.914067
19-Apr-11,856.719,"1,074.81","1,250.57","1,788.33","1,774.35","3,098.35","1,494.04",,,2017,1033.549486,1181.4294,1254.5746,1464.953286,1320.589171,2996.455514,1121.434086,,2017,1033.549486,1181.4294,1254.5746,1464.953286,1320.589171,2996.455514,1121.434086
05-May-11,"1,028.11","1,284.35","1,491.01","1,979.27","2,072.35","3,054.10","1,704.47",,,2018,1011.51731,1198.938828,1328.448241,1739.469655,1697.087897,3025.872586,1449.378517,,2018,1011.51731,1198.938828,1328.448241,1739.469655,1697.087897,3025.872586,1449.378517
14-May-11,"1,128.68","1,361.92","1,638.47","2,230.33","2,425.77","3,124.22","2,095.57",,,2019,1213.966606,1398.906545,1551.110818,1959.929727,1862.643788,2999.874152,1554.749727,,2019,1213.966606,1398.906545,1551.110818,1959.929727,1862.643788,2999.874152,1554.749727
30-May-11,"1,074.41","1,386.47","1,643.96","2,231.96","2,441.95","3,102.42","2,009.84",,,Grand Total,1082.669186,1244.43403,1344.891309,1644.775684,1544.253606,2999.518167,1321.198599,,,,,,,,,
26-Sep-11,"1,869.64","1,992.45","2,020.12","2,372.01","2,164.07","2,930.65","1,737.58",,,,,,,,,,,,,,,,,,,
21-Oct-11,"1,091.99","1,095.98","1,121.84","1,271.97","1,030.47","3,018.17",881.995,,,,,,,,,,,,,,,,,,,
28-Oct-11,700.019,827.821,820.947,986.159,835.343,"3,017.46",720.923,,,,,,,,,,,,,,,,,,,
06-Nov-11,643.776,770.609,728.359,872.974,685.682,"3,006.13",584.063,,,,,,,,,,,,,,,,,,,
13-Nov-11,776.681,945.986,975.362,"1,165.84","1,093.70","3,020.55",962.71,,,,,,,,,,,,,,,,,,,
22-Nov-11,758.267,860.294,917.811,"1,163.37","1,122.98","3,018.59","1,000.99",,,,,,,,,,,,,,,,,,,
08-Dec-11,847.522,990.478,949.143,"1,080.60",908.749,"2,993.19",775.429,,,,,,,,,,,,,,,,,,,
15-Dec-11,795.244,981.2,984.054,"1,166.46","1,083.92","2,967.75",966.946,,,,,,,,,,,,,,,,,,,
24-Dec-11,788.907,869.927,889.976,"1,055.17",921.751,"2,959.36",818.434,,,,,,,,,,,,,,,,,,,
31-Dec-11,"1,368.30","1,464.04","1,501.32","1,592.75","1,513.08","2,938.05","1,310.07",,,,,,,,,,,,,,,,,,,
09-Jan-12,918.824,"1,088.41","1,132.54","1,309.80","1,318.55","2,939.28","1,196.27",,,,,,,,,,,,,,,,,,,
16-Jan-12,"1,069.48","1,237.73","1,204.09","1,284.48","1,031.51","2,935.71",836.198,,,Year,Month,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,,,,,,
25-Jan-12,824.551,962.844,"1,025.53","1,280.89","1,228.48","2,953.03","1,063.05",,,2011,Jan,761.078,835.565,867.57075,1167.40475,991.924,2948.31025,808.19725,,,,,,,,
01-Feb-12,699.218,919.99,919.827,"1,106.98",928.609,"2,945.58",813.069,,,,Feb,874.087,981.536,1012.13,1289.362,1086.696,2983.594,922.681,,,,,,,,
10-Feb-12,863.627,"1,075.37","1,163.79","1,423.65","1,456.33","2,954.08","1,303.72",,,,Mar,806.9905,969.041,1084.192,1443.475,1373.9995,3036.243,1188.3485,,,,,,,,
17-Feb-12,944.542,"1,156.45","1,267.59","1,503.77","1,568.39","2,966.58","1,407.75",,,,Apr,865.7915,1072.7465,1247.449,1776.702,1761.043,3088.958,1502.5245,,,,,,,,
26-Feb-12,847.128,"1,026.45","1,154.42","1,421.66","1,432.97","2,993.20","1,295.02",,,,May,1077.067,1344.243333,1591.143333,2147.185667,2313.354667,3093.583333,1936.625667,,,,,,,,
04-Mar-12,896.084,"1,175.64","1,228.71","1,462.23","1,357.00","3,031.29","1,166.25",,,,Sep,1869.642,1992.448,2020.119,2372.01,2164.07,2930.647,1737.577,,,,,,,,
13-Mar-12,937.413,"1,184.83","1,312.27","1,647.05","1,711.76","3,038.78","1,513.53",,,,Oct,896.0045,961.898,971.395,1129.0625,932.907,3017.818,801.459,,,,,,,,
20-Mar-12,"1,581.58","1,881.06","2,046.72","2,281.40","2,162.13","3,041.95","1,886.71",,,,Nov,726.2413333,858.963,873.844,1067.394,967.452,3015.09,849.2556667,,,,,,,,
