system:time_start,B1,B2,B3,B4,B5,B6,B7
06-Jan-11,796,926,"1,101","1,473","1,586","2,970","1,416"
22-Jan-11,863,"1,046","1,253","1,528","1,736","3,000","1,557"
28-Apr-11,"1,028.25","1,289","1,584.40","2,128.46","2,348.83","3,113.73","2,075.65"
14-May-11,"1,069.17","1,342.53","1,617.93","2,094.55","2,251.40","3,104.77","1,951.96"
21-Oct-11,791.231,976.615,"1,133.35","1,886.40","1,825.04","3,053.69","1,545.40"
06-Nov-11,804.385,"1,007.08","1,108.81","1,744.58","1,643.81","3,035.89","1,356.39"
22-Nov-11,842,970,"1,153","1,516","1,655","3,038","1,461"
08-Dec-11,942.077,"1,117.81","1,237.77","1,657.77","1,681.62","3,014.62","1,440.23"
24-Dec-11,707.423,827.154,921.346,"1,717.69","1,497.39","2,982.15","1,170.62"
09-Jan-12,863,"1,068.60","1,195.60","1,896.40","1,828.60","2,950.80","1,477.80"
25-Jan-12,853.385,993.538,"1,107.15","1,583.08","1,507.31","2,963.77","1,258.92"
10-Feb-12,905.5,"1,153.50","1,339","1,675","1,862","2,972","1,661"
26-Feb-12,883.538,"1,088.54","1,358.85","1,864.14","2,089.21","3,040.83","1,880"
13-Mar-12,983.58,"1,274.58","1,516.38","1,917.66","2,105.14","3,062.08","1,877"
29-Mar-12,998.904,"1,229.92","1,528.67","2,137.12","2,326.85","3,113.71","2,056.60"
14-Apr-12,"1,021.04","1,296.57","1,507.10","2,018.67","2,081.63","3,039.80","1,761.47"
30-Apr-12,"1,032.50","1,277","1,561.50","2,019","2,205.50","3,111","1,938"
01-Jun-12,"2,934","3,179","3,667","4,319","4,623","2,965","3,917"
21-Sep-12,"1,815.23","1,968.19","1,976.96","2,815.58","2,325.85","2,949.46","1,718.96"
07-Oct-12,929,"1,051","1,139.50","2,155.50","1,693.50","2,950.50","1,305.50"
23-Oct-12,"1,070.62","1,311.66","1,444","2,188.92","2,105.32","3,005.10","1,757.74"
08-Nov-12,956.7,"1,102.88","1,305.60","1,887.60","1,948.94","3,031.62","1,723.52"
24-Nov-12,924,"1,146.50","1,296.50","1,773.50","1,758.50","3,000.50","1,533"
10-Dec-12,942,"1,063.39","1,200.31","1,703.31","1,600.08","2,978.08","1,326.54"
26-Dec-12,771.442,"1,012.98","1,167.35","1,617.33","1,656.25","2,987.35","1,471.60"
11-Jan-13,815.385,985.769,"1,170.39","1,527","1,621.62","2,981.08","1,462.23"
12-Feb-13,921.882,"1,086.12","1,259.96","1,895.69","1,848.53","2,995.20","1,553.02"
28-Feb-13,889.038,"1,200.15","1,426.52","1,802.40","2,011.58","3,054.39","1,849.75"
16-Mar-13,930.231,"1,153.96","1,398.92","1,902.92","2,055.81","3,053.62","1,815.85"
01-Apr-13,876.077,"1,209.96","1,390.04","1,844.23","1,941","3,090.65","1,713.08"
17-Apr-13,"1,060.50","1,297.50","1,592.50","2,087","2,291.50","3,066.50","1,976"
03-May-13,"1,044","1,373","1,623","1,921","2,141","3,113","1,915"
19-May-13,"1,014.60","1,252","1,501.20","2,097.76","2,181.84","3,067.16","1,762.24"
04-Jun-13,"12,850.82","10,810.78","12,082.57","6,364.18","3,869.73","2,738.43","2,842.88"
08-Sep-13,"4,145.44","3,592.10","4,354.94","4,394.92","3,725.40","2,938.10","2,838.89"
26-Oct-13,783.346,942.885,"1,059.31","1,716.54","1,617.77","3,016.23","1,331.42"
11-Nov-13,"1,011.80","1,184.20","1,271.40","1,811.80","1,682","3,007.60","1,400.60"
27-Nov-13,"1,538.14","1,648.39","1,869.69","2,881.82","2,957.10","2,888.12","2,482.53"
13-Dec-13,782.2,990.8,"1,128.80","1,530","1,592.40","2,994.80","1,390.80"
29-Dec-13,"1,273","1,303","1,452.50","1,944.50","1,879.50","2,945","1,580"
14-Jan-14,"1,209.24","1,334.88","1,368.72","1,950.56","1,705.72","2,955.56","1,345.40"
30-Jan-14,669.321,852.396,927.962,"1,493.08","1,355.74","2,976.43","1,135.30"
03-Mar-14,896.865,"1,090.75","1,301.67","1,842.39","1,923.83","3,010.27","1,703.19"
19-Mar-14,905.192,"1,227.54","1,403.39","1,949.04","1,997.27","3,090.35","1,769.89"
04-Apr-14,958.882,"1,211.37","1,458.06","2,052.37","2,164.65","3,114.04","1,892.86"
20-Apr-14,"1,116","1,435","1,670","2,072","2,265","3,084","1,989"
06-May-14,"1,106.73","1,342.50","1,595.23","2,183.56","2,267.33","3,072.69","1,874.17"
22-May-14,"1,053","1,409","1,643","2,017","2,151","3,122","1,887"
07-Jun-14,"1,061.96","1,240.98","1,475.04","1,912.87","1,955.28","3,004.76","1,607.64"
23-Jun-14,"3,064.20","2,925.40","3,573.40","3,520","3,288.60","2,961.40","2,664.40"
13-Oct-14,905.24,"1,109.68","1,300.28","1,969.88","1,987.92","3,083.20","1,743.76"
