Quarters,(All),,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,2011,608.1944,756.0423,824.8807,2011.6284,1602.6041,3008.9089,1087.6096
2011,608.194,756.042,824.881,2011.628,1602.604,3008.909,1087.610,,,2012,1877.977059,2014.940412,2084.253706,3189.920059,1882.610235,2969.860118,1286.466235
2012,1877.977,2014.940,2084.254,3189.920,1882.610,2969.860,1286.466,,,2013,1943.022643,1878.912714,2084.6665,2646.204,1910.397143,2969.447857,1318.839
2013,1943.023,1878.913,2084.667,2646.204,1910.397,2969.448,1318.839,,,2014,739.6757857,894.0537857,958.1050714,2329.872,1754.365429,3001.679143,1184.438071
2014,739.676,894.054,958.105,2329.872,1754.365,3001.679,1184.438,,,2015,736.7713333,919.1750667,989.0759333,2463.055467,1864.182267,3005.4578,1265.5898
2015,736.771,919.175,989.076,2463.055,1864.182,3005.458,1265.590,,,2016,887.4893077,1050.602077,1143.577615,2468.682077,1906.100769,2961.163154,1334.419308
2016,887.489,1050.602,1143.578,2468.682,1906.101,2961.163,1334.419,,,2017,958.4975294,1065.016706,1180.208235,2415.953,1832.955824,3001.039647,1252.757176
2017,958.498,1065.017,1180.208,2415.953,1832.956,3001.040,1252.757,,,2018,722.2538,898.6892,977.3649333,2327.316533,1843.612067,3010.325933,1248.049267
2018,722.254,898.689,977.365,2327.317,1843.612,3010.326,1248.049,,,2019,772.7671765,944.6439412,998.7546471,2320.496765,1803.641765,2989.843824,1195.844353
2019,,,,,,,,,,Grand Total,1048.633106,1179.742144,1270.344038,2488.470318,1829.96572,2990.525644,1245.986091
Jan,623.1295,778.1475,856.464,2047.104,1691.253,2941.6865,1173.1245,,,,,,,,,,
Feb,982.02,1124.864,1146.236,2387.382,1790.111,2963.583,1217.935,,,,,,,,,,
Mar,611.4885,806.856,893.277,2199.7485,1727.58,2989.3695,1168.3525,,,,,,,,,,
